統計年度（民國年）,縣市別,項目,合計（統計數值）,一戶（統計數值）,二戶（統計數值）,三戶（統計數值）,四戶（統計數值）,五戶（統計數值）,六戶（統計數值）,七戶（統計數值）,八戶（統計數值）,九戶（統計數值）,十戶以上（統計數值）
104,總計,個人所有,8521415,7576221,742533,129343,38483,15455,6589,3655,2290,1995,4851
104,總計,營利事業或機關團體所有,164743,97913,28353,11569,6591,4157,2897,2042,1599,1181,8441
104,總計,合計,8686158,7674134,770886,140912,45074,19612,9486,5697,3889,3176,13292
104,新北市,個人所有,1510903,1325815,138363,26504,9941,4680,1718,1064,655,934,1229
104,新北市,營利事業或機關團體所有,23092,13380,4001,1803,1083,613,416,248,225,177,1146
104,新北市,合計,1533995,1339195,142364,28307,11024,5293,2134,1312,880,1111,2375
104,臺北市,個人所有,915259,800403,86647,16213,6418,2469,1137,614,384,263,711
104,臺北市,營利事業或機關團體所有,24884,13486,4776,1837,1096,691,476,349,286,211,1676
104,臺北市,合計,940143,813889,91423,18050,7514,3160,1613,963,670,474,2387
104,桃園市,個人所有,775793,689502,68236,11774,3034,1357,607,329,220,153,581
104,桃園市,營利事業或機關團體所有,13683,7769,2376,1004,585,421,290,219,144,113,762
104,桃園市,合計,789476,697271,70612,12778,3619,1778,897,548,364,266,1343
104,臺中市,個人所有,982049,875526,82656,14196,4552,2067,1001,572,348,246,885
104,臺中市,營利事業或機關團體所有,20496,12798,3569,1311,724,466,308,226,156,125,813
104,臺中市,合計,1002545,888324,86225,15507,5276,2533,1309,798,504,371,1698
104,臺南市,個人所有,678375,606024,58124,10312,2376,698,321,156,110,58,196
104,臺南市,營利事業或機關團體所有,14565,9072,2469,963,480,321,233,162,117,106,642
104,臺南市,合計,692940,615096,60593,11275,2856,1019,554,318,227,164,838
104,高雄市,個人所有,1026937,952307,61441,8606,2358,941,434,239,161,103,347
104,高雄市,營利事業或機關團體所有,18986,11832,3062,1226,670,478,309,220,171,106,912
104,高雄市,合計,1045923,964139,64503,9832,3028,1419,743,459,332,209,1259
104,宜蘭縣,個人所有,178112,160277,14527,2381,531,191,71,52,16,17,49
104,宜蘭縣,營利事業或機關團體所有,3740,2270,628,239,154,76,62,52,33,22,204
104,宜蘭縣,合計,181852,162547,15155,2620,685,267,133,104,49,39,253
104,新竹縣,個人所有,202364,179716,18921,2585,578,245,122,64,38,23,72
104,新竹縣,營利事業或機關團體所有,3467,1914,596,286,157,102,65,60,38,25,224
104,新竹縣,合計,205831,181630,19517,2871,735,347,187,124,76,48,296
104,苗栗縣,個人所有,192797,172361,16783,2622,597,203,91,53,28,11,48
104,苗栗縣,營利事業或機關團體所有,3771,2319,592,270,176,83,65,44,33,30,159
104,苗栗縣,合計,196568,174680,17375,2892,773,286,156,97,61,41,207
104,彰化縣,個人所有,428098,371496,44956,8454,2035,609,235,95,67,43,108
104,彰化縣,營利事業或機關團體所有,7516,4819,1284,516,252,168,90,81,67,37,202
104,彰化縣,合計,435614,376315,46240,8970,2287,777,325,176,134,80,310
104,南投縣,個人所有,170261,150463,16209,2742,528,151,67,33,24,10,34
104,南投縣,營利事業或機關團體所有,3684,2234,617,268,144,87,66,42,41,26,159
104,南投縣,合計,173945,152697,16826,3010,672,238,133,75,65,36,193
104,雲林縣,個人所有,247443,216280,25689,4221,775,227,99,48,29,16,59
104,雲林縣,營利事業或機關團體所有,4129,2533,693,275,159,88,74,55,41,25,186
104,雲林縣,合計,251572,218813,26382,4496,934,315,173,103,70,41,245
104,嘉義縣,個人所有,200405,174674,20757,3577,979,192,66,34,23,17,86
104,嘉義縣,營利事業或機關團體所有,3450,2009,571,235,134,84,75,51,43,37,211
104,嘉義縣,合計,203855,176683,21328,3812,1113,276,141,85,66,54,297
104,屏東縣,個人所有,292486,261545,26203,3621,691,183,86,37,24,17,79
104,屏東縣,營利事業或機關團體所有,5433,3575,877,341,156,117,80,41,41,28,177
104,屏東縣,合計,297919,265120,27080,3962,847,300,166,78,65,45,256
104,臺東縣,個人所有,88126,77906,8507,1256,248,96,34,20,16,6,37
104,臺東縣,營利事業或機關團體所有,2619,1397,436,191,120,65,55,44,30,26,255
104,臺東縣,合計,90745,79303,8943,1447,368,161,89,64,46,32,292
104,花蓮縣,個人所有,131894,118657,10751,1684,413,173,66,49,32,14,55
104,花蓮縣,營利事業或機關團體所有,3241,1899,513,225,152,89,75,40,30,28,190
104,花蓮縣,合計,135135,120556,11264,1909,565,262,141,89,62,42,245
104,澎湖縣,個人所有,31591,28628,2573,303,61,10,12,2,0,1,1
104,澎湖縣,營利事業或機關團體所有,839,492,163,62,41,23,16,7,6,4,25
104,澎湖縣,合計,32430,29120,2736,365,102,33,28,9,6,5,26
104,基隆市,個人所有,164475,145279,15110,2553,917,331,139,42,29,18,57
104,基隆市,營利事業或機關團體所有,2075,1211,317,158,79,60,41,36,21,17,135
104,基隆市,合計,166550,146490,15427,2711,996,391,180,78,50,35,192
104,新竹市,個人所有,171708,152173,14086,3750,866,369,156,95,47,32,134
