,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 臺南市５歲以上常住人口遷徙情形,,Table 20 Tainan City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 臺南市５歲以上常住人口遷徙情形,表２０,臺南市,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Tainan City Migration Status of the Resident Population,Table 20,Tainan City,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,臺南市,1744443,1374174,147604,,115136,95854,11675,Tainan City
,新營區,68610,56423,4588,,4396,2986,217,Xinying District
,鹽水區,20114,17264,1357,,797,666,30,Yanshui District
,白河區,21174,18792,932,,598,755,97,Baihe District
,柳營區,18947,15168,848,,1371,1504,56,Liuying District
,後壁區,18174,15893,874,,767,587,53,Houbi District
,東山區,14839,13349,699,,410,323,58,Dongshan District
,麻豆區,37570,31835,2492,,1917,1021,305,Madou District
,下營區,18027,16031,962,,656,331,47,Xiaying District
,六甲區,18927,16219,1147,,666,871,24,Liujia District
,官田區,23033,16422,1209,,2311,2921,170,Guantian District
,大內區,8612,6266,394,,523,1379,50,Danei District
,佳里區,49565,41654,3910,,2827,1039,135,Jiali District
,學甲區,19384,15913,1671,,1178,549,73,Xuejia District
,西港區,22535,18854,1582,,1654,385,60,Xigang District
,七股區,15699,13573,485,,1122,441,78,Qigu District
,將軍區,13849,11921,618,,973,282,55,Jiangjun District
,北門區,7280,6592,188,,305,180,15,Beimen District
,新化區,41151,34781,2370,,2725,1080,195,Xinhua District
,善化區,52141,37643,5724,,4423,4041,310,Shanhua District
,新市區,44653,28416,5339,,5163,5248,487,Xinshi District
,安定區,26512,22591,1374,,1862,519,166,Anding District
,山上區,6138,4618,459,,580,450,31,Shanshang District
,玉井區,12153,10595,643,,569,259,87,Yujing District
,楠西區,7190,6169,498,,301,203,19,Nanxi District
,南化區,5600,5039,186,,232,127,16,Nanhua District
,左鎮區,2834,2581,77,,125,44,7,Zuozhen District
,仁德區,79022,58390,5743,,7158,7378,353,Rende District
,歸仁區,79674,54632,6340,,6007,11611,1084,Guiren District
,關廟區,29655,25484,2256,,1485,354,76,Guanmiao District
,龍崎區,1659,1531,32,,71,23,2,Longqi District
,永康區,254019,181587,28767,,16657,24759,2249,Yongkang District
,東 區,163276,130348,13130,,8668,8944,2186,East District
,南 區,113581,96792,9144,,5594,1906,145,South District
,北 區,116851,93122,11592,,7817,3283,1037,North District
,安南區,181210,144984,19808,,12059,3554,805,Annan District
,安平區,61277,48353,5084,,5318,2123,399,Anping District
,中西區,69508,54349,5082,,5851,3728,498,West Central District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 臺南市５歲以上常住人口遷徙情形（續１）,,Table 20 Tainan City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續１）,表２０ 臺南市５歲以上常住人口遷徙情形（續１）,表２０,臺南市,５歲以上常住人口遷徙情形（續１）
,,,Aged 5 Years and Over(Cont.1),,Table 20 Migration Status of the Resident Population,Table 20 Tainan City Migration Status of the Resident Population,Table 20,Tainan City,Migration Status of the Resident Population
,(2)男性,,(2)Male,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,臺南市,858386,679315,71684,,54000,47768,5619,Tainan City
,新營區,33288,27542,2185,,1969,1505,87,Xinying District
,鹽水區,9948,8610,642,,357,316,23,Yanshui District
,白河區,10835,9682,478,,259,391,25,Baihe District
,柳營區,9009,7729,340,,587,343,10,Liuying District
,後壁區,9096,7962,442,,334,328,30,Houbi District
,東山區,7803,7075,348,,174,176,30,Dongshan District
,麻豆區,19002,16210,1283,,897,472,140,Madou District
,下營區,9119,8106,518,,329,153,13,Xiaying District
,六甲區,9982,8350,583,,323,719,7,Liujia District
,官田區,12460,8571,668,,1285,1894,42,Guantian District
,大內區,5269,3374,267,,340,1269,19,Danei District
,佳里區,24246,20616,1906,,1211,470,43,Jiali District
,學甲區,9910,8237,858,,533,250,32,Xuejia District
,西港區,11255,9496,783,,782,191,3,Xigang District
,七股區,8107,7089,208,,527,263,20,Qigu District
,將軍區,6797,5952,264,,421,151,9,Jiangjun District
,北門區,3936,3538,97,,173,125,3,Beimen District
,新化區,21001,17591,1202,,1378,666,164,Xinhua District
,善化區,25932,19104,2676,,2002,2052,98,Shanhua District
,新市區,22325,13948,2638,,2662,2822,255,Xinshi District
,安定區,13136,11483,658,,761,204,30,Anding District
,山上區,3337,2381,247,,320,371,18,Shanshang District
,玉井區,6513,5623,382,,320,136,52,Yujing District
,楠西區,3697,3167,260,,161,109,0,Nanxi District
,南化區,2964,2690,108,,116,44,6,Nanhua District
,左鎮區,1537,1410,37,,64,22,4,Zuozhen District
,仁德區,37903,28893,2845,,3186,2755,224,Rende District
,歸仁區,41171,27935,3304,,3432,5972,528,Guiren District
,關廟區,14932,12919,1125,,687,180,21,Guanmiao District
,龍崎區,873,814,15,,29,15,0,Longqi District
,永康區,123610,89341,13771,,7428,11763,1307,Yongkang District
,東 區,78108,62129,6182,,3962,4775,1060,East District
,南 區,54687,46639,4353,,2599,1040,56,South District
,北 區,55880,44255,5634,,3725,1820,446,North District
,安南區,89051,72023,9528,,5392,1733,375,Annan District
,安平區,28605,22792,2226,,2400,956,231,Anping District
,中西區,33062,26039,2623,,2875,1317,208,West Central District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 臺南市５歲以上常住人口遷徙情形（續完）,,Table 20 Tainan City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續２）,表２０ 臺南市５歲以上常住人口遷徙情形（續２）,表２０,臺南市,５歲以上常住人口遷徙情形（續２）
,,,Aged 5 Years and Over(End),,Table 20 Migration Status of the Resident Population,Table 20 Tainan City Migration Status of the Resident Population,Table 20,Tainan City,Migration Status of the Resident Population
,(3)女性,,(3)Female,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,臺南市,886057,694859,75920,,61136,48086,6056,Tainan City
,新營區,35322,28881,2403,,2427,1481,130,Xinying District
,鹽水區,10166,8654,715,,440,350,7,Yanshui District
,白河區,10339,9110,454,,339,364,72,Baihe District
,柳營區,9938,7439,508,,784,1161,46,Liuying District
,後壁區,9078,7931,432,,433,259,23,Houbi District
,東山區,7036,6274,351,,236,147,28,Dongshan District
,麻豆區,18568,15625,1209,,1020,549,165,Madou District
,下營區,8908,7925,444,,327,178,34,Xiaying District
,六甲區,8945,7869,564,,343,152,17,Liujia District
,官田區,10573,7851,541,,1026,1027,128,Guantian District
,大內區,3343,2892,127,,183,110,31,Danei District
,佳里區,25319,21038,2004,,1616,569,92,Jiali District
,學甲區,9474,7676,813,,645,299,41,Xuejia District
,西港區,11280,9358,799,,872,194,57,Xigang District
,七股區,7592,6484,277,,595,178,58,Qigu District
,將軍區,7052,5969,354,,552,131,46,Jiangjun District
,北門區,3344,3054,91,,132,55,12,Beimen District
