,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 臺南市普通住戶之家戶型態,,Table 33 Tainan City Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 臺南市普通住戶之家戶型態,表３３,臺南市,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Tainan City Family Household Type of Ordinary Households,Table 33,Tainan City,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,臺南市,618413,314901,83166,184690,47045,102667,,68897,26282,7488,158218,42627,35194,7433,Tainan City
,新營區,25118,12917,4253,6891,1773,3830,,2596,899,335,6587,1784,1317,467,Xinying District
,鹽水區,8533,3794,1275,1887,632,1212,,725,332,155,3023,504,442,62,Yanshui District
,白河區,8152,3302,1532,1281,489,1629,,959,503,167,2497,724,616,108,Baihe District
,柳營區,7009,2796,968,1375,453,1550,,930,463,157,2073,590,478,112,Liuying District
,後壁區,7287,2994,1340,1255,399,1418,,839,440,139,2216,659,520,139,Houbi District
,東山區,6084,2499,1163,992,344,1077,,669,297,111,2064,444,338,106,Dongshan District
,麻豆區,13963,6301,2490,2880,931,2625,,1665,724,236,3941,1096,959,137,Madou District
,下營區,6765,3055,1131,1515,409,1435,,962,319,154,1822,453,378,75,Xiaying District
,六甲區,7024,3299,1146,1647,506,1400,,867,406,127,1919,406,348,58,Liujia District
,官田區,7171,3462,1079,1866,517,1382,,999,320,63,1753,574,477,97,Guantian District
,大內區,2740,1138,448,483,207,558,,380,145,33,864,180,153,27,Danei District
,佳里區,18115,9514,2711,5631,1172,3254,,2181,839,234,4182,1165,976,189,Jiali District
,學甲區,7486,3419,1201,1708,510,1418,,983,297,138,2163,486,387,99,Xuejia District
,西港區,7617,3745,987,2215,543,1634,,1249,304,81,1603,635,517,118,Xigang District
,七股區,5994,2433,849,1112,472,1187,,684,386,117,1835,539,471,68,Qigu District
,將軍區,5213,2311,841,1008,462,953,,611,267,75,1527,422,315,107,Jiangjun District
,北門區,3208,1283,444,572,267,406,,224,144,38,1282,237,195,42,Beimen District
,新化區,14292,6770,1651,3969,1150,2581,,1827,529,225,3873,1068,970,98,Xinhua District
,善化區,19479,9988,2891,5635,1462,3006,,2155,658,193,4881,1604,1217,387,Shanhua District
,新市區,16683,8194,2276,4899,1019,2336,,1533,633,170,4975,1178,947,231,Xinshi District
,安定區,9270,4737,1170,2893,674,1883,,1265,533,85,2083,567,495,72,Anding District
,山上區,2161,959,284,517,158,486,,309,130,47,581,135,113,22,Shanshang District
,玉井區,4695,1928,894,723,311,847,,521,238,88,1514,406,344,62,Yujing District
,楠西區,2969,1358,739,456,163,523,,269,193,61,892,196,171,25,Nanxi District
,南化區,2216,864,483,284,97,501,,270,170,61,642,209,168,41,Nanhua District
,左鎮區,1182,388,189,121,78,199,,105,80,14,489,106,86,20,Zuozhen District
,仁德區,25971,14105,3085,9077,1943,4384,,2996,1171,217,5895,1587,1399,188,Rende District
,歸仁區,21006,11116,2460,6912,1744,4560,,3543,805,212,3798,1532,1356,176,Guiren District
,關廟區,10235,4880,1539,2608,733,2426,,1743,566,117,2320,609,553,56,Guanmiao District
,龍崎區,754,266,161,80,25,108,,62,41,5,313,67,48,19,Longqi District
,永康區,82294,45030,9565,29326,6139,12637,,8646,3252,739,18553,6074,4653,1421,Yongkang District
,東 區,61564,33733,9069,19637,5027,8379,,5154,2470,755,16058,3394,2841,553,East District
,南 區,41442,21477,5287,12001,4189,6962,,4715,1809,438,10622,2381,2058,323,South District
,北 區,44613,21862,5132,13275,3455,6268,,4238,1635,395,13226,3257,2549,708,North District
,安南區,58403,33779,5828,23485,4466,10884,,7648,2413,823,9616,4124,3669,455,Annan District
,安平區,23565,12682,3143,7523,2016,3009,,2193,625,191,6497,1377,1163,214,Anping District
,中西區,28140,12523,3462,6951,2110,3720,,2182,1246,292,10039,1858,1507,351,West Central District
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 臺南市普通住戶之家戶型態（續）,,Table 33 Tainan City Family Household Type of Ordinary Households(Cont.),,表３３ 普通住戶之家戶型態（續）,表３３ 臺南市普通住戶之家戶型態（續）,表３３,臺南市,普通住戶之家戶型態（續）,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households(Cont.),Table 33 Tainan City Family Household Type of Ordinary Households(Cont.),Table 33,Tainan City,Family Household Type of Ordinary Households(Cont.),,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,618413,314901,83166,184690,47045,102667,,68897,26282,7488,158218,42627,35194,7433,Grand Total
,未滿２５歲,7508,1067,279,566,222,222,,79,17,126,4403,1816,795,1021,Under 25 Years
,２５－３４歲,38906,16882,3575,11020,2287,2393,,1664,520,209,15463,4168,3225,943,25-34 Years
,３５－４４歲,103972,65821,7894,50071,7856,8997,,7178,1774,45,23328,5826,5143,683,35-44 Years
,４５－５４歲,129029,80499,13140,54955,12404,13172,,9726,3225,221,29056,6302,5584,718,45-54 Years
,５５－６４歲,157425,81507,23091,45849,12567,28685,,18953,8034,1698,37560,9673,8760,913,55-64 Years
,６５歲以上,181573,69125,35187,22229,11709,49198,,31297,12712,5189,48408,14842,11687,3155,65 Years and Over
,男,373511,208927,63025,130292,15610,63346,,43884,15915,3547,76874,24364,20901,3463,Male
,未滿２５歲,4597,599,180,266,153,151,,63,8,80,2661,1186,501,685,Under 25 Years
,２５－３４歲,24959,10952,2620,6965,1367,1692,,1200,367,125,9797,2518,2047,471,25-34 Years
