,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 臺南市住宅之竣工年份,,Table 38 Tainan City Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 臺南市住宅之竣工年份,表３８,臺南市,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Tainan City Completion Year of Construction of Housing Units,Table 38,Tainan City,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,臺南市,712130,223261,140759,185068,,84701,78341,38030,40311,Tainan City,,
,新營區,31112,10151,5554,9445,,2942,3020,1386,1634,Xinying District,,
,鹽水區,9466,4072,1492,2871,,391,640,162,478,Yanshui District,,
,白河區,9882,4848,1961,1867,,668,538,247,291,Baihe District,,
,柳營區,7438,2912,1521,1752,,432,821,448,373,Liuying District,,
,後壁區,8214,4392,1228,1798,,550,246,64,182,Houbi District,,
,東山區,5597,2981,1106,1042,,173,295,214,81,Dongshan District,,
,麻豆區,15529,6395,2483,3451,,1559,1641,506,1135,Madou District,,
,下營區,8120,3787,1684,1784,,427,438,183,255,Xiaying District,,
,六甲區,7783,3143,1725,1682,,697,536,365,171,Liujia District,,
,官田區,8074,3744,1261,1508,,470,1091,534,557,Guantian District,,
,大內區,3244,2009,461,441,,183,150,67,83,Danei District,,
,佳里區,20390,7968,3153,5063,,1669,2537,1539,998,Jiali District,,
,學甲區,9015,4150,1767,1939,,468,691,144,547,Xuejia District,,
,西港區,7736,2725,1284,2461,,381,885,415,470,Xigang District,,
,七股區,6224,3356,687,1401,,503,277,127,150,Qigu District,,
,將軍區,6055,3420,962,1120,,206,347,144,203,Jiangjun District,,
,北門區,3382,2353,366,219,,325,119,77,42,Beimen District,,
,新化區,12201,4411,2481,3856,,423,1030,488,542,Xinhua District,,
,善化區,20094,4969,2486,3511,,2575,6553,1947,4606,Shanhua District,,
,新市區,14938,3694,2399,4646,,768,3431,1353,2078,Xinshi District,,
,安定區,10656,3174,1501,2862,,1678,1441,864,577,Anding District,,
,山上區,2224,1043,370,382,,199,230,87,143,Shanshang District,,
,玉井區,5587,2447,1204,962,,671,303,135,168,Yujing District,,
,楠西區,3345,1337,748,927,,180,153,65,88,Nanxi District,,
,南化區,2391,1229,608,304,,192,58,32,26,Nanhua District,,
,左鎮區,1526,1062,203,123,,89,49,39,10,Zuozhen District,,
,仁德區,34420,7808,4998,6775,,11024,3815,1918,1897,Rende District,,
,歸仁區,21437,6266,4196,6138,,1919,2918,1901,1017,Guiren District,,
,關廟區,10792,4457,2518,1699,,934,1184,294,890,Guanmiao District,,
,龍崎區,1127,800,81,41,,179,26,19,7,Longqi District,,
,永康區,93413,14024,21519,34996,,10880,11994,5498,6496,Yongkang District,,
,東 區,77783,22275,19174,22949,,8584,4801,2828,1973,East District,,
,南 區,47229,16583,15760,8564,,1987,4335,2300,2035,South District,,
,北 區,54427,18895,10024,9862,,10861,4785,2488,2297,North District,,
,安南區,63354,18278,9992,15211,,9398,10475,6696,3779,Annan District,,
,安平區,30548,1798,3014,13942,,7533,4261,1434,2827,Anping District,,
,中西區,37377,16305,8788,7474,,2583,2227,1022,1205,West Central District,,
