,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 澎湖縣普通住戶之家戶型態,,Table 33 Penghu County Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 澎湖縣普通住戶之家戶型態,表３３,澎湖縣,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Penghu County Family Household Type of Ordinary Households,Table 33,Penghu County,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,澎湖縣,27417,13142,4776,6608,1758,4090,,2641,953,496,8272,1913,1403,510,Penghu County
,馬公市,18803,9371,3195,4944,1232,2708,,1801,584,323,5401,1323,949,374,Magong City
,湖西鄉,3250,1498,485,756,257,569,,397,106,66,982,201,143,58,Huxi Township
,白沙鄉,2166,899,348,438,113,347,,190,119,38,769,151,122,29,Baisha Township
,西嶼鄉,1953,907,466,326,115,336,,200,85,51,554,156,120,36,Xiyu Township
,望安鄉,601,234,153,66,15,57,,22,31,4,271,39,32,7,Wang'an Township
,七美鄉,644,233,129,78,26,73,,31,28,14,295,43,37,6,Qimei Township
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,27417,13142,4776,6608,1758,4090,,2641,953,496,8272,1913,1403,510,Grand Total
,未滿２５歲,280,20,2,18,0,3,,1,2,0,213,44,30,14,Under 25 Years
,２５－３４歲,1553,547,68,378,101,85,,74,11,0,750,171,106,65,25-34 Years
,３５－４４歲,3715,2158,225,1609,324,489,,421,68,0,888,180,104,76,35-44 Years
,４５－５４歲,5829,3465,822,2232,411,535,,421,108,6,1514,315,250,65,45-54 Years
,５５－６４歲,6863,3282,1254,1581,447,1042,,611,273,158,2084,455,386,69,55-64 Years
,６５歲以上,9177,3670,2405,790,475,1936,,1113,491,332,2823,748,527,221,65 Years and Over
,男,17324,9343,3711,4857,775,2470,,1583,571,316,4393,1118,872,246,Male
,未滿２５歲,165,5,2,3,0,1,,1,0,0,130,29,29,0,Under 25 Years
,２５－３４歲,864,248,25,192,31,55,,45,10,0,453,108,66,42,25-34 Years
,３５－４４歲,2357,1356,104,1070,182,335,,288,47,0,514,152,93,59,35-44 Years
,４５－５４歲,3689,2395,564,1633,198,326,,262,64,0,756,212,176,36,45-54 Years
,５５－６４歲,4598,2419,953,1259,207,621,,327,191,103,1302,256,213,43,55-64 Years
,６５歲以上,5651,2920,2063,700,157,1132,,660,259,213,1238,361,295,66,65 Years and Over
,女,10093,3799,1065,1751,983,1620,,1058,382,180,3879,795,531,264,Female
,未滿２５歲,115,15,0,15,0,2,,0,2,0,83,15,1,14,Under 25 Years
,２５－３４歲,689,299,43,186,70,30,,29,1,0,297,63,40,23,25-34 Years
,３５－４４歲,1358,802,121,539,142,154,,133,21,0,374,28,11,17,35-44 Years
,４５－５４歲,2140,1070,258,599,213,209,,159,44,6,758,103,74,29,45-54 Years
,５５－６４歲,2265,863,301,322,240,421,,284,82,55,782,199,173,26,55-64 Years
,６５歲以上,3526,750,342,90,318,804,,453,232,119,1585,387,232,155,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
