,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 臺北市住宅使用情形,,Table 37 Taipei City Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 臺北市住宅使用情形,表３７,臺北市,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Taipei City Housing Usage Status,Table 37,Taipei City,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,臺北市,950496,754585,195911,,49051,53059,93801,Taipei City,,,,,
,松山區,64249,48933,15316,,3323,5980,6013,Songshan District,,,,,
,信義區,79390,64277,15113,,5018,3656,6439,Xinyi District,,,,,
,大安區,111460,92188,19272,,4817,5069,9386,Da'an District,,,,,
,中山區,107888,74957,32931,,7311,7000,18620,Zhongshan District,,,,,
,中正區,56395,41300,15095,,3695,4850,6550,Zhongzheng District,,,,,
,大同區,49326,38769,10557,,2001,2619,5937,Datong District,,,,,
,萬華區,72108,56400,15708,,3074,3855,8779,Wanhua District,,,,,
,文山區,92284,77472,14812,,3912,4392,6508,Wenshan District,,,,,
,南港區,40363,31847,8516,,2478,2793,3245,Nangang District,,,,,
,內湖區,94734,81046,13688,,4034,3413,6241,Neihu District,,,,,
,士林區,95893,74047,21846,,5166,6905,9775,Shilin District,,,,,
,北投區,86406,73349,13057,,4222,2527,6308,Beitou District,,,,,
