appleL0489年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2000",,89年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
4.自用住宅設算租金收入,66676,105746,90676,79093,71213,64472,4.Imputed rent income,,4.自用住宅設算租金收入,43814,63407,59908,51538,51137,4.Imputed rent income
5.經常移轉收入,148572,112776,139961,121325,145205,126888,5.Current transfer receipts,,5.經常移轉收入,186667,128397,123169,144369,251155,5.Current transfer receipts
(1)從私人,46162,30410,36280,32452,40273,34429,(1)From individuals,,(1)從私人,53462,29864,26737,42166,121303,(1)From individuals
(2)從政府,32519,18029,18805,20602,23699,28948,(2)From government,,(2)從政府,57450,29394,26972,35552,60152,(2)From government
(3)社會保險受益,68184,63101,82106,66620,75742,62200,(3)Benefit of social insurance,,(3)社會保險受益,74917,68369,67785,65919,67463,(3)Benefit of social insurance
(4)從企業,986,257,362,1066,4873,587,(4)From enterprises,,(4)從企業,838,769,1516,732,251,(4)From enterprises
(5)從國外,721,978,2408,584,618,723,(5)From abroad,,(5)從國外,0,1,158,0,1985,(5)From abroad
6.雜項收入,195,189,118,121,167,224,6.Miscellaneous receipts,,6.雜項收入,382,229,149,158,217,6.Miscellaneous receipts
二、非消費支出,200033,418847,341049,270227,207952,189807,B.Nonconsumption expenditures,,二、非消費支出,105018,183501,176114,139732,72190,B.Nonconsumption expenditures
1.利息支出,42411,83651,57573,59334,40422,51085,1.Interest,,1.利息支出,14720,42948,38273,28227,11852,1.Interest
2.經常移轉支出,157622,335195,283476,210894,167530,138722,2.Current transfer expenditures,,2.經常移轉支出,90298,140553,137840,111505,60339,2.Current transfer expenditures
(1)對私人,51472,113749,95535,66216,50163,48411,(1)To private,,(1)對私人,32907,44650,38868,33392,24562,(1)To private
(2)對政府,33102,89245,81309,51527,37992,24287,(2)To government,,(2)對政府,11821,24058,22353,16233,8726,(2)To government
(3)社會保險,69106,110314,94879,89707,78734,62949,(3)Social insurance,,(3)社會保險,45015,71155,75587,60174,24509,(3)Social insurance
(4)對國外,3941,21888,11752,3444,641,3076,(4)To abroad,,(4)對國外,554,690,1032,1706,2542,(4)To abroad
,,,,,,,,,,,,,,,
89年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2000",,89年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 89 年,,,單位：元,2 0 0 0 Unit:NT$,,,,,民 國 89 年,,單位：元,2 0 0 0 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
三、消費支出,662722,1078674,917812,794199,698009,663280,C.Consumption expenditures,,三、消費支出,437198,661488,619129,543169,392338,C.Consumption expenditures
1.食品費,149319,203849,175894,166816,155987,155620,1.Food,,1.食品費,110858,167181,156517,140688,80000,1.Food
2.飲料費,6021,9867,6479,6444,5790,6423,2.Beverage,,2.飲料費,4811,6969,6174,5766,2639,2.Beverage
3.菸草,5079,6022,2492,4309,3814,6000,3.Tobacco,,3.菸草,5131,6917,6393,5998,2404,3.Tobacco
4.衣著、鞋、襪類,25399,46482,37881,32545,28681,25935,4.Clothing and footwear,,4.衣著、鞋、襪類,14909,24734,23436,18918,10262,4.Clothing and footwear
5.房地租及水費,148204,233058,204352,171459,158962,153797,5.Rent and water charges,,5.房地租及水費,88160,137725,131047,123884,114239,5.Rent and water charges
6.燃料及燈光,18486,24570,20218,20127,18776,19632,6.Fuel and light,,6.燃料及燈光,14070,19987,19531,17441,11594,6.Fuel and light
7.家具及家庭設備,12401,23431,20556,16737,14716,11024,7.Furniture and family facilities,,7.家具及家庭設備,8411,12039,10302,7653,5524,7.Furniture and family facilities
8.家事管理,13859,31838,29087,21977,12713,12269,8.Household operations,,8.家事管理,4010,10044,9101,6643,8187,8.Household operations
9.保健及醫療,73464,81642,78982,74574,72566,70645,9.Health care and medical,,9.保健及醫療,73352,73812,72548,68007,71367,9.Health care and medical
10.運輸交通及通訊,75370,140408,111579,102577,81209,72346,10.Transport and communications,,10.運輸交通及通訊,44162,77469,68475,56427,26828,10.Transport and communications
(1)交通及通訊工具之購置,11811,26957,18751,18180,12442,10385,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,5040,11151,8712,7952,4425,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,33152,60047,49113,45938,35409,31298,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,20982,36345,31418,23319,8584,(2)Operation of transport equipment
(3)乘交通設備之費用,9260,14906,13579,11748,11065,9087,(3)Purchased transportation,,(3)乘交通設備之費用,5464,8164,8206,8006,6025,(3)Purchased transportation
(4)其他通訊費,16037,28276,22103,20075,17004,16647,(4)Other communications,,(4)其他通訊費,9272,16419,15492,13596,6429,(4)Other communications
(5)汽機車保險費支出,5110,10222,8033,6635,5288,4929,(5)Insurance of transport equipment,,(5)汽機車保險費支出,3404,5390,4646,3554,1364,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,89509,188491,154360,117760,95619,84166,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,41758,83204,77602,59245,37994,"11.Recreation ,education and culture"
(1)旅遊費用,23570,65614,52187,33831,26687,17509,(1)Traveling,,(1)旅遊費用,8580,13330,13589,10600,16690,(1)Traveling
(2)娛樂消遣服務,9489,16476,14057,11885,10186,9458,(2)Recreation service,,(2)娛樂消遣服務,4909,9102,8655,7497,5516,(2)Recreation service
(3)書報雜誌文具,5421,9924,10865,7351,5683,5159,(3)Books and stationery,,(3)書報雜誌文具,2658,4803,4548,3331,2652,(3)Books and stationery
(4)娛樂器材及附屬品,8181,16260,15025,11556,9424,7418,(4)Recreation facilities,,(4)娛樂器材及附屬品,4587,7204,6626,4922,3500,(4)Recreation facilities
(5)教育與研究費,42848,80218,62226,53137,43638,44622,(5)Education and research,,(5)教育與研究費,21024,48765,44184,32896,9636,(5)Education and research
12.什項消費,45611,89017,75932,58875,49176,45424,12.Miscellaneous,,12.什項消費,27566,41406,38003,32502,21300,12.Miscellaneous
可支配所得,891445,1483362,1430559,1090877,977129,856425,Disposable income,,可支配所得,585330,846818,821573,711866,490443,Disposable income
消費支出,662722,1078674,917812,794199,698009,663280,Consumption expenditures,,消費支出,437198,661488,619129,543169,392338,Consumption expenditures
儲蓄,228723,404688,512748,296678,279120,193145,Saving,,儲蓄,148131,185330,202443,168697,98105,Saving
所得總額,1139336,1982941,1838172,1417622,1237462,1093263,Current receipts,,所得總額,719881,1073968,1038784,889941,599593,Current receipts
