appleL0699年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2010"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 99 年,,,單位：元,2 0 1 0 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,7840923,1568185,1568185,1568185,1568185,1568183,No. of households
平均每戶人數,3.25,1.82,2.83,3.48,3.92,4.2,No. of persons per household
平均每戶成年人數,2.5299999999999998,1.62,2.2000000000000002,2.6,2.97,3.25,No. of adults per household
平均每戶就業人數,1.44,0.53,1.1000000000000001,1.5,1.84,2.21,No. of persons employed per household
平均每戶所得收入者人數,1.62,1.05,1.26,1.56,1.89,2.3199999999999998,No. of income recipients per household
一、所得收入總計,1071938,347637,658295,935700,1270432,2147628,A.Total receipts
1.受僱人員報酬,619014,90456,314951,515332,771273,1403061,1.Compensation of employees
(1)本業薪資,463898,75051,250278,402393,588837,1002933,(1)Full time payroll
(2)兼業薪資,38575,7505,21925,30885,38058,94503,(2)Part time payroll
(3)其他收入,116541,7899,42749,82053,144378,305625,(3)Other receipts or subsidies
2.產業主所得,145430,28723,87874,141390,177063,292100,2.Entrepreneurial income
3.財產所得收入,48387,14060,22890,37720,48559,118707,3. Property income
4.自用住宅設算租金收入,65885,35927,51220,63357,75901,103023,4.Imputed rent income
5.經常移轉收入,193047,178257,181171,177733,197488,230584,5.Current transfer receipts
(1)從私人,59536,74808,64925,51457,50386,56104,(1)From individuals
(2)從政府,47575,58859,51537,45833,46174,35471,(2)From government
(3)社會保險受益,83174,43880,63838,78392,97578,132184,(3)Benefit of social insurance
(4)從企業,1396,345,671,624,1315,4026,(4)From enterprises
(5)從國外,1365,365,201,1427,2035,2799,(5)From abroad
6.雜項收入,174,214,189,167,148,153,6.Miscellaneous receipts
二、非消費支出,182585,59084,115555,162232,215738,360316,B.Nonconsumption expenditures
1.利息支出,12825,3059,8662,13367,16140,22896,1.Interest
2.經常移轉支出,169760,56025,106893,148865,199598,337421,2.Current transfer expenditures
(1)對私人,43435,15858,25388,36315,49568,90046,(1)To private
(2)對政府,29467,6955,13887,20685,31057,74750,(2)To government
(3)社會保險,93834,32803,65123,90800,116483,163959,(3)Social insurance
(4)對國外,3025,408,2494,1065,2491,8665,(4)To abroad
,,,,,,,
99年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2010"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 99 年,,,單位：元,2 0 1 0 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,702292,309078,508446,680747,849369,1163820,C.Consumption expenditures
1.食品及非酒精飲料,107662,57142,88433,111285,129361,152089,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9201,5247,7980,10013,10894,11874,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22664,7084,14239,20830,28465,42704,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,172576,101580,140550,167646,194447,258657,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,152036,88623,122530,146593,170659,231774,(1)Rent and water charges
(2)電費及燃料,20540,12957,18020,21053,23789,26883,(2)Power and fuel
5.家具設備及家務維護,17429,6317,11182,15057,20379,34211,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,101089,52309,75526,95141,121565,160904,6.Health
7.交通,64650,18361,40090,60487,81485,122829,7.Transport
(1)個人交通工具之購置,7574,737,2081,5072,8826,21154,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43536,12923,28940,42386,56073,77357,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9496,3440,6375,9179,11537,16948,(3)Transport services
(4)汽、機車保險費,4045,1261,2695,3851,5049,7370,(4)Insurance of vehicles
8.通訊,23283,8418,16930,23647,29460,37961,8.Communication
9.休閒與文化,37247,10793,20665,30864,42445,81466,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),13888,2603,5752,8761,14603,37719,(1)Package holidays
(2)娛樂消遣及文化服務,9795,5024,7175,9271,10729,16774,(2)Recreational and cultural services
(3)書報雜誌文具,6089,1395,3909,6591,8029,10523,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7475,1771,3828,6242,9085,16451,(4)Recreational facilities
10.教育,40054,5700,22669,44614,57084,70205,10.Education
11.餐廳及旅館,68195,23224,46673,68854,87373,114850,11.Restaurants and hotels
12.什項消費,38241,12903,23509,32310,46412,76070,12.Miscellaneous goods and services
可支配所得,889353,288553,542741,773468,1054693,1787312,Disposable income
消費支出,702292,309078,508446,680747,849369,1163820,Consumption expenditures
儲蓄,187061,-20525,34295,92720,205324,623492,Saving
所得總額,1123761,376407,698573,985205,1328963,2229660,Current receipts
