appleL1592年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,
第4表 所得收入者平均每人所得來源依可支配所得按所得收入者五等分位分,Table 4. Income Sources of Income Recipients by Five Equal Divisionsof Recipients according to Disposable Income,,,,,,
,,,,,,,
民 國 92 年,,,單位：元,2 0 0 3 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,按 所 得 收 入 者 五 等 分 位 分,,,,
,,Five equal divisions of,recipients according to disposable income,,,,
,General average,1,2,3,4,5,
所得收入者人數,11449514,2289903,2289903,2289903,2289903,2289902,No. of income recipients
一、所得收入總計,606015,227199,368567,499111,686365,1248832,A.Total receipts
1.受僱人員報酬,372031,111429,248387,346194,433405,720738,1.Compensation of employees
(1)本業薪資,286728,96353,212216,285426,334944,504703,(1)Full time payroll
(2)兼業薪資,20077,6438,7065,11322,21257,54304,(2)Part time payroll
(3)其他收入,65225,8638,29107,49446,77204,161731,(3)Other receipts or subsidies
2.產業主所得,103880,27623,35240,59342,124038,273158,2.Entrepreneurial income
(1)農業淨收入,10589,10581,9301,8188,11030,13844,(1)Net agricultural income
(2)營業淨收入,87785,16477,25488,49664,109645,237653,(2)Net operation surplus
(3)執行業務淨收入,5506,566,451,1490,3363,21661,(3)Net professional income
3.財產所得收入,27425,8358,9370,12827,24728,81841,3. Property income
4.自用住宅設算租金收入,36013,14143,17986,28087,45375,74476,4.Imputed rent income
5.經常移轉收入,66594,65520,57538,52596,58761,98558,5.Current transfer receipts
(1)從私人,23215,24120,19934,17842,20566,33614,(1)From individuals
(2)從政府,14605,21783,15863,11791,11781,11809,(2)From government
(3)社會保險受益,27299,19358,21297,22495,25507,47836,(3)Benefit of social insurance
(4)從企業,537,201,91,146,463,1784,(4)From enterprises
(5)從國外,938,57,352,321,444,3515,(5)From abroad
6.雜項收入,71,127,46,64,57,62,6.Miscellaneous receipts
二、非消費支出,103019,43813,59550,83723,119025,208982,B.Nonconsumption expenditures
1.利息支出,14365,5926,8789,11771,17661,27680,1.Interest
2.經常移轉支出,88653,37888,50760,71952,101364,181303,2.Current transfer expenditures
(1)對私人,28387,14104,15556,21601,30977,59697,(1)To private
(2)對政府,19589,4620,7841,13568,21786,50129,(2)To government
(3)社會保險,38770,17682,26875,35581,46752,66962,(3)Social insurance
(4)對國外,1907,1482,489,1202,1848,4515,(4)To abroad
三、可支配所得,502996,183386,309017,415387,567339,1039850,C.Disposable income
