appleL06102年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 102 年,,,單位：元,2 0 1 3 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8191640,1638328,1638328,1638328,1638328,1638328,No. of households
平均每戶人數,3.21,1.8,2.72,3.4,3.93,4.1900000000000004,No. of persons per household
平均每戶成年人數,2.57,1.63,2.19,2.65,3.05,3.33,No. of adults per household
平均每戶就業人數,1.46,0.51,1.04,1.54,1.94,2.29,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.07,1.29,1.68,2.04,2.46,No. of income recipients per household
一、所得收入總計,1140271,368448,700301,994301,1345761,2292543,A.Total receipts
1.受僱人員報酬,655707,89598,331791,561207,824170,1471768,1.Compensation of employees
(1)本業薪資,487804,70752,258988,431543,633699,1044037,(1)Full time payroll
(2)兼業薪資,44903,9986,27260,39680,39866,107724,(2)Part time payroll
(3)其他收入,123000,8859,45543,89983,150605,320007,(3)Other receipts or subsidies
2.產業主所得,149970,32097,75350,132670,184937,324794,2.Entrepreneurial income
3.財產所得收入,46161,13741,24392,31294,43142,118233,3. Property income
4.自用住宅設算租金收入,68845,37983,56270,67386,78361,104225,4.Imputed rent income
5.經常移轉收入,219444,194756,212318,201627,215063,273456,5.Current transfer receipts
(1)從私人,62520,80668,75583,56336,49920,50091,(1)From individuals
(2)從政府,48607,59976,52971,46564,46163,37361,(2)From government
(3)社會保險受益,105454,53785,82108,96896,116054,178428,(3)Benefit of social insurance
(4)從企業,1977,282,615,1186,1968,5834,(4)From enterprises
(5)從國外,886,44,1041,646,957,1743,(5)From abroad
6.雜項收入,145,274,181,116,87,67,6.Miscellaneous receipts
二、非消費支出,198063,58989,117014,170363,234087,409863,B.Nonconsumption expenditures
1.利息支出,12359,3197,8180,12271,14910,23236,1.Interest
2.經常移轉支出,185704,55792,108834,158093,219176,386627,2.Current transfer expenditures
(1)對私人,45660,17131,26872,37290,53220,93785,(1)To private
(2)對政府,31530,6964,13605,20351,31332,85396,(2)To government
(3)社會保險,106319,31030,67074,99216,133321,200957,(3)Social insurance
(4)對國外,2196,666,1283,1236,1304,6489,(4)To abroad
,,,,,,,
102年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 102 年,,,單位：元,2 0 1 3 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,747922,331391,545713,715675,902072,1244759,C.Consumption expenditures
1.食品及非酒精飲料,112786,62076,93130,114542,134655,159529,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9117,4698,7962,9503,11371,12050,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22295,6808,13482,19900,27991,43294,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,181527,108385,154446,177727,203912,263163,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,159983,94582,135637,155675,178741,235281,(1)Rent and water charges
(2)電費及燃料,21543,13803,18809,22052,25171,27882,(2)Power and fuel
5.家具設備及家務維護,18392,6723,11391,15523,20833,37489,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,109711,54694,82887,103767,131106,176100,6.Health
7.交通,73502,20877,45264,69134,92894,139337,7.Transport
(1)個人交通工具之購置,11382,1617,4737,8389,13394,28770,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,47751,14162,30676,47598,62416,83901,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9972,3794,7167,9177,11633,18091,(3)Transport services
(4)汽、機車保險費,4397,1304,2684,3970,5451,8576,(4)Insurance of vehicles
8.通訊,26508,8980,18423,26616,34456,44066,8.Communication
9.休閒與文化,39541,11830,21264,31097,44532,88979,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),17011,3248,6289,10274,17428,47813,(1)Package holidays
(2)娛樂消遣及文化服務,10415,5142,7505,9571,12064,17793,(2)Recreational and cultural services
(3)書報雜誌文具,5223,1273,3475,5387,6960,9023,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6892,2167,3996,5866,8080,14349,(4)Recreational facilities
10.教育,33216,3882,17612,34895,48811,60879,10.Education
11.餐廳及旅館,79034,28524,53874,77684,100565,134524,11.Restaurants and hotels
12.什項消費,42294,13913,25976,35286,50946,85349,12.Miscellaneous goods and services
可支配所得,942208,309459,583287,823937,1111674,1882680,Disposable income
消費支出,747922,331391,545713,715675,902072,1244759,Consumption expenditures
儲蓄,194286,-21932,37575,108262,209603,637921,Saving
所得總額,1195566,401695,745945,1046566,1407811,2375813,Current receipts
