作者不明2026-08-13T18:05:44.222L05114年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,
第5表  平均每戶家庭收支按家庭組織型態別分,Table 5. Average Family Income and Expenditure per Household,,,,,,,,
,,,,,,by Type of Families,,,
民 國 114 年,,,,單位：元,2 0 2 5 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,9760528,1691170,2138360,1043184,2950348,78770,912716,945979,No. of households
平均每戶人數,2.69,1,2,2.35,3.57,2.85,4.92,2.74,No. of persons per household
平均每戶成年人數,2.38,1,2,2.15,2.98,2.28,3.89,2.62,No. of adults per household
平均每戶就業人數,1.29,0.5,0.72,1.32,1.88,0.87,2.13,1.38,No. of persons employed per household
平均每戶所得收入者人數,1.78,1,1.55,1.64,2.21,1.42,2.56,1.85,No. of income recipients per household
一、所得收入總計(中位數),1244069,559991,854128,1096758,1770186,924081,1897735,1298540,A.Total receipts(median)
二、所得收入總計(平均數),1456725,693522,1151891,1224212,2031218,1041073,2018783,1467181,B.Total receipts(mean)
1.受僱人員報酬,804748,318672,482789,721847,1276739,399343,1117006,753343,1.Compensation of employees
(1)本業薪資,581573,225758,301977,560719,924000,294531,854086,565694,(1)Full time payroll
(2)兼業薪資,51899,24860,88140,22881,57618,37609,47415,37990,(2)Part time payroll
(3)其他收入,171276,68055,92671,138247,295121,67203,215505,149659,(3)Other receipts or subsidies
2.產業主所得,162344,61640,130863,104153,230508,102856,254586,181070,2.Entrepreneurial income
3.財產所得收入,76980,39502,97531,48480,98602,39715,76919,64683,3. Property income
4.自用住宅設算租金收入,81909,50394,84158,68741,99653,58132,98359,78453,4.Imputed rent income
5.經常移轉收入,330711,223274,356525,280968,325698,440967,471850,389564,5.Current transfer receipts
(1)從私人,75669,91601,96979,64094,48926,147018,72059,92723,(1)From individuals
(2)從政府,86688,47336,70207,84881,95292,116589,149954,105918,(2)From government
(3)社會保險受益,164225,82013,185565,129195,177592,175584,242602,183338,(3)Benefit of social insurance
(4)從企業,3252,1968,3387,2716,3823,1775,5139,2352,(4)From enterprises
(5)從國外,878,356,387,83,65,0,2095,5232,(5)From abroad
6.雜項收入,33,39,25,22,19,59,63,69,6.Miscellaneous receipts
三、非消費支出,246358,115436,181372,189629,374771,125049,310855,237242,C.Nonconsumption expenditures
1.利息支出,13555,9273,9927,9743,22532,2257,10308,9691,1.Interest
2.經常移轉支出,232803,106163,171445,179887,352239,122792,300546,227551,2.Current transfer expenditures
(1)對私人,50978,33969,52632,26460,70294,29265,43253,53705,(1)To private
(2)對政府,38178,20352,36998,22120,59224,20302,32944,31322,(2)To government
(3)社會保險,141864,50094,78015,130897,220997,73110,223975,142043,(3)Social insurance
(4)對國外,1783,1749,3800,410,1724,115,374,480,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together in accordance with the definition of Population and Housing Census.,,,,
114年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),Table 5. Average Family Income and Expenditure per Household,,,,,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 114 年,,,,單位：元,2 0 2 5 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
四、消費支出,920397,460598,763187,784034,1218669,786311,1339169,925003,D.Consumption expenditures
1.食品及非酒精飲料,132660,53127,113742,111006,170947,139533,222023,135285,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8696,4727,5902,8171,10454,5866,14939,11410,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23698,10496,18158,20746,33524,17209,34600,22452,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,221718,168233,210334,201788,264100,170158,242906,216710,"4.Housing,water,electricity,gas and other fuels"
(1)住宅服務,200883,157093,192257,182839,238663,148962,211222,195086,(1)Rent and residential services
(2)水電費及燃料,20834,11139,18077,18949,25437,21196,31684,21624,"(2)Water,electricity,gas and other fuels"
5.家具設備及家務維護,25889,14710,23499,21665,34181,19410,32166,24556,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,129564,61777,135701,102868,146074,141506,199438,146412,6.Health
7.交通,70659,29892,53560,53799,103908,40207,100959,70383,7.Transport
(1)個人交通工具之購置,12485,5595,7030,7870,20911,1527,16160,13308,(1)Purchase of vehicles
(2)個人交通設備管理維護,46419,17754,36995,34863,66218,30929,72416,46170,(2)Operation of personal transport equipment
(3)客運與貨物運輸服務,11754,6543,9534,11066,16779,7750,12383,10906,(3)Passenger and goods transport services
8.資通訊,34220,17141,26124,31774,46943,28752,48125,33112,8.Information and communication
9.休閒、運動與文化,38638,16278,32097,30512,58871,24662,45232,34057,"9.Recreation,sport and culture"
(1)套裝旅遊(不含自助旅遊),19599,7558,19657,13435,29202,9533,19974,18320,(1)Package holidays
(2)休閒、運動與文化用品,5094,2906,4042,5071,7124,3499,5500,4821,"(2)Recreational,sporting and cultural goods"
(3)休閒、運動與文化服務,10815,5223,7529,9584,16877,7770,12580,9240,"(3)Recreational,sporting and cultural services"
(4)書報雜誌文具,3130,591,869,2423,5668,3860,7178,1677,"(4)Newspapers,books and stationery"
10.教育,22398,330,289,13172,47432,29708,58261,8720,10.Education services
11.餐廳及住宿,130580,48592,86031,120981,188484,105218,212484,130933,11.Restaurants and accommodation services
12.保險及金融服務,41607,14471,26253,34439,64368,28411,65943,39366,12.Insurance and financial services
13.其他,40070,20824,31497,33112,49382,35670,62093,51607,13.Miscellaneous goods and services
可支配所得(平均數),1210367,578086,970519,1034583,1656448,916024,1707929,1229939,Disposable income(mean)
可支配所得(中位數),1017802,470716,736543,926083,1435275,829935,1584280,1083466,Disposable income(median)
消費支出,920397,460598,763187,784034,1218669,786311,1339169,925003,Consumption expenditures
儲蓄,289970,117488,207332,250549,437779,129713,368760,304936,Saving
所得總額,1528597,742367,1224298,1285999,2119065,1084735,2098656,1534935,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together in accordance with the definition of Population and Housing Census.,,,,
