L09111年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2022",,111年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2022",,111年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 111 年,,,,,2 0 2 2,,,,,民 國 111 年,,,,,2 0 2 2,,,,,民 國 111 年,,,,,2 0 2 2,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8968428,1622976,1041655,866529,1022349,711543,1129734,No. of households,,家庭戶數,174726,212370,195947,400502,179601,244767,185092,No. of households,,家庭戶數,294025,84072,127840,42205,156154,174515,101826,No. of households
平均每戶人數,2.83,2.82,2.71,3.06,2.91,2.79,2.8,No. of persons per household,,平均每戶人數,2.81,3.2,2.85,2.96,2.93,2.66,2.54,No. of persons per household,,平均每戶人數,2.76,2.42,2.35,2.21,2.63,2.99,2.63,No. of persons per household
平均每戶成年人數,2.42,2.4500000000000002,2.4300000000000002,2.52,2.46,2.36,2.37,No. of adults per household,,平均每戶成年人數,2.41,2.67,2.48,2.5299999999999998,2.5299999999999998,2.33,2.2799999999999998,No. of adults per household,,平均每戶成年人數,2.36,2.0099999999999998,2.09,1.98,2.2999999999999998,2.44,2.2799999999999998,No. of adults per household
平均每戶就業人數,1.34,1.38,1.24,1.45,1.38,1.37,1.34,No. of persons employed per household,,平均每戶就業人數,1.1299999999999999,1.44,1.35,1.43,1.42,1.23,1.08,No. of persons employed per household,,平均每戶就業人數,1.38,1.08,1.05,0.85,1.1000000000000001,1.26,1.1399999999999999,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.88,1.9,1.86,1.77,1.69,1.71,No. of income recipients per household,,平均每戶所得收入者人數,1.68,1.88,1.76,1.76,1.77,1.57,1.58,No. of income recipients per household,,平均每戶所得收入者人數,1.7,1.49,1.61,1.48,1.64,1.79,1.6,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
