appleL03105年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 105 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8458223,757969,7700254,No. of households
平均每戶人數,3.07,3.4,3.04,No. of persons per household
平均每戶成年人數,2.54,2.86,2.5,No. of adults per household
平均每戶就業人數,1.42,1.96,1.37,No. of persons employed per household
平均每戶所得收入者人數,1.75,1.87,1.73,No. of income recipients per household
一、所得收入總計,1194572,1048079,1208992,A.Total receipts
1.受僱人員報酬,674344,401440,701207,1.Compensation of employees
(1)本業薪資,499684,291205,520206,(1)Full time payroll
(2)兼業薪資,46616,42878,46984,(2)Part time payroll
(3)其他收入,128044,67356,134018,(3)Other receipts or subsidies
2.產業主所得,154303,283676,141568,2.Entrepreneurial income
3.財產所得收入,54302,39427,55766,3. Property income
4.自用住宅設算租金收入,72631,54415,74424,4.Imputed rent income
5.經常移轉收入,238909,269029,235944,5.Current transfer receipts
(1)從私人,68443,53122,69951,(1)From individuals
(2)從政府,49688,87468,45970,(2)From government
(3)社會保險受益,117573,125516,116791,(3)Benefit of social insurance
(4)從企業,2125,2033,2134,(4)From enterprises
(5)從國外,1079,891,1098,(5)From abroad
6.雜項收入,84,92,84,6.Miscellaneous receipts
二、非消費支出,201458,149389,206583,B.Nonconsumption expenditures
1.利息支出,10152,2114,10944,1.Interest
2.經常移轉支出,191305,147275,195639,2.Current transfer expenditures
(1)對私人,44551,35904,45402,(1)To private
(2)對政府,33165,23526,34114,(2)To government
(3)社會保險,111818,85725,114386,(3)Social insurance
(4)對國外,1772,2119,1738,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 6,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,776811,695318,784832,C.Consumption expenditures
1.食品及非酒精飲料,113618,124430,112554,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8773,11945,8461,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22882,19225,23242,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,188158,132076,193678,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,169040,112183,174637,(1)Rent and water charges
(2)電費及燃料,19118,19893,19041,(2)Power and fuel
5.家具設備及家務維護,18856,14667,19268,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,119093,134178,117608,6.Health
7.交通,70790,74307,70444,7.Transport
(1)個人交通工具之購置,12126,13580,11983,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43578,49170,43027,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9898,5637,10317,(3)Transport services
(4)汽、機車保險費,5188,5920,5116,(4)Insurance of vehicles
8.通訊,27500,23525,27891,8.Communication
9.休閒與文化,43129,26300,44786,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),21978,10997,23058,(1)Package holidays
(2)娛樂消遣及文化服務,10653,7377,10975,(2)Recreational and cultural services
(3)書報雜誌文具,4475,3589,4562,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6024,4337,6190,(4)Recreational facilities
10.教育,29745,23175,30391,10.Education
11.餐廳及旅館,91906,73925,93676,11.Restaurants and hotels
12.什項消費,42360,37564,42832,12.Miscellaneous goods and services
可支配所得,993115,898690,1002409,Disposable income
消費支出,776811,695318,784832,Consumption expenditures
儲蓄,216304,203372,217577,Saving
所得總額,1253389,1086257,1269841,Current receipts
