appleL0295年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2006",,95年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2006",,95年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 95 年,,,,單位：元,2 0 0 6 Unit:NT$,,,,,民 國 95 年,,,,單位：元,2 0 0 6 Unit:NT$,,,,,,民 國 95 年,,,,,單位：元,2 0 0 6 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,7307999,936572,546962,1270808,143492,596725,139699,No. of households,,家庭戶數,158903,431999,342063,161620,214393,165691,347233,407591,No. of households,,家庭戶數,263702,77246,114871,29851,140376,126710,350957,88624,251911,No. of households
平均每戶人數,3.41,3.34,3.31,3.28,3.37,3.7,3.92,No. of persons per household,,平均每戶人數,3.49,3.75,3.8,3.53,3.33,3.32,3.48,3.22,No. of persons per household,,平均每戶人數,3.36,2.91,2.83,2.95,3.22,3.51,3.36,3.26,3.28,No. of persons per household
平均每戶成年人數,2.56,2.58,2.52,2.52,2.4500000000000002,2.69,2.84,No. of adults per household,,平均每戶成年人數,2.62,2.7,2.8,2.63,2.57,2.48,2.57,2.42,No. of adults per household,,平均每戶成年人數,2.52,2.17,2.19,2.27,2.4300000000000002,2.59,2.48,2.38,2.46,No. of adults per household
平均每戶就業人數,1.52,1.4,1.46,1.52,1.37,1.63,1.8,No. of persons employed per household,,平均每戶就業人數,1.58,1.67,1.85,1.55,1.61,1.46,1.57,1.45,No. of persons employed per household,,平均每戶就業人數,1.53,1.19,1.18,1,1.31,1.58,1.47,1.24,1.57,No. of persons employed per household
平均每戶所得收入者人數,1.66,1.65,1.61,1.67,1.57,1.79,2.02,No. of income recipients per household,,平均每戶所得收入者人數,1.79,1.67,1.86,1.6,1.58,1.57,1.67,1.56,No. of income recipients per household,,平均每戶所得收入者人數,1.56,1.38,1.43,1.49,1.53,1.84,1.56,1.46,1.64,No. of income recipients per household
一、所得收入總計,1099739,1526228,1174514,1125605,931588,1179444,1164274,A.Total receipts,,一、所得收入總計,1030851,956505,961572,964953,906358,810323,895725,836568,A.Total receipts,,一、所得收入總計,899657,753191,862688,853872,948817,1478303,1161012,966863,1025601,A.Total receipts
