appleL0383年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,
第3表 平均每戶家庭收支按農家、非農家及都市化程度別分,Table 3. Average Family Income and Expenditure per Household,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization,,,
民 國 83 年,,,單位：元,1 9 9 4,Unit:NT$,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree   of   urbanization,,,
,General average,Farm,Non-farm,都 市,城 鎮,鄉 村,
,City,Town,Village,,,,
,,,,,,,
家庭戶數,5567351,773603,4793748,3277155,1506041,784155,No. of households
平均每戶人數,4.0199999999999996,4.43,3.95,3.95,4.22,3.89,No. of persons per household
平均每戶成年人數,2.61,3.07,2.54,2.58,2.68,2.61,No. of adults per household
平均每戶就業人數,1.75,2.52,1.63,1.65,1.89,1.9,No. of persons employed per household
平均每戶所得收入者人數,1.72,2.04,1.67,1.68,1.81,1.69,No. of income recipients per household
一、所得收入總計,904135,743133,930117,1000041,829103,647430,A.Total receipts
1.受僱人員報酬,553262,349276,586180,628442,502925,335745,1.Compensation of employees
(1)本業薪資,441959,288012,466802,494394,413772,276954,(1)Full time payroll
(2)兼業薪資,22864,19962,23332,26362,17095,19325,(2)Part time payroll
(3)其他收入,88439,41302,96046,107686,72058,39466,(3)Other receipts or subsidies
2.產業主所得,171475,228704,162239,171376,173684,167645,2.Entrepreneurial income
3.財產所得收入,52079,34691,54884,64992,37356,26385,3. Property income
4.自用住宅設算租金收入,47829,32129,50362,55749,42589,24794,4.Imputed rent income
5.經常移轉收入,79238,98085,76196,79198,72381,92573,5.Current transfer receipts
(1)從私人,33960,36440,33560,35302,28007,39786,(1)From individuals
(2)從政府,10221,15547,9362,9750,9575,13431,(2)From government
(3)從企業,34669,46097,32825,33534,34698,39356,(3)From enterprises
(4)從國外,388,0,450,612,100,0,(4)From abroad
6.雜項收入,254,247,255,284,168,289,6.Miscellaneous receipts
二、非消費支出,134380,95051,140726,152279,121176,84935,B.Nonconsumption expenditures
1.利息支出,33747,12331,37203,40651,29339,13356,1.Interest
2.經常移轉支出,100633,82720,103524,111627,91837,71579,2.Current transfer expenditures
(1)對私人,42363,36083,43377,46067,39468,32449,(1)To private
(2)對政府,24257,13532,25988,30063,18493,11067,(2)To government
(3)對企業,31261,32838,31007,31855,31677,27981,(3)To enterprises
(4)對國外,2751,267,3152,3643,2200,82,(4)To abroad
,,,,,,,
83年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,
第3表 平均每戶家庭收支按農家、非農家及都市化程度別分(續),Table 3. Average Family Income and Expenditure per Household,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization (Cont.),,,
民 國 83 年,,,單位：元,1 9 9 4,Unit:NT$,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree   of   urbanization,,,
,General average,Farm,Non-farm,都 市,城 鎮,鄉 村,
,City,Town,Village,,,,
,,,,,,,
三、消費支出,545987,422513,565914,618443,477074,375536,C.Consumption expenditures
1.食品費,130964,118305,133007,140454,121884,108742,1.Food
2.飲料費,6205,6487,6159,6149,6394,6071,2.Beverage
3.菸草,5068,6549,4829,4601,5758,5693,3.Tobacco
4.衣著、鞋、襪類,26769,18535,28098,30522,24232,15959,4.Clothing and footwear
5.房地租及水費,124366,76228,132134,149901,100225,64013,5.Rent and water charges
6.燃料及燈光,15676,14258,15905,16760,14862,12708,6.Fuel and light
7.家具及家庭設備,14320,9516,15096,16715,11929,8907,7.Furniture and family facilities
8.家事管理,10542,4563,11506,13156,7878,4731,8.Household operations
9.保健及醫療,46365,52861,45317,46667,44931,47860,9.Health care and medical
10.運輸交通及通訊,53894,43438,55582,59512,50320,37282,10.Transport and communications
(1)交通及通訊工具之購置,13322,10860,13720,14908,12712,7870,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,22880,20471,23269,24076,22856,17931,(2)Operation of transport equipment
(3)乘交通設備之費用,8617,5078,9188,10415,6571,5035,(3)Purchased transportation
(4)其他通訊費,5152,3976,5342,5817,4389,3840,(4)Other communications
(5)汽機車保險費支出,3922,3054,4062,4297,3793,2606,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,73582,44631,78254,89534,57326,38139,"11.Recreation ,education and culture"
(1)旅遊費用,22844,11924,24606,30151,14223,8865,(1)Traveling
(2)娛樂消遣服務,7096,4246,7556,8347,6069,3839,(2)Recreation service
(3)書報雜誌文具,5175,3326,5473,6001,4499,3023,(3)Books and stationery
(4)娛樂器材及附屬品,7515,4711,7968,8729,6529,4336,(4)Recreation facilities
(5)教育與研究費,30952,20423,32651,36306,26005,18076,(5)Education and research
12.什項消費,38236,27140,40027,44471,31335,25431,12.Miscellaneous
可支配所得,769755,648082,789391,847762,707927,562495,Disposable income
消費支出,545987,422513,565914,618443,477074,375536,Consumption expenditures
儲蓄,223768,225569,223477,229319,230853,186959,Saving
所得總額,948941,775083,976997,1053123,865496,673803,Current receipts
