L1098年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 98 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(8)有線電視頻道設備(含多媒體隨選視訊),81.97,64.790000000000006,83.22,(8)Cable TV(MOD included)
(9)家用電腦,70.510000000000005,49.17,72.06,(9)Personal computer
(10)電話機,95.88,97.34,95.77,(10)Telephone
(11)行動電話,90.58,84.3,91.03,(11)Cell phone
(12)連網(使用電腦或其他設備),66.19,44.38,67.78,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 0 9,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,59.18,63.94,58.84,(13)Sedan vehicle
(14)機車,82.87,91.38,82.25,(14)Motorcycle
(15)電磁爐,39.79,26.2,40.78,(15)Electro-magnetic oven
(16)冷暖氣機,88.35,76.47,89.21,(16)Air conditioner
(17)除濕機,29.75,9.99,31.19,(17)Dehumidifier
(18)洗衣機,97.43,97.14,97.45,(18)Washing machine
(19)烘衣機,16.86,11.63,17.239999999999998,(19)Drier
(20)空氣清淨機,10.94,1.72,11.62,(20)Air-clean machine
(21)濾水器,33.19,19.559999999999999,34.18,(21)Water filter machine
(22)吸塵器,40.31,22.99,41.57,(22)Vacuum cleaner
(23)熱水器,97.29,94.13,97.52,(23)Geyser
(24)開飲機,53.26,57.78,52.93,(24)Hot-warm water fountain
(25)微波爐,45.54,30.47,46.64,(25)Microwave oven
(26)報紙,21.64,21.54,21.64,(26)Newspaper
(27)期刊雜誌,9.81,4.1100000000000003,10.220000000000001,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,157.36000000000001,158.21,157.30000000000001,(1)Color TV
一般彩色電視機,114.15,132.69999999999999,112.8,Non-LCD TV
液晶、電漿電視,43.22,25.51,44.51,LCD、PDP TV
(2)數位影音光碟機,46.53,23.61,48.19,(2)DVD player
(3)攝影機,8.9700000000000006,2.78,9.42,(3)Movies camera
(4)音響,39.799999999999997,23.25,41.01,(4)Stereo
(5)鋼琴(含電子琴),10.57,3.84,11.06,(5)Piano
(6)數位相機,57.88,34.72,59.57,(6)Digital camera
(7)電視遊樂器,10.82,2.4900000000000002,11.43,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),83.91,65.27,85.27,(8)Cable TV(MOD included)
(9)家用電腦,95.11,62.74,97.46,(9)Personal computer
(10)電話機,109.19,105.62,109.45,(10)Telephone
(11)行動電話,227.28,202.15,229.11,(11)Cell phone
(12)汽車,69.510000000000005,77.78,68.91,(12)Sedan vehicle
(13)機車,144.93,168.49,143.21,(13)Motorcycle
(14)電磁爐,40.380000000000003,26.87,41.36,(14)Electro-magnetic oven
(15)冷暖氣機,201.81,157.02000000000001,205.07,(15)Air conditioner
(16)除濕機,34.909999999999997,11.81,36.590000000000003,(16)Dehumidifier
(17)洗衣機,99.36,100.69,99.26,(17)Washing machine
(18)烘衣機,16.899999999999999,11.72,17.28,(18)Drier
(19)空氣清淨機,12.1,1.82,12.85,(19)Air-clean machine
(20)濾水器,33.51,19.86,34.51,(20)Water filter machine
(21)吸塵器,42.16,23.62,43.51,(21)Vacuum cleaner
(22)熱水器,103.85,103.45,103.88,(22)Geyser
(23)開飲機,54.88,60.65,54.46,(23)Hot-warm water fountain
(24)微波爐,45.78,30.69,46.88,(24)Microwave oven
(25)報紙,22.49,21.89,22.54,(25)Newspaper
(26)期刊雜誌,11.56,4.22,12.09,(26)Magazine
