appleL07105年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2016"
第7表 平均每戶可支配所得及消費支出依可支配所得按戶數五等分位分及經濟戶長性別、年齡組別、教育程度別分,"Table 7. Average Family Income and Expenditure per Household by Five EqualDivisions of Households According to Disposable Income and Sex, Ageand Educational Attainment of Household Heads",,第7表 平均每戶可支配所得及消費支出依可支配所得按戶數五等分位分及經濟戶長性別、年齡組別、教育程度別分(續一),"Table 7. Average Family Income and Expenditure per Household by Five EqualDivisions of Households According to Disposable Income and Sex, Ageand Educational Attainment of Household Heads (Cont.1)",,第7表 平均每戶可支配所得及消費支出依可支配所得按戶數五等分位分及經濟戶長性別、年齡組別、教育程度別分(續完),"Table 7. Average Family Income and Expenditure per Household by Five EqualDivisions of Households According to Disposable Income and Sex, Ageand Educational Attainment of Household Heads (Cont.End)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 105 年,,,,單位：戶；人；元,2 0 1 6 Unit:Household;Person;NT$,,,,,,民 國 105 年,,,,單位：戶；人；元,2 0 1 6 Unit:Household;Person;NT$,,,,,,民 國 105 年,,,,單位：戶；人；元,2 0 1 6 Unit:Household;Person;NT$,,,,
,總      平      均,,,,可 支 配 所 得 按 戶 數 五 等 分 位 組,,,,,,,可   支   配   所   得   按,,,,戶   數   五   等   分   位   組,,,,,,,可   支   配   所   得   按,,,,戶   數   五   等   分   位   組,,,,
,General       average,,,,Five equal divisions of households according to disposable income,,,,,,,Five   equal   divisions   of   households,,,,according   to   disposable   income,,,,,,,Five   equal   divisions   of   households,,,,according   to   disposable   income,,,,
,戶  數,平均每戶人數,可支配所得,消費支出,1,,,,,,,2,,,,3,,,,,,,4,,,,5,,,,
,,,,,戶  數,平均每戶人數,可支配所得,消費支出,,,,戶  數,平均每戶人數,可支配所得,消費支出,戶  數,平均每戶人數,可支配所得,消費支出,,,,戶  數,平均每戶人數,可支配所得,消費支出,戶  數,平均每戶人數,可支配所得,消費支出,
,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,,,,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,,,,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全 體 家 庭,8458223,3.07,993115,776811,1691645,1.69,329400,347785,All Families,,全 體 家 庭,1691645,2.5099999999999998,616604,558894,1691645,3.24,861413,747798,All Families,,全 體 家 庭,1691645,3.74,1153992,931774,1691643,4.16,2004165,1297803,All Families
按 性 別 分,,,,,,,,,Sex,,按 性 別 分,,,,,,,,,Sex,,按 性 別 分,,,,,,,,,Sex
男,5945613,3.3,1057791,821340,919880,1.83,337217,361290,Male,,男,1107260,2.59,618606,562593,1256899,3.39,863619,753679,Male,,男,1325652,3.84,1153657,933333,1335922,4.2699999999999996,2005529,1305104,Male
女,2512610,2.5299999999999998,840070,671440,771765,1.53,320083,331687,Female,,女,584385,2.36,612812,551887,434746,2.81,855034,730793,Female,,女,365993,3.38,1155207,926125,355721,3.75,1999041,1270385,Female
按 年 齡 組 別 分,,,,,,,,,Age,,按 年 齡 組 別 分,,,,,,,,,Age,,按 年 齡 組 別 分,,,,,,,,,Age
未 滿 30 歲,370301,3.14,935130,750832,45685,1.78,381882,373282,Under 30 years,,未 滿 30 歲,108772,2.61,629780,576653,89658,3.3,856169,763919,Under 30 years,,未 滿 30 歲,71273,3.95,1153049,909978,54914,4.01,1846297,1182013,Under 30 years
30 ～ 34 歲,556402,3.48,1072960,840564,35132,1.67,373394,361741,30～34 years,,30 ～ 34 歲,119710,2.78,624933,574609,141993,3.34,867896,764970,30～34 years,,30 ～ 34 歲,137120,3.83,1147325,928420,122448,4.45,1866200,1227228,30～34 years
35 ～ 39 歲,876132,3.67,1068104,847538,58673,1.99,393587,369241,35～39 years,,35 ～ 39 歲,185741,2.8,619806,559409,235309,3.66,858319,757778,35～39 years,,35 ～ 39 歲,214762,4.01,1155216,936915,181647,4.71,1913149,1307263,35～39 years
40 ～ 44 歲,925557,3.69,1087829,863019,67648,2,381782,378665,40～44 years,,40 ～ 44 歲,189643,2.88,622286,569819,240276,3.71,861213,767113,40～44 years,,40 ～ 44 歲,231397,4.12,1147851,969772,196593,4.5199999999999996,1986190,1304087,40～44 years
45 ～ 54 歲,2136530,3.5,1140169,903001,193966,1.81,352066,370748,45～54 years,,45 ～ 54 歲,370385,2.72,624404,564051,482031,3.47,867091,777608,45～54 years,,45 ～ 54 歲,544341,3.92,1155998,961659,545807,4.24,1995624,1374402,45～54 years
55 ～ 64 歲,1853720,2.87,1081416,779844,385137,1.66,333220,359427,55～64 years,,55 ～ 64 歲,325344,2.29,617196,539882,301872,2.78,863141,697719,55～64 years,,55 ～ 64 歲,366524,3.36,1157602,887623,474844,3.93,2086283,1254264,55～64 years
65 歲 及 以 上,1739581,1.97,617052,522242,905405,1.63,310491,332387,65 years and over,,65 歲 及 以 上,392050,2.09,598281,554546,200507,2.2200000000000002,846785,697300,65 years and over,,65 歲 及 以 上,126228,2.71,1151806,868639,115390,2.97,2102071,1219054,65 years and over
按 教 育 程 度 別 分,,,,,,,,,Educational attainment,,按 教 育 程 度 別 分,,,,,,,,,Educational attainment,,按 教 育 程 度 別 分,,,,,,,,,Educational attainment
國 小 及 以 下,1388407,2.14,548700,469082,810100,1.62,307064,314440,Primary school and below,,國 小 及 以 下,281328,2.29,595548,520392,139133,2.68,842893,680002,Primary school and below,,國 小 及 以 下,92558,3.67,1157103,843899,65288,4.5599999999999996,1855593,1185935,Primary school and below
國（初） 中（初 職）,1239354,3.11,847975,676296,296300,1.76,338418,346311,Junior middle (vocational),,國（初） 中（初 職）,321128,2.65,611386,545326,254823,3.42,860735,715070,Junior middle (vocational),,國（初） 中（初 職）,211394,4.01,1150439,885673,155709,4.88,1874035,1226620,Junior middle (vocational)
高 中,866579,3.21,950895,751944,138558,1.87,355752,404078,High school,,高 中,221797,2.57,617094,562110,203579,3.43,863484,749989,High school,,高 中,167597,4,1136505,921470,135049,4.32,2011137,1213185,High school
高 職,1716938,3.38,962484,781631,254262,1.79,357026,376409,Senior vocational school,,高 職,392497,2.7,623256,564103,417942,3.56,860942,757927,Senior vocational school,,高 職,378222,4.12,1153181,945566,274015,4.57,1901864,1279103,Senior vocational school
專 科,1081776,3.32,1150586,904232,85492,1.69,359541,415628,Junior college,,專 科,171104,2.4500000000000002,626304,572211,248570,3.22,864594,776635,Junior college,,專 科,298324,3.62,1155152,943654,278286,4.13,1966519,1330194,Junior college
大 學 及 以 上,2165168,3.21,1323683,974142,106933,1.58,349699,409239,College and above,,大 學 及 以 上,303792,2.33,627206,592314,427597,2.94,865468,761653,College and above,,大 學 及 以 上,543550,3.38,1160164,951726,783296,3.82,2090376,1330901,College and above
