appleL0595年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 95 年,,,,單位：元,2 0 0 6 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,7307999,770088,1098167,630555,3263690,80518,1065749,399231,No. of households
平均每戶人數,3.41,1,2,2.66,3.93,3.13,5.58,3.05,No. of persons per household
平均每戶成年人數,2.56,1,2,2.0699999999999998,2.76,1.94,3.9,2.74,No. of adults per household
平均每戶就業人數,1.52,0.51,0.79,1.35,1.84,0.78,2.1800000000000002,1.52,No. of persons employed per household
平均每戶所得收入者人數,1.66,1,1.25,1.53,1.8,1.28,2.19,1.69,No. of income recipients per household
一、所得收入總計,1099739,451846,758262,846697,1332630,698221,1402487,1057364,A.Total receipts
1.受僱人員報酬,635926,198875,330349,509038,824872,219302,818451,572076,1.Compensation of employees
(1)本業薪資,479041,147111,203028,409978,626566,142966,634428,434596,(1)Full time payroll
(2)兼業薪資,35120,18408,68947,15928,31586,49628,31532,40166,(2)Part time payroll
(3)其他收入,121764,33355,58375,83132,166720,26708,152491,97314,(3)Other receipts or subsidies
2.產業主所得,167860,45281,81909,88345,228091,84060,219068,154141,2.Entrepreneurial income
3.財產所得收入,53237,26976,74216,39278,56836,57766,50881,44195,3. Property income
4.自用住宅設算租金收入,64985,41537,59992,51610,73547,54495,71034,61056,4.Imputed rent income
5.經常移轉收入,177532,139047,211617,158246,149066,282381,242857,225653,5.Current transfer receipts
(1)從私人,48545,69378,81835,52707,27383,142458,45147,73342,(1)From individuals
(2)從政府,40492,34406,58393,36109,29380,55583,59399,47241,(2)From government
(3)社會保險受益,83888,31995,69895,64420,88429,74580,133186,86380,(3)Benefit of social insurance
(4)從企業,2595,450,786,3059,3691,916,3106,992,(4)From enterprises
(5)從國外,2012,2818,708,1951,183,8844,2019,17698,(5)From abroad
6.雜項收入,198,132,179,180,218,216,197,243,6.Miscellaneous receipts
二、非消費支出,186647,72373,124372,124500,238618,93416,223495,172115,B.Nonconsumption expenditures
1.利息支出,18805,9049,11801,16461,25163,9494,16467,16725,1.Interest
2.經常移轉支出,167843,63323,112571,108039,213455,83921,207029,155390,2.Current transfer expenditures
(1)對私人,51240,28679,46121,28116,63402,30117,50645,51791,(1)To private
(2)對政府,36575,13016,24870,22715,47752,14221,43128,31750,(2)To government
(3)社會保險,76737,19719,36547,56550,98560,32914,111463,66895,(3)Social insurance
(4)對國外,3290,1911,5033,658,3740,6668,1793,4954,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
95年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 95 年,,,,單位：元,2 0 0 6 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,713024,305185,489057,562117,856465,537138,925774,649041,C.Consumption expenditures
1.食品費,154514,53901,94893,126303,183609,125918,223136,141882,1.Food
2.飲料費,6745,3441,4112,5374,8057,4765,8666,7066,2.Beverage
3.菸草,6402,3136,4001,5172,6860,4458,10358,7331,3.Tobacco
4.衣著、鞋、襪類,23957,9125,14250,18731,29752,15160,31298,22326,4.Clothing and footwear
5.房地租及水費,145811,97788,125568,128396,166695,118726,151818,140325,5.Rent and water charges
6.燃料及燈光,19915,10040,15173,16654,22460,18817,26638,18635,6.Fuel and light
7.家具及家庭設備,11923,5208,9732,7596,14672,8289,13375,12125,7.Furniture and family facilities
8.家事管理,12481,6423,8621,8624,16376,6409,12538,10103,8.Household operations
9.保健及醫療,99292,43237,89609,74757,102182,90202,156118,99308,9.Health care and medical
10.運輸交通及通訊,88049,28921,50192,62800,113917,43487,112043,79573,10.Transport and communications
(1)交通及通訊工具之購置,9425,1802,5807,4545,13953,2153,8521,8647,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,42824,12603,24636,27622,54543,20168,59663,38980,(2)Operation of transport equipment
(3)乘交通設備之費用,8092,4206,4855,7382,10166,6480,8840,6990,(3)Purchased transportation
(4)其他通訊費,22758,8923,11887,20268,28884,12531,28383,20254,(4)Other communications
(5)汽機車保險費支出,4949,1387,3007,2983,6371,2156,6637,4702,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,91669,22766,37662,66119,128853,68953,113244,56502,"11.Recreation ,education and culture"
(1)旅遊費用,22831,10933,22377,14754,27766,12969,23410,19896,(1)Traveling
(2)娛樂消遣服務,8611,5870,6818,8018,9834,6685,9250,8443,(2)Recreation service
(3)書報雜誌文具,4184,1458,2244,3104,5652,2756,4850,2998,(3)Books and stationery
(4)娛樂器材及附屬品,8016,3003,5087,5599,10564,6062,9000,6485,(4)Recreation facilities
(5)教育與研究費,48027,1501,1137,34644,75037,40482,66734,18680,(5)Education and research
12.什項消費,52267,21200,35244,41591,63033,31954,66541,53866,12.Miscellaneous
可支配所得,913092,379474,633890,722197,1094012,604805,1178992,885249,Disposable income
消費支出,713024,305185,489057,562117,856465,537138,925774,649041,Consumption expenditures
儲蓄,200068,74288,144833,160080,237547,67667,253218,236208,Saving
所得總額,1151338,483372,804712,888070,1391589,736455,1458553,1108600,Current receipts
