L09112年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2023",,112年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2023",,112年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 112 年,,,,,2 0 2 3,,,,,民 國 112 年,,,,,2 0 2 3,,,,,民 國 112 年,,,,,2 0 2 3,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,9119999,1655751,1059757,891027,1047164,721550,1144005,No. of households,,家庭戶數,177238,218361,198022,404247,180196,246207,185790,No. of households,,家庭戶數,296396,84425,128496,42807,158167,177461,102932,No. of households
平均每戶人數,2.79,2.72,2.68,3.03,2.83,2.81,2.78,No. of persons per household,,平均每戶人數,2.64,3.01,3.02,2.94,2.78,2.61,2.5499999999999998,No. of persons per household,,平均每戶人數,2.73,2.39,2.36,2.42,2.67,2.89,2.86,No. of persons per household
平均每戶成年人數,2.46,2.44,2.46,2.6,2.46,2.48,2.4500000000000002,No. of adults per household,,平均每戶成年人數,2.2999999999999998,2.44,2.64,2.58,2.52,2.33,2.2999999999999998,No. of adults per household,,平均每戶成年人數,2.38,2.04,2.09,2.13,2.37,2.44,2.5,No. of adults per household
平均每戶就業人數,1.34,1.33,1.27,1.44,1.38,1.39,1.35,No. of persons employed per household,,平均每戶就業人數,1.01,1.38,1.41,1.43,1.49,1.35,1.1599999999999999,No. of persons employed per household,,平均每戶就業人數,1.39,1.07,1.05,0.93,1.19,1.36,1.29,No. of persons employed per household
平均每戶所得收入者人數,1.8,1.87,1.95,1.9,1.79,1.75,1.78,No. of income recipients per household,,平均每戶所得收入者人數,1.58,1.74,1.85,1.77,1.76,1.64,1.56,No. of income recipients per household,,平均每戶所得收入者人數,1.7,1.48,1.51,1.53,1.72,1.86,1.77,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
