appleL0592年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 92 年,,,,單位：元,2 0 0 3 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,6961560,645001,994023,573455,3253848,75240,1055728,364266,No. of households
平均每戶人數,3.53,1,2,2.72,4,3.08,5.67,3.07,No. of persons per household
平均每戶成年人數,2.6,1,2,2.0699999999999998,2.75,1.94,3.94,2.73,No. of adults per household
平均每戶就業人數,1.54,0.53,0.74,1.33,1.84,0.63,2.1800000000000002,1.51,No. of persons employed per household
平均每戶所得收入者人數,1.64,1,1.19,1.49,1.79,1.22,2.14,1.66,No. of income recipients per household
一、所得收入總計,1064825,461717,698951,816210,1268419,573887,1331760,1031682,A.Total receipts
1.受僱人員報酬,615294,205302,285626,479211,788557,166932,759137,583126,1.Compensation of employees
(1)本業薪資,471660,155835,162859,392986,611892,114602,595391,459922,(1)Full time payroll
(2)兼業薪資,35995,18126,78466,15965,30850,30012,34211,35635,(2)Part time payroll
(3)其他收入,107639,31341,44301,70260,145815,22318,129535,87569,(3)Other receipts or subsidies
2.產業主所得,170902,57357,85862,104413,222707,76781,220274,122280,2.Entrepreneurial income
3.財產所得收入,48510,25836,61136,32010,50466,30694,54521,48962,3. Property income
4.自用住宅設算租金收入,62922,39266,55883,51664,70673,41894,68466,60771,4.Imputed rent income
5.經常移轉收入,167012,133824,210229,148691,135850,257086,229166,216305,5.Current transfer receipts
(1)從私人,51407,67073,91637,57075,30259,139023,49885,80186,(1)From individuals
(2)從政府,35629,31845,48980,32627,26705,59422,51297,40019,(2)From government
(3)社會保險受益,77096,31463,66611,55042,77527,58549,125885,79807,(3)Benefit of social insurance
(4)從企業,1301,1139,689,2420,1306,91,1488,1160,(4)From enterprises
(5)從國外,1579,2303,2311,1528,54,0,611,15133,(5)From abroad
6.雜項收入,186,132,215,222,165,501,196,237,6.Miscellaneous receipts
二、非消費支出,183163,79162,110647,125251,230509,78028,213311,167792,B.Nonconsumption expenditures
1.利息支出,24216,11231,12017,21424,32846,11883,20714,20494,1.Interest
2.經常移轉支出,158947,67931,98630,103827,197662,66146,192597,147299,2.Current transfer expenditures
(1)對私人,49834,29681,41603,28437,59897,22808,51784,51711,(1)To private
(2)對政府,33256,13949,19614,21461,42948,12705,37303,29184,(2)To government
(3)社會保險,72367,19461,30873,52529,91545,30580,102113,61625,(3)Social insurance
(4)對國外,3490,4840,6539,1400,3273,53,1397,4779,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
92年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 92 年,,,,單位：元,2 0 0 3 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,666372,293426,428564,531341,786909,438794,853560,616035,C.Consumption expenditures
1.食品費,147727,51618,86855,120477,173280,106498,206953,135525,1.Food
2.飲料費,6225,2889,3778,4744,7397,4205,7895,6253,2.Beverage
3.菸草,5990,2913,3764,4668,6598,4128,8922,6047,3.Tobacco
4.衣著、鞋、襪類,23480,9063,12599,18330,28877,12607,30090,21691,4.Clothing and footwear
5.房地租及水費,140785,95134,119984,128354,158771,101041,144085,135940,5.Rent and water charges
6.燃料及燈光,18841,9056,13713,15803,20988,15930,25400,17349,6.Fuel and light
7.家具及家庭設備,11059,5021,8206,7916,13032,6166,13531,10700,7.Furniture and family facilities
8.家事管理,12583,6344,7744,9648,15757,6787,13559,11472,8.Household operations
9.保健及醫療,84651,37737,75110,59330,84382,70955,137229,86476,9.Health care and medical
10.運輸交通及通訊,80743,29967,39175,60194,101658,33703,102963,74923,10.Transport and communications
(1)交通及通訊工具之購置,10841,3479,4303,6909,14270,1455,14320,9137,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,36208,11796,17345,24219,45543,13409,49235,33354,(2)Operation of transport equipment
(3)乘交通設備之費用,8107,4439,5024,7805,9790,5606,8473,7904,(3)Purchased transportation
(4)其他通訊費,21096,8881,10121,18289,26448,11175,24822,20532,(4)Other communications
(5)汽機車保險費支出,4491,1372,2382,2972,5606,2058,6113,3996,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,87441,22666,29071,65113,121047,55494,102245,60070,"11.Recreation ,education and culture"
(1)旅遊費用,18058,10105,14843,12199,21299,5250,19110,20780,(1)Traveling
(2)娛樂消遣服務,9173,5634,6503,8990,10747,6380,9461,8688,(2)Recreation service
(3)書報雜誌文具,4655,1682,2443,3345,6061,2915,5412,3619,(3)Books and stationery
(4)娛樂器材及附屬品,8499,3801,4312,6282,11132,4471,9213,6967,(4)Recreation facilities
(5)教育與研究費,47056,1443,970,34296,71807,36478,59049,20015,(5)Education and research
12.什項消費,46847,21019,28566,36766,55121,21280,60687,49591,12.Miscellaneous
可支配所得,881662,382554,588303,690960,1037910,495858,1118449,863889,Disposable income
消費支出,666372,293426,428564,531341,786909,438794,853560,616035,Consumption expenditures
儲蓄,215290,89128,159739,159618,251002,57064,264889,247854,Saving
所得總額,1112233,490829,742611,855823,1321448,607268,1382936,1075750,Current receipts
