appleL03101年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 101 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8077323,826105,7251218,No. of households
平均每戶人數,3.23,3.47,3.2,No. of persons per household
平均每戶成年人數,2.5499999999999998,2.85,2.52,No. of adults per household
平均每戶就業人數,1.46,1.82,1.42,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.82,1.66,No. of income recipients per household
一、所得收入總計,1122379,946624,1142403,A.Total receipts
1.受僱人員報酬,647332,371944,678706,1.Compensation of employees
(1)本業薪資,480144,276321,503365,(1)Full time payroll
(2)兼業薪資,42664,32940,43772,(2)Part time payroll
(3)其他收入,124524,62684,131569,(3)Other receipts or subsidies
2.產業主所得,148332,241639,137702,2.Entrepreneurial income
3.財產所得收入,47446,25777,49914,3. Property income
4.自用住宅設算租金收入,67398,48807,69516,4.Imputed rent income
5.經常移轉收入,211718,258243,206417,5.Current transfer receipts
(1)從私人,57935,52229,58585,(1)From individuals
(2)從政府,50284,91795,45555,(2)From government
(3)社會保險受益,101259,111071,100141,(3)Benefit of social insurance
(4)從企業,1434,2415,1322,(4)From enterprises
(5)從國外,807,733,815,(5)From abroad
6.雜項收入,154,212,147,6.Miscellaneous receipts
二、非消費支出,198796,142456,205214,B.Nonconsumption expenditures
1.利息支出,12149,2967,13196,1.Interest
2.經常移轉支出,186646,139489,192019,2.Current transfer expenditures
(1)對私人,48192,37008,49467,(1)To private
(2)對政府,33848,22839,35103,(2)To government
(3)社會保險,102423,78984,105093,(3)Social insurance
(4)對國外,2183,658,2356,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 2,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,727693,630062,738815,C.Consumption expenditures
1.食品及非酒精飲料,110918,110296,110989,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9481,11240,9280,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22053,17226,22603,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,177264,124182,183312,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,156540,102788,162664,(1)Rent and water charges
(2)電費及燃料,20724,21395,20648,(2)Power and fuel
5.家具設備及家務維護,18167,14364,18600,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,105869,120154,104241,6.Health
7.交通,69320,68645,69397,7.Transport
(1)個人交通工具之購置,8598,9481,8497,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46445,48134,46252,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10021,6004,10479,(3)Transport services
(4)汽、機車保險費,4256,5026,4169,(4)Insurance of vehicles
8.通訊,25413,20132,26015,8.Communication
9.休閒與文化,38440,24532,40024,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),15550,8437,16360,(1)Package holidays
(2)娛樂消遣及文化服務,9968,6771,10332,(2)Recreational and cultural services
(3)書報雜誌文具,5374,4123,5517,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7548,5202,7816,(4)Recreational facilities
10.教育,34417,25871,35391,10.Education
11.餐廳及旅館,77000,57051,79273,11.Restaurants and hotels
12.什項消費,39350,36369,39690,12.Miscellaneous goods and services
可支配所得,923584,804168,937188,Disposable income
消費支出,727693,630062,738815,Consumption expenditures
儲蓄,195891,174106,198373,Saving
所得總額,1176877,983417,1198917,Current receipts
