appleL0692年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 92 年,,,單位：元,2 0 0 3 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,6961560,1392312,1392312,1392312,1392312,1392312,No. of households
平均每戶人數,3.53,2.0299999999999998,3.13,3.84,4.1900000000000004,4.46,No. of persons per household
平均每戶成年人數,2.6,1.74,2.2599999999999998,2.65,2.98,3.35,No. of adults per household
平均每戶就業人數,1.54,0.62,1.2,1.59,1.94,2.35,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.05,1.29,1.57,1.91,2.39,No. of income recipients per household
一、所得收入總計,1064825,358916,664930,908717,1237701,2153862,A.Total receipts
1.受僱人員報酬,615294,105778,335005,478177,752025,1405484,1.Compensation of employees
(1)本業薪資,471660,81422,264791,379868,591217,1041002,(1)Full time payroll
(2)兼業薪資,35995,15231,28277,25102,29114,82250,(2)Part time payroll
(3)其他收入,107639,9125,41936,73207,131693,282233,(3)Other receipts or subsidies
2.產業主所得,170902,41039,113545,188808,202528,308589,2.Entrepreneurial income
3.財產所得收入,48510,15648,23200,31909,45610,126180,3. Property income
4.自用住宅設算租金收入,62922,33929,48908,60610,72149,99013,4.Imputed rent income
5.經常移轉收入,167012,162230,144098,149038,165229,214466,5.Current transfer receipts
(1)從私人,51407,70716,49353,41556,42692,52718,(1)From individuals
(2)從政府,35629,50224,36943,33715,29859,27406,(2)From government
(3)社會保險受益,77096,40620,57059,71226,89488,127086,(3)Benefit of social insurance
(4)從企業,1301,125,306,858,866,4350,(4)From enterprises
(5)從國外,1579,544,438,1684,2325,2906,(5)From abroad
6.雜項收入,186,292,174,174,160,130,6.Miscellaneous receipts
二、非消費支出,183163,62618,119465,163486,216376,353870,B.Nonconsumption expenditures
1.利息支出,24216,9283,20078,25006,29058,37654,1.Interest
2.經常移轉支出,158947,53335,99387,138480,187318,316217,2.Current transfer expenditures
(1)對私人,49834,19930,31446,42686,56674,98436,(1)To private
(2)對政府,33256,7360,15683,24399,36675,82165,(2)To government
(3)社會保險,72367,24103,49763,69112,90829,128029,(3)Social insurance
(4)對國外,3490,1943,2495,2283,3140,7587,(4)To abroad
,,,,,,,
92年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 92 年,,,單位：元,2 0 0 3 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,666372,294645,491137,650448,802983,1092645,C.Consumption expenditures
1.食品費,147727,72466,119537,153717,177328,215587,1.Food
2.飲料費,6225,2752,4521,6083,7458,10311,2.Beverage
3.菸草,5990,3791,5617,6591,7065,6886,3.Tobacco
4.衣著、鞋、襪類,23480,7869,15593,21682,29447,42809,4.Clothing and footwear
5.房地租及水費,140785,80572,114188,135726,160028,213413,5.Rent and water charges
6.燃料及燈光,18841,11379,16449,19528,21919,24929,6.Fuel and light
7.家具及家庭設備,11059,3855,6708,8860,12687,23185,7.Furniture and family facilities
8.家事管理,12583,3993,6893,11190,14548,26290,8.Household operations
9.保健及醫療,84651,48172,65927,81272,101417,126468,9.Health care and medical
10.運輸交通及通訊,80743,23776,52382,78700,101725,147133,10.Transport and communications
(1)交通及通訊工具之購置,10841,1075,3916,9509,13441,26265,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,36208,10485,24504,36075,46346,63632,(2)Operation of transport equipment
(3)乘交通設備之費用,8107,3738,5927,7698,9571,13599,(3)Purchased transportation
(4)其他通訊費,21096,7182,15137,20919,26941,35301,(4)Other communications
(5)汽機車保險費支出,4491,1296,2897,4499,5426,8336,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,87441,20742,54555,86004,113831,162073,"11.Recreation ,education and culture"
(1)旅遊費用,18058,4799,8463,13311,20798,42919,(1)Traveling
(2)娛樂消遣服務,9173,4586,7383,8820,10788,14287,(2)Recreation service
(3)書報雜誌文具,4655,1347,3116,4573,5835,8403,(3)Books and stationery
(4)娛樂器材及附屬品,8499,2065,4719,6918,10077,18714,(4)Recreation facilities
(5)教育與研究費,47056,7943,30874,52382,66332,77751,(5)Education and research
12.什項消費,46847,15277,28769,41096,55530,93562,12.Miscellaneous
可支配所得,881662,296297,545465,745231,1021325,1799992,Disposable income
消費支出,666372,294645,491137,650448,802983,1092645,Consumption expenditures
儲蓄,215290,1652,54328,94783,218342,707347,Saving
所得總額,1112233,386599,703697,953722,1291404,2225745,Current receipts
