黃麗妃L08103年家庭收支調查報告,,,,
,,,,
第11表 家庭戶數按所得總額組別及經濟戶長性別分,,,,
Table 11. Numbers of Households by Current Receipts,,,,
,Groups and Sex of Household Heads,,,
,,,,單位：戶
,民 國 103 年,,2 0 1 4,Unit：Households
所 得 總 額 組 別,合 計Total,經濟戶長性別,,Current receipts groups
Sex of Household Head,,,,
男,女,,,
Male,Female,,,
總 計,8290000,5974977,2315023,Total
"未滿200,000元",108652,50237,58415,"Under NT$200,000"
"200,000～299,999",249650,111508,138141,"200,000～299,999"
"300,000～399,999",402617,231439,171178,"300,000～399,999"
"400,000～499,999",490238,280302,209936,"400,000～499,999"
"500,000～599,999",510717,310519,200198,"500,000～599,999"
"600,000～699,999",505820,307601,198219,"600,000～699,999"
"700,000～799,999",517040,373411,143629,"700,000～799,999"
"800,000～899,999",546824,382890,163933,"800,000～899,999"
"900,000～999,999",533399,389990,143409,"900,000～999,999"
"1,000,000～1,099,999",532422,405124,127298,"1,000,000～1,099,999"
"1,100,000～1,199,999",477104,370726,106378,"1,100,000～1,199,999"
"1,200,000～1,299,999",466398,367897,98501,"1,200,000～1,299,999"
"1,300,000～1,399,999",402230,319358,82872,"1,300,000～1,399,999"
"1,400,000～1,499,999",347958,278449,69509,"1,400,000～1,499,999"
"1,500,000～1,649,999",443763,354648,89115,"1,500,000～1,649,999"
"1,650,000～1,799,999",360208,292313,67895,"1,650,000～1,799,999"
"1,800,000～1,999,999",367742,299466,68276,"1,800,000～1,999,999"
"2,000,000～2,299,999",349547,287105,62441,"2,000,000～2,299,999"
"2,300,000～2,699,999",286138,231896,54242,"2,300,000～2,699,999"
"2,700,000～3,499,999",248809,212164,36645,"2,700,000～3,499,999"
"3,500,000元及以上",142726,117933,24794,"Above $3,500,000"
