appleL0496年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2007",,96年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2007"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
(1)本業薪資,485369,939464,1016928,759591,615297,314952,(1)Full time payroll,,(1)本業薪資,140615,531423,532628,415817,35874,(1)Full time payroll
(2)兼業薪資,37132,48721,39646,35199,35326,16477,(2)Part time payroll,,(2)兼業薪資,21482,13046,14622,23017,95704,(2)Part time payroll
(3)其他收入,118233,271775,293145,218287,159709,67590,(3)Other receipts or subsidies,,(3)其他收入,18148,66732,110420,68765,22442,(3)Other receipts or subsidies
2.產業主所得,160457,446344,121473,83763,32330,366212,2.Entrepreneurial income,,2.產業主所得,244696,193991,138573,47477,494,2.Entrepreneurial income
3.財產所得收入,54538,117207,77147,59886,66771,37602,3. Property income,,3.財產所得收入,26144,22281,21515,17557,96405,3. Property income
4.自用住宅設算租金收入,65747,101837,89442,78525,72182,61565,4.Imputed rent income,,4.自用住宅設算租金收入,41475,58477,58609,47436,57120,4.Imputed rent income
5.經常移轉收入,187030,160932,175299,160552,173678,162477,5.Current transfer receipts,,5.經常移轉收入,230677,164752,164244,185261,269657,5.Current transfer receipts
(1)從私人,53986,39155,44449,38475,51065,40287,(1)From individuals,,(1)從私人,57404,29691,30722,43318,126762,(1)From individuals
(2)從政府,42184,24049,23578,26992,27834,38072,(2)From government,,(2)從政府,85614,42189,36717,49442,65730,(2)From government
(3)社會保險受益,86893,95636,96137,91071,89511,81526,(3)Benefit of social insurance,,(3)社會保險受益,79962,91600,95170,87903,72384,(3)Benefit of social insurance
(4)從企業,2279,1479,6774,2054,825,1596,(4)From enterprises,,(4)從企業,7447,1271,1577,4405,979,(4)From enterprises
(5)從國外,1689,613,4361,1961,4443,997,(5)From abroad,,(5)從國外,250,0,58,193,3802,(5)From abroad
6.雜項收入,168,174,51,90,187,220,6.Miscellaneous receipts,,6.雜項收入,144,198,117,212,249,6.Miscellaneous receipts
二、非消費支出,184800,404772,348680,255357,193427,158015,B.Nonconsumption expenditures,,二、非消費支出,102778,168299,170195,113065,67203,B.Nonconsumption expenditures
1.利息支出,18278,36683,30753,27680,19566,20401,1.Interest,,1.利息支出,3933,19008,16109,10537,4172,1.Interest
2.經常移轉支出,166522,368088,317927,227677,173860,137614,2.Current transfer expenditures,,2.經常移轉支出,98845,149292,154086,102528,63031,2.Current transfer expenditures
(1)對私人,51717,116323,95763,68656,50857,46068,(1)To private,,(1)對私人,37536,44866,41078,27052,25414,(1)To private
(2)對政府,35131,99748,82593,51934,35538,25026,(2)To government,,(2)對政府,14661,26010,26687,16220,11393,(2)To government
(3)社會保險,76943,139257,127770,104684,86094,65423,(3)Social insurance,,(3)社會保險,46134,77920,85604,59013,24024,(3)Social insurance
(4)對國外,2731,12760,11800,2403,1372,1098,(4)To abroad,,(4)對國外,513,496,716,244,2200,(4)To abroad
,,,,,,,,,,,,,,,
96年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2007",,96年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2007"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 96 年,,,單位：元,2 0 0 7 Unit:NT$,,,,,民 國 96 年,,單位：元,2 0 0 7 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
三、消費支出,716094,1142016,992462,868651,774107,696641,C.Consumption expenditures,,三、消費支出,486756,720290,692504,552335,450689,C.Consumption expenditures
1.食品費,160563,220430,191558,184743,171075,166848,1.Food,,1.食品費,117304,179516,174419,141822,91708,1.Food
2.飲料費,6525,10867,7251,7219,6085,6785,2.Beverage,,2.飲料費,5682,7922,6756,6124,3205,2.Beverage
3.菸草,6212,7536,3519,5110,4744,6812,3.Tobacco,,3.菸草,6512,10417,8539,7330,2624,3.Tobacco
4.衣著、鞋、襪類,23431,45123,37470,31850,25959,22207,4.Clothing and footwear,,4.衣著、鞋、襪類,12275,22121,22434,15960,10151,4.Clothing and footwear
5.房地租及水費,147927,229566,201407,173770,165721,145860,5.Rent and water charges,,5.房地租及水費,87116,132926,128925,115907,124339,5.Rent and water charges
6.燃料及燈光,20465,25865,22962,22395,20815,20862,6.Fuel and light,,6.燃料及燈光,17448,22435,21992,18519,14319,6.Fuel and light
7.家具及家庭設備,12358,25737,23433,16170,14415,9755,7.Furniture and family facilities,,7.家具及家庭設備,7744,10566,11043,6463,6690,7.Furniture and family facilities
8.家事管理,12151,23055,28080,16450,13481,9434,8.Household operations,,8.家事管理,5211,9524,9121,6521,8049,8.Household operations
9.保健及醫療,102407,126558,120867,111840,100962,96349,9.Health care and medical,,9.保健及醫療,94611,101563,99614,83254,94349,9.Health care and medical
10.運輸交通及通訊,89256,160281,132895,120134,102733,81694,10.Transport and communications,,10.運輸交通及通訊,60736,96719,86876,60206,34901,10.Transport and communications
(1)交通及通訊工具之購置,8632,16945,13731,13241,15049,6202,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,5931,9473,5221,3407,3877,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,45103,82489,70817,61798,47133,40210,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,32726,50206,45850,28339,14667,(2)Operation of transport equipment
(3)乘交通設備之費用,7929,12969,10822,10186,9680,7854,(3)Purchased transportation,,(3)乘交通設備之費用,4610,7256,6550,7152,5283,(3)Purchased transportation
(4)其他通訊費,22769,38673,29646,28757,25693,23030,(4)Other communications,,(4)其他通訊費,13809,24623,24347,18331,9401,(4)Other communications
(5)汽機車保險費支出,4822,9205,7879,6152,5178,4398,(5)Insurance of transport equipment,,(5)汽機車保險費支出,3659,5162,4908,2978,1673,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,89680,184595,150585,121278,96467,86475,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,40873,85166,82193,58170,37368,"11.Recreation ,education and culture"
(1)旅遊費用,22149,60257,49832,30709,22833,16462,(1)Traveling,,(1)旅遊費用,9385,13398,13663,8637,15053,(1)Traveling
(2)娛樂消遣服務,8372,12633,10841,9828,8985,8666,(2)Recreation service,,(2)娛樂消遣服務,5325,8283,8083,6811,5828,(2)Recreation service
(3)書報雜誌文具,3871,7662,7445,5306,4069,3670,(3)Books and stationery,,(3)書報雜誌文具,1957,3379,3235,2255,1834,(3)Books and stationery
(4)娛樂器材及附屬品,9045,19010,18099,13431,10640,7443,(4)Recreation facilities,,(4)娛樂器材及附屬品,4008,7849,7563,4481,3712,(4)Recreation facilities
(5)教育與研究費,46243,85034,64368,62003,49939,50233,(5)Education and research,,(5)教育與研究費,20198,52257,49649,35986,10941,(5)Education and research
12.什項消費,45120,82404,72435,57691,51648,43559,12.Miscellaneous,,12.什項消費,31244,41417,40593,32059,22987,12.Miscellaneous
可支配所得,923874,1681684,1464452,1140536,962053,869080,Disposable income,,可支配所得,620603,882599,870533,692478,510743,Disposable income
消費支出,716094,1142016,992462,868651,774107,696641,Consumption expenditures,,消費支出,486756,720290,692504,552335,450689,Consumption expenditures
儲蓄,207780,539668,471990,271885,187945,172439,Saving,,儲蓄,133847,162309,178029,140143,60054,Saving
所得總額,1162366,2169518,1888081,1461699,1214758,1077937,Current receipts,,所得總額,754433,1099318,1084903,844362,625198,Current receipts
