appleL01102年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
民 國 102 年,,,,,單位：元,2 0 1 3 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
家庭戶數,8191640,908008,2104872,1910843,1812598,873953,372983,141505,38347,28530,No. of households
平均每戶人數,3.21,1,2,3,4,5,6,7,8,9.57,No. of persons per household
平均每戶成年人數,2.57,1,1.93,2.6,2.96,3.58,4.1900000000000004,4.88,5.48,6.13,No. of adults per household
平均每戶就業人數,1.46,0.47,0.82,1.52,1.91,2.19,2.42,2.86,3.36,4.09,No. of persons employed per household
平均每戶所得收入者人數,1.71,1,1.29,1.7,1.98,2.23,2.52,2.87,3.38,3.92,No. of income recipients per household
一、所得收入總計,1140271,476330,819225,1204118,1429596,1488154,1590508,1788149,2044726,2327317,A.Total receipts
1.受僱人員報酬,655707,189204,352703,721950,934073,911629,950522,1064356,1218193,1258704,1.Compensation of employees
(1)本業薪資,487804,138016,233105,533435,709124,706035,733424,835590,974926,1018242,(1)Full time payroll
(2)兼業薪資,44903,21723,61832,51334,38311,32035,40330,40626,37415,7021,(2)Part time payroll
(3)其他收入,123000,29465,57767,137182,186638,173559,176768,188139,205853,233441,(3)Other receipts or subsidies
2.產業主所得,149970,52716,100249,154894,183967,223328,213939,277773,277864,534421,2.Entrepreneurial income
3.財產所得收入,46161,27834,63592,48119,36781,38283,45336,48949,27923,70875,3. Property income
4.自用住宅設算租金收入,68845,42879,63700,72942,76009,76520,80819,75364,89009,94166,4.Imputed rent income
5.經常移轉收入,219444,163498,238835,206050,198672,238249,299693,321587,431661,369151,5.Current transfer receipts
(1)從私人,62520,77750,91775,55982,39584,45091,51591,52759,49171,57553,(1)From individuals
(2)從政府,48607,35898,49784,44335,44284,58491,74577,78276,87883,84736,(2)From government
(3)社會保險受益,105454,48608,94161,103015,112075,130916,170448,188609,272464,224042,(3)Benefit of social insurance
(4)從企業,1977,206,1889,1783,2254,2578,3077,1943,22143,488,(4)From enterprises
(5)從國外,886,1037,1227,934,475,1173,0,0,0,2331,(5)From abroad
6.雜項收入,145,199,145,163,94,144,199,120,76,0,6.Miscellaneous receipts
二、非消費支出,198063,76601,130790,212788,264720,259176,263627,295371,332464,413346,B.Nonconsumption expenditures
1.利息支出,12359,6372,8264,14090,17740,14149,11238,12541,11386,7356,1.Interest
2.經常移轉支出,185704,70230,122526,198698,246979,245028,252390,282830,321078,405990,2.Current transfer expenditures
(1)對私人,45660,27096,39509,50937,55401,47249,43032,50712,54550,66514,(1)To private
(2)對政府,31530,11868,23538,35294,42404,36578,35201,38189,42504,53587,(2)To government
(3)社會保險,106319,27970,56666,109474,148221,159599,173771,193826,223907,283790,(3)Social insurance
(4)對國外,2196,3296,2814,2994,953,1602,385,103,117,2099,(4)To abroad
,,,,,,,,,,,
102年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分(續),,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household (Cont.),,,
民 國 102 年,,,,,單位：元,2 0 1 3 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
三、消費支出,747922,326005,541284,757572,929980,1005355,1098652,1233122,1337596,1538058,C.Consumption expenditures
1.食品及非酒精飲料,112786,37775,81694,109672,134075,162782,194185,223605,256666,311373,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9117,4442,6035,9109,10391,13088,14771,22202,22106,27004,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22295,7532,13903,22986,29502,30961,35129,40133,44020,56231,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,181527,121284,162977,193418,203420,203198,201072,195830,221095,236409,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,159983,110455,145910,171885,178948,174447,169126,159122,181223,185756,(1)Rent and water charges
(2)電費及燃料,21543,10830,17068,21534,24472,28751,31947,36709,39873,50653,(2)Power and fuel
5.家具設備及家務維護,18392,8160,13903,19904,22666,24115,22043,24961,29377,31882,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,109711,48271,91817,107665,119944,144874,178270,206350,218802,272653,6.Health
7.交通,73502,23190,46259,75716,100969,98684,109489,135362,149724,140079,7.Transport
(1)個人交通工具之購置,11382,2212,6999,12127,18062,10931,15321,26828,26392,17706,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,47751,14966,29194,48946,63803,68228,75276,87673,104811,98459,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9972,4654,7283,10279,13228,13292,11820,12000,10102,14219,(3)Transport services
(4)汽、機車保險費,4397,1358,2783,4363,5876,6234,7071,8862,8418,9695,(4)Insurance of vehicles
8.通訊,26508,9660,15280,28073,36026,37874,38617,44679,49930,53543,8.Communication
9.休閒與文化,39541,16790,29843,41290,53007,48173,49061,49967,46892,55842,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),17011,6941,15084,18142,22100,18328,18511,17536,17382,17414,(1)Package holidays
(2)娛樂消遣及文化服務,10415,5851,7824,10974,13205,12657,12730,13412,12058,16128,(2)Recreational and cultural services
(3)書報雜誌文具,5223,919,2051,4696,8301,9192,9203,10230,9507,11847,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6892,3078,4884,7478,9402,7996,8617,8789,7944,10453,(4)Recreational facilities
10.教育,33216,329,4063,25088,61502,69286,73174,75613,66402,95808,10.Education
11.餐廳及旅館,79034,30444,45386,79721,108045,115222,119489,139946,156584,175094,11.Restaurants and hotels
12.什項消費,42294,18130,30122,44928,50433,57099,63351,74473,75998,82141,12.Miscellaneous goods and services
可支配所得,942208,399729,688435,991330,1164877,1228977,1326881,1492778,1712262,1913971,Disposable income
消費支出,747922,326005,541284,757572,929980,1005355,1098652,1233122,1337596,1538058,Consumption expenditures
儲蓄,194286,73724,147150,233758,234897,223622,228229,259656,374666,375913,Saving
所得總額,1195566,511673,872822,1263719,1488557,1547097,1653327,1847320,2099878,2392553,Current receipts
