L10112年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 112 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
家庭戶數,9119999,566116,8553883,No. of households
平均每戶人數,2.79,3.06,2.77,No. of persons per household
平均每戶成年人數,2.46,2.76,2.4300000000000002,No. of adults per household
平均每戶就業人數,1.34,1.86,1.3,No. of persons employed per household
平均每戶所得收入者人數,1.8,1.87,1.8,No. of income recipients per household
一、家庭住宅概況(％),,,,A.Housing (%)
1.住宅所有權,,,,1.By tenure of dwelling
(1)自有(戶內經常   居住成員所擁有),84.5,95.56,83.77,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,5.56,1.94,5.8,"(2)Owned by spouse, parentsor children not living together"
(3)租押,7.02,1.37,7.4,(3)Rented
(4)其他(含配住及借用),2.91,1.1299999999999999,3.03,(4)Allotted and others
2.住宅用途,,,,2.By usage of dwelling
(1)專用,95.81,96.03,95.79,(1)Independent
(2)併用,4.1900000000000004,3.97,4.21,(2)Connected
3.建築式樣,,,,3.By style of building
(1)平房,7.54,27.6,6.21,(1)One story
(2)二～三層樓,36.36,66.05,34.4,(2)Two or three stories
(3)四～五層樓,31.29,6.08,32.96,(3)Four or five stories
(4)六層樓以上,24.81,0.28000000000000003,26.44,"(4)Apartment, six stories or over"
4.具有自來水設備,97.76,91.95,98.14,4.Piped water equipment
5.有車家庭停車位情形,,,,5.Parking lot
(1)自有停車位,48.85,67.87,47.25,(1)Self-owned
(2)租借停車位,16.37,2.19,17.57,(2)Rented
(3)無停車位,34.78,29.94,35.19,(3)None
6.每戶建坪平均數(坪),40.06,48.16,39.520000000000003,6.Space per household average (pin)
7.每戶建坪中位數(坪),35,46,34,7.Space per household median (pin)
二、家庭主要設備,,,,B.Main household equipment (%)
1.普及率(％),,,,1.Percentage of household with equip.
(1)彩色電視機,98.26,99.17,98.2,(1)Color TV
(2)數位影音光碟機,7.48,2.92,7.79,(2)DVD player
(3)攝影機,2.88,1.5,2.98,(3)Movies camera
(4)音響,16.14,9.1199999999999992,16.61,(4)Stereo
(5)鋼琴(含電子琴),5.96,2.79,6.17,(5)Piano
(6)數位相機,8.44,3.76,8.75,(6)Digital camera
(7)電視遊樂器,11.06,3.54,11.56,(7)Video game
