appleL05105年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 105 年,,,,單位：元,2 0 1 6 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8458223,1022289,1605439,853461,3041800,95904,1170128,669202,No. of households
平均每戶人數,3.07,1,2,2.4500000000000002,3.7,3.07,5.25,2.93,No. of persons per household
平均每戶成年人數,2.54,1,2,2.12,2.91,2.0499999999999998,3.87,2.73,No. of adults per household
平均每戶就業人數,1.42,0.49,0.69,1.3,1.88,0.82,2.2000000000000002,1.45,No. of persons employed per household
平均每戶所得收入者人數,1.75,1,1.34,1.55,2,1.46,2.42,1.83,No. of income recipients per household
一、所得收入總計,1194572,502933,886101,921000,1522081,835185,1607247,1181333,A.Total receipts
1.受僱人員報酬,674344,207204,332127,542635,972140,267546,934884,626048,1.Compensation of employees
(1)本業薪資,499684,154153,189477,430640,730939,179742,716826,474803,(1)Full time payroll
(2)兼業薪資,46616,19605,93957,19145,42929,51033,38061,40420,(2)Part time payroll
(3)其他收入,128044,33446,48693,92850,198272,36770,179997,110825,(3)Other receipts or subsidies
2.產業主所得,154303,54069,110031,93955,205304,108384,224652,142349,2.Entrepreneurial income
3.財產所得收入,54302,26321,84186,26588,58376,42407,49827,51703,3. Property income
4.自用住宅設算租金收入,72631,45832,73131,59487,82102,64937,82319,70243,4.Imputed rent income
5.經常移轉收入,238909,169417,286545,198231,204089,351691,315486,290874,5.Current transfer receipts
(1)從私人,68443,82223,111005,63821,38264,153599,60844,89440,(1)From individuals
(2)從政府,49688,34532,50391,49607,41747,68863,74518,61191,(2)From government
(3)社會保險受益,117573,50961,122521,83258,121977,122536,175638,128968,(3)Benefit of social insurance
(4)從企業,2125,1004,1901,1292,1902,1146,3167,4769,(4)From enterprises
(5)從國外,1079,697,727,252,200,5547,1320,6506,(5)From abroad
6.雜項收入,84,88,81,104,70,220,79,116,6.Miscellaneous receipts
二、非消費支出,201458,75310,126331,139555,282669,91872,262390,193364,B.Nonconsumption expenditures
1.利息支出,10152,4500,6029,8293,15621,3857,9378,8454,1.Interest
2.經常移轉支出,191305,70810,120302,131262,267048,88015,253013,184910,2.Current transfer expenditures
(1)對私人,44551,27720,38951,21899,60163,23603,41482,49993,(1)To private
(2)對政府,33165,12772,27673,20303,46160,14655,37768,29431,(2)To government
(3)社會保險,111818,29553,50965,88680,158413,49675,173353,102497,(3)Social insurance
(4)對國外,1772,766,2713,380,2313,82,409,2989,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
105年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 105 年,,,,單位：元,2 0 1 6 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,776811,345606,596197,615962,952914,627877,1082515,760304,C.Consumption expenditures
1.食品及非酒精飲料,113618,41006,90548,84340,132669,112312,183644,108376,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8773,4316,5639,7432,10146,5497,13386,10977,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22882,8427,15173,17615,30081,15903,32452,21715,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,188158,129597,178442,170013,214522,157659,203757,181325,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,169040,119881,162667,153563,192865,139694,176353,162295,(1)Rent and water charges
(2)電費及燃料,19118,9716,15776,16451,21657,17965,27405,19030,(2)Power and fuel
5.家具設備及家務維護,18856,8473,16202,13123,24066,13622,23129,17996,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,119093,48253,109266,88569,129759,110912,182665,131348,6.Health
7.交通,70790,23687,44109,49586,95135,41047,105559,66600,7.Transport
(1)個人交通工具之購置,12126,3021,4868,8020,17646,5848,19459,11678,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43578,14118,28762,29542,57540,25136,66518,41090,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9898,4799,6788,8709,13043,7544,11981,9063,(3)Transport services
(4)汽、機車保險費,5188,1749,3691,3315,6906,2520,7601,4770,(4)Insurance of vehicles
8.通訊,27500,10125,15477,24502,36473,18356,39581,26114,8.Communication
9.休閒與文化,43129,18423,37099,30082,57817,25998,48126,38936,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),21978,8444,23432,12638,29364,9023,21123,20851,(1)Package holidays
(2)娛樂消遣及文化服務,10653,6424,7886,8967,13542,8794,12628,9587,(2)Recreational and cultural services
(3)書報雜誌文具,4475,847,1411,3450,6897,4410,7317,2701,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6024,2708,4371,5027,8014,3771,7058,5797,(4)Recreational facilities
10.教育,29745,527,370,19410,51909,27259,56361,11100,10.Education
11.餐廳及旅館,91906,33701,51202,81273,120311,68390,133424,93697,11.Restaurants and hotels
12.什項消費,42360,19071,32671,30016,50027,30922,60431,52119,12.Miscellaneous goods and services
可支配所得,993115,427623,759770,781445,1239412,743313,1344856,987969,Disposable income
消費支出,776811,345606,596197,615962,952914,627877,1082515,760304,Consumption expenditures
儲蓄,216304,82017,163573,165483,286497,115436,262341,227665,Saving
所得總額,1253389,540592,947414,970854,1587932,884877,1670851,1238875,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
