appleL03102年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 102 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8191640,837838,7353802,No. of households
平均每戶人數,3.21,3.43,3.18,No. of persons per household
平均每戶成年人數,2.57,2.82,2.54,No. of adults per household
平均每戶就業人數,1.46,1.84,1.42,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.81,1.7,No. of income recipients per household
一、所得收入總計,1140271,947609,1162221,A.Total receipts
1.受僱人員報酬,655707,377065,687453,1.Compensation of employees
(1)本業薪資,487804,285657,510835,(1)Full time payroll
(2)兼業薪資,44903,30470,46547,(2)Part time payroll
(3)其他收入,123000,60937,130071,(3)Other receipts or subsidies
2.產業主所得,149970,235233,140255,2.Entrepreneurial income
3.財產所得收入,46161,37432,47155,3. Property income
4.自用住宅設算租金收入,68845,52248,70736,4.Imputed rent income
5.經常移轉收入,219444,245408,216486,5.Current transfer receipts
(1)從私人,62520,55191,63355,(1)From individuals
(2)從政府,48607,81006,44915,(2)From government
(3)社會保險受益,105454,106607,105323,(3)Benefit of social insurance
(4)從企業,1977,2524,1915,(4)From enterprises
(5)從國外,886,79,978,(5)From abroad
6.雜項收入,145,224,136,6.Miscellaneous receipts
二、非消費支出,198063,143652,204262,B.Nonconsumption expenditures
1.利息支出,12359,3383,13381,1.Interest
2.經常移轉支出,185704,140270,190881,2.Current transfer expenditures
(1)對私人,45660,37287,46613,(1)To private
(2)對政府,31530,23110,32489,(2)To government
(3)社會保險,106319,78504,109488,(3)Social insurance
(4)對國外,2196,1369,2290,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 3,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,747922,640491,760162,C.Consumption expenditures
1.食品及非酒精飲料,112786,115633,112462,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9117,12133,8774,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22295,17966,22789,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,181527,127127,187724,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,159983,104813,166269,(1)Rent and water charges
(2)電費及燃料,21543,22314,21456,(2)Power and fuel
5.家具設備及家務維護,18392,13891,18905,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,109711,115983,108996,6.Health
7.交通,73502,68773,74040,7.Transport
(1)個人交通工具之購置,11382,8076,11758,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,47751,49911,47504,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9972,5953,10430,(3)Transport services
(4)汽、機車保險費,4397,4833,4347,(4)Insurance of vehicles
8.通訊,26508,21107,27124,8.Communication
9.休閒與文化,39541,25061,41190,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),17011,8604,17968,(1)Package holidays
(2)娛樂消遣及文化服務,10415,7021,10802,(2)Recreational and cultural services
(3)書報雜誌文具,5223,4261,5333,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6892,5176,7087,(4)Recreational facilities
10.教育,33216,26403,33992,10.Education
11.餐廳及旅館,79034,60327,81166,11.Restaurants and hotels
12.什項消費,42294,36087,43001,12.Miscellaneous goods and services
可支配所得,942208,803957,957959,Disposable income
消費支出,747922,640491,760162,Consumption expenditures
儲蓄,194286,163466,197797,Saving
所得總額,1195566,984533,1219610,Current receipts
