appleL14105年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,,,,,,,,,
第2表 所得收入者平均每人所得來源按職業別分,,,,Table 2. Income Sources of Income Recipients by Occupation,,,,,第2表 所得收入者平均每人所得來源按職業別分(續),,,Table 2. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 105 年,,,單位：元,2 0 1 6 Unit:NT$,,,,,民 國 105 年,,單位：元,2 0 1 6 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and associate pro-fessionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
所得收入者人數,14766214,457923,1263043,2027577,1227756,2232771,No. of income recipients,,所得收入者人數,638549,1304380,1451876,732457,3429882,No. of income recipients
一、所得收入總計,636709,1672802,1015016,825372,564141,579434,A.Total receipts,,一、所得收入總計,458914,621625,562516,430530,425077,A.Total receipts
1.受僱人員報酬,383688,1078100,791392,637227,480105,265820,1.Compensation of employees,,1.受僱人員報酬,34918,375853,412074,311600,104468,1.Compensation of employees
(1)本業薪資,286224,810726,605466,488866,377465,220810,(1)Full time payroll,,(1)本業薪資,18023,324899,331485,269131,8482,(1)Full time payroll
(2)兼業薪資,25182,14583,10805,6069,3504,4221,(2)Part time payroll,,(2)兼業薪資,15279,1624,2682,3378,89580,(2)Part time payroll
(3)其他收入,72282,252790,175121,142292,99136,40789,(3)Other receipts or subsidies,,(3)其他收入,1616,49330,77907,39091,6407,(3)Other receipts or subsidies
2.產業主所得,88367,308782,91048,70257,9524,200611,2.Entrepreneurial income,,2.產業主所得,249963,134978,65241,21166,140,2.Entrepreneurial income
(1)農業淨收入,11233,252,58,355,76,876,(1)Net agricultural income,,(1)農業淨收入,249022,1284,743,1492,13,(1)Net agricultural income
(2)營業淨收入,77134,308530,90990,69903,9448,199735,(2)Net operation surplus,,(2)營業淨收入,941,133694,64498,19674,127,(2)Net operation surplus
3.財產所得收入,29423,125374,29506,21425,11656,11396,3. Property income,,3.財產所得收入,16095,8606,6529,5395,64625,3. Property income
4.自用住宅設算租金收入,39656,99869,51881,45424,21602,32124,4.Imputed rent income,,4.自用住宅設算租金收入,34385,39732,32346,25000,42249,4.Imputed rent income
5.經常移轉收入,95545,60662,51182,51030,41243,69455,5.Current transfer receipts,,5.經常移轉收入,123496,62433,46310,67312,213536,5.Current transfer receipts
(1)從私人,31788,11589,9040,13290,10585,15864,(1)From individuals,,(1)從私人,30240,11252,9484,17669,92308,(1)From individuals
(2)從政府,18525,14657,11610,10322,8943,14146,(2)From government,,(2)從政府,47096,14149,10701,14760,33178,(2)From government
(3)社會保險受益,43577,33361,29552,26095,20994,37709,(3)Benefit of social insurance,,(3)社會保險受益,44618,36332,25932,33664,84491,(3)Benefit of social insurance
(4)從企業,1045,1054,744,637,390,1398,(4)From enterprises,,(4)從企業,846,574,177,813,2033,(4)From enterprises
(5)從國外,610,0,235,686,332,338,(5)From abroad,,(5)從國外,695,126,17,406,1526,(5)From abroad
6.雜項收入,30,15,7,8,12,28,6.Miscellaneous receipts,,6.雜項收入,58,23,16,56,60,6.Miscellaneous receipts
二、非消費支出,103845,347992,206715,155185,99126,82016,B.Nonconsumption expenditures,,二、非消費支出,52114,100104,96947,66898,40782,B.Nonconsumption expenditures
1.利息支出,5728,20905,12255,9034,3096,5618,1.Interest,,1.利息支出,788,6058,5281,3218,1879,1.Interest
2.經常移轉支出,98117,327087,194459,146151,96030,76398,2.Current transfer expenditures,,2.經常移轉支出,51327,94046,91666,63680,38903,2.Current transfer expenditures
(1)對私人,24056,89696,43452,32479,16023,18640,(1)To private,,(1)對私人,19726,23210,17587,13849,15619,(1)To private
(2)對政府,18339,104314,46601,26610,10335,10229,(2)To government,,(2)對政府,10563,14308,11820,6396,7999,(2)To government
(3)社會保險,54729,124094,101342,85438,69377,47384,(3)Social insurance,,(3)社會保險,20378,56320,61860,43187,14926,(3)Social insurance
(4)對國外,992,8983,3064,1625,295,146,(4)To abroad,,(4)對國外,660,208,399,248,359,(4)To abroad
三、可支配所得,532864,1324810,808301,670188,465015,497418,C.Disposable income,,三、可支配所得,406800,521522,465570,363631,384295,C.Disposable income
