黃麗妃L0897年家庭收支調查報告,,,,
,,,,
第11表 家庭戶數按所得總額組別及經濟戶長性別分,,,,
Table 11. Numbers of Households by Current Receipts,,,,
,Groups and Sex of Household Heads,,,
,,,,單位：戶
,民 國 97 年,,2 0 0 8,Unit：Households
所 得 總 額 組 別,合 計Total,經濟戶長性別,,Current receipts groups
Sex of Household Head,,,,
男,女,,,
Male,Female,,,
總 計,7544629,5637561,1907068,Total
"未滿200,000元",104447,49239,55208,"Under NT$200,000"
"200,000～299,999",275707,140727,134980,"200,000～299,999"
"300,000～399,999",393114,240745,152369,"300,000～399,999"
"400,000～499,999",450507,291135,159371,"400,000～499,999"
"500,000～599,999",495421,327850,167571,"500,000～599,999"
"600,000～699,999",465273,306785,158488,"600,000～699,999"
"700,000～799,999",483767,346319,137448,"700,000～799,999"
"800,000～899,999",522223,384466,137756,"800,000～899,999"
"900,000～999,999",560741,449627,111114,"900,000～999,999"
"1,000,000～1,099,999",529763,415382,114381,"1,000,000～1,099,999"
"1,100,000～1,199,999",460595,377370,83226,"1,100,000～1,199,999"
"1,200,000～1,299,999",404866,326018,78848,"1,200,000～1,299,999"
"1,300,000～1,399,999",336234,281146,55088,"1,300,000～1,399,999"
"1,400,000～1,499,999",317465,256490,60975,"1,400,000～1,499,999"
"1,500,000～1,649,999",381433,303185,78248,"1,500,000～1,649,999"
"1,650,000～1,799,999",286799,236667,50132,"1,650,000～1,799,999"
"1,800,000～1,999,999",288171,242259,45912,"1,800,000～1,999,999"
"2,000,000～2,299,999",283955,235901,48054,"2,000,000～2,299,999"
"2,300,000～2,699,999",219502,184149,35354,"2,300,000～2,699,999"
"2,700,000～3,499,999",173527,144398,29128,"2,700,000～3,499,999"
"3,500,000元及以上",111118,97700,13418,"Above $3,500,000"
