L0995年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2006",,95年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2006",,95年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 95 年,,,,,2 0 0 6,,,,,民 國 95 年,,,,,2 0 0 6,,,,,,民 國 95 年,,,,,,2 0 0 6,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
6.每戶建坪平均數(坪),42.84,30.75,42.87,31.88,46.8,49.38,55.17,6.Space per household average (pin),,6.每戶建坪平均數(坪),54.6,53.05,53.34,54.14,49.97,41.83,48.82,49.22,6.Space per household average (pin),,6.每戶建坪平均數(坪),49.01,38.200000000000003,41.99,38.25,32.119999999999997,48.5,44.49,49.05,42.49,6.Space per household average (pin)
7.每戶建坪中位數(坪),36,30,38,30,45,44,52,7.Space per household median (pin),,7.每戶建坪中位數(坪),52,50,50,52,45,40,45,45,7.Space per household median (pin),,7.每戶建坪中位數(坪),48,35,40,36,30,40,40,45,38,7.Space per household median (pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,99.55,99.6,99.53,99.66,100,99.64,99.85,(1)Color TV,,(1)彩色電視機,100,99.86,99.36,99.42,100,99.02,99.18,99.86,(1)Color TV,,(1)彩色電視機,99.81,99.28,98.33,100,99.36,98.66,99.1,99.03,99.39,(1)Color TV
(2)數位影音光碟機,53.53,68.42,59.54,66.680000000000007,41.21,60.14,54.08,(2)DVD player,,(2)數位影音光碟機,50.6,59.05,39.14,40.74,30.5,25.67,37.22,35.17,(2)DVD player,,(2)數位影音光碟機,36.92,34.880000000000003,41.66,36.299999999999997,52.45,70.650000000000006,55.37,45.84,42.77,(2)DVD player
(3)攝影機,9.57,17.43,8.91,12.15,6.62,9.2100000000000009,11.19,(3)Movies camera,,(3)攝影機,6.2,7.67,6.42,4.71,5.21,3.78,4.71,3.91,(3)Movies camera,,(3)攝影機,6.25,4.22,7.06,5.86,5.15,24,8.8000000000000007,8.9499999999999993,9.67,(3)Movies camera
(4)音響,45.34,53.91,45.68,58.09,43.68,51.91,46.18,(4)Stereo,,(4)音響,38.28,40.89,38.950000000000003,38.299999999999997,35.64,22.88,30.06,26.69,(4)Stereo,,(4)音響,38.159999999999997,35.090000000000003,36.119999999999997,34.950000000000003,36.64,51.87,49.78,53.01,41.57,(4)Stereo
(5)鋼琴(含電子琴),11.29,18.690000000000001,15.01,9.84,9.66,10,11.72,(5)Piano,,(5)鋼琴(含電子琴),10.28,7.74,7.84,13.45,6.54,5.91,8.65,6.46,(5)Piano,,(5)鋼琴(含電子琴),8.39,6.75,11.86,5.38,8.81,24.55,14.69,9.76,11.19,(5)Piano
(6)數位相機,41.95,57.94,37.99,54.67,26.66,43.74,44.17,(6)Digital camera,,(6)數位相機,32.15,38.409999999999997,33.64,28.88,27.7,20.71,24.43,30.16,(6)Digital camera,,(6)數位相機,33.909999999999997,24.31,28.94,18.649999999999999,33.049999999999997,59.17,49.69,38.03,40.76,(6)Digital camera
(7)錄放影機,20.74,32.51,16.649999999999999,22.43,15.03,22.57,20.68,(7)Video tape recorder,,(7)錄放影機,22.64,22.27,12.88,17.77,18.63,9.39,16.03,12.24,(7)Video tape recorder,,(7)錄放影機,12.77,13.65,14.22,15.77,13.71,26.45,24.08,21.48,24.68,(7)Video tape recorder
(8)有線電視頻道設備,79.819999999999993,86.92,89.49,88.24,68.680000000000007,82.11,84.24,(8)Cable TV,,(8)有線電視頻道設備,77.989999999999995,80.14,69.23,68.59,61.8,51.68,59.34,85.81,(8)Cable TV,,(8)有線電視頻道設備,60.88,56.57,65.27,85.96,85.36,84.41,82.41,86.14,84.69,(8)Cable TV
(9)家用電腦,66.12,78.38,67.16,73.680000000000007,54.51,72.8,76.150000000000006,(9)Personal computer,,(9)家用電腦,59.06,71.39,60.21,52.73,45.98,41.63,58.11,55.14,(9)Personal computer,,(9)家用電腦,49.47,35.32,48.44,49.13,56.31,76.52,74.75,62.25,66.069999999999993,(9)Personal computer
(10)電話機,97.36,99.06,96.99,98.49,97.29,97.64,96.82,(10)Telephone,,(10)電話機,98.49,96.78,96.67,96.68,97.99,95.72,96.63,96.96,(10)Telephone,,(10)電話機,96.27,90.77,85.2,96.44,96.76,97.99,98.04,96.45,97.98,(10)Telephone
(11)行動電話,88.01,91.73,89.33,91.98,85.61,91.37,91.11,(11)Cell phone,,(11)行動電話,84.85,89.65,85.89,84.34,80.27,74.69,80.8,82.9,(11)Cell phone,,(11)行動電話,85.05,76.69,80.55,71.89,86.69,90.6,92.58,80.599999999999994,88.48,(11)Cell phone
(12)上網際網路,59.66,72.400000000000006,61.47,68.010000000000005,44.28,68.19,68.87,(12)Internet facility,,(12)上網際網路,50.73,62.23,52.86,45.03,40.869999999999997,31.83,49.4,48.51,(12)Internet facility,,(12)上網際網路,47.17,29.53,42.73,45.19,51.48,69.459999999999994,64.709999999999994,54.84,62.12,(12)Internet facility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,,,meaningless for precise statistics.,,,,
95年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2006",,95年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2006",,95年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分(續三),Table 8. Household Housing and Household Facilities by Areas (Cont.3),,第8表家庭住宅及主要設備概況按區域別分(續四),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.4),,第8表家庭住宅及主要設備概況按區域別分(續完),,,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.End),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 95 年,,,,,2 0 0 6,,,,,民 國 95 年,,,,,2 0 0 6,,,,,,民 國 95 年,,,,,,2 0 0 6,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(13)汽車,59.1,51.36,57.81,48.92,61.36,70.58,80.64,(13)Sedan vehicle,,(13)汽車,68.94,70.650000000000006,69.61,63.47,57.62,53.34,63.02,55.55,(13)Sedan vehicle,,(13)汽車,56.77,42.05,54.81,40.18,42.85,74.53,71.099999999999994,59.36,60.36,(13)Sedan vehicle
(14)機車,81.7,61.49,90.57,76.099999999999994,84.32,83.21,86.7,(14)Motorcycle,,(14)機車,82.71,88.96,90.61,83.71,89.42,81.319999999999993,88.35,89.69,(14)Motorcycle,,(14)機車,94.85,84.26,79.94,80.349999999999994,63.79,83.5,86.73,87.71,89.54,(14)Motorcycle
(15)電磁爐,42.5,54.51,33.979999999999997,62.4,34.03,45.07,36.299999999999997,(15)Electro-magnetic oven,,(15)電磁爐,33.53,42.3,38.92,24.37,40.74,22.06,20.52,19.95,(15)Electro-magnetic oven,,(15)電磁爐,24.26,24.01,29.83,21.24,48.64,51.55,51.8,48.98,32.29,(15)Electro-magnetic oven
(16)冷暖氣機,87.48,93.96,92.46,95.6,84.74,89.01,84.54,(16)Air conditioner,,(16)冷暖氣機,77.569999999999993,78.53,85.43,59.24,82.53,72.069999999999993,83.27,85.24,(16)Air conditioner,,(16)冷暖氣機,83.12,61.5,73.569999999999993,77.069999999999993,87.3,94.68,90.42,87.41,90.07,(16)Air conditioner
(17)除濕機,30.16,48.42,12.81,44.02,46.42,52.97,48.17,(17)Dehumidifier,,(17)除濕機,35.44,20.420000000000002,12.59,14.29,9.08,5.43,7.95,4.91,(17)Dehumidifier,,(17)除濕機,6.06,8.19,21.63,29.87,69.680000000000007,65.36,27.46,16.43,14.76,(17)Dehumidifier
(18)洗衣機,97.05,97.45,96.71,99.01,96.92,97.6,95.3,(18)Washing machine,,(18)洗衣機,95.95,97.36,95.29,97.43,96.94,91.09,93.95,97.07,(18)Washing machine,,(18)洗衣機,97.66,95.41,93.99,96.44,98.37,96.35,96.74,97.1,98,(18)Washing machine
(19)烘衣機,19.47,30.37,4.66,23.13,35.4,37.549999999999997,34.049999999999997,(19)Drier,,(19)烘衣機,46.33,18.29,12.97,13.89,8.2200000000000006,5.36,5.95,2.93,(19)Drier,,(19)烘衣機,2.52,4.29,13.13,7.47,35.409999999999997,47.2,15.31,6.77,8.51,(19)Drier
(20)空氣清淨機,11.46,20.65,10.19,16.04,5.21,11.34,14.9,(20)Air-clean machine,,(20)空氣清淨機,9.0399999999999991,8.3000000000000007,7.38,9.64,3.4,3.77,5.37,5.04,(20)Air-clean machine,,(20)空氣清淨機,3.67,2.2000000000000002,6.28,2.97,6.9,20.78,16.82,9.6199999999999992,8.51,(20)Air-clean machine
(21)濾水器,34.28,35.14,38.69,39.340000000000003,15.75,48.75,42.02,(21)Water filter machine,,(21)濾水器,31.69,43.8,22.37,21.41,25.55,28.3,22.05,17.829999999999998,(21)Water filter machine,,(21)濾水器,14.56,13.96,22.88,7.6,22.32,63.3,49.07,36.450000000000003,38.35,(21)Water filter machine
(22)吸塵器,42.93,54.64,39.6,49.07,42.55,45.6,57.85,(22)Vacuum cleaner,,(22)吸塵器,42.45,43.86,32.46,36.270000000000003,27.95,22.78,33.46,26.42,(22)Vacuum cleaner,,(22)吸塵器,32.82,21.05,41.41,29.22,37.479999999999997,61.06,53.79,39.119999999999997,44.1,(22)Vacuum cleaner
(23)熱水器,96.81,97.66,96.19,99.21,96.46,98.57,96.48,(23)Geyser,,(23)熱水器,96.66,98.54,95,95.77,97.38,94.68,89.78,93.15,(23)Geyser,,(23)熱水器,93.63,93.56,91.28,97.5,99.02,98.43,98.01,97.42,98.78,(23)Geyser
(24)開飲機,57.3,45.27,48.47,65.36,65.72,66.67,64.62,(24)Hot-warm water fountain,,(24)開飲機,70.760000000000005,68.62,67.489999999999995,45.66,70.5,39.94,41.66,48.99,(24)Hot-warm water fountain,,(24)開飲機,75.44,63.64,65,85.13,51.63,48.95,54.52,52.1,35.79,(24)Hot-warm water fountain
(25)微波爐,46.05,62.81,43.72,57.73,30.69,46.66,51.82,(25)Microwave oven,,(25)微波爐,41.06,43.89,43.74,34.43,30.78,20.67,24.23,24.8,(25)Microwave oven,,(25)微波爐,42.36,25.05,32.11,33.409999999999997,40.770000000000003,60.34,58.19,37.07,45.87,(25)Microwave oven
(26)報紙,28.16,33.72,29.31,27.22,22.58,22.22,22.91,(26)Newspaper,,(26)報紙,35.68,31.38,28.88,27.94,29.93,16.940000000000001,28.67,19.66,(26)Newspaper,,(26)報紙,27.63,17.32,30.26,17.8,10.83,32.74,37.92,34.57,33.22,(26)Newspaper
(27)期刊雜誌,12.18,16.54,9.8000000000000007,17.350000000000001,8.82,16.66,5.25,(27)Magazine,,(27)期刊雜誌,12.67,8.2899999999999991,9.69,8.08,5.4,3.84,9.39,5.84,(27)Magazine,,(27)期刊雜誌,8.61,2.85,10.44,3.95,4.5,26.61,14.16,17.489999999999998,8.8699999999999992,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,,,2.Average No. per hundred households
(1)彩色電視機,152.29,154.05000000000001,152.63,145.94,163.01,161.16,161.02000000000001,(1)Color TV,,(1)彩色電視機,170.35,162.13999999999999,154.32,152.5,139.08000000000001,132.33000000000001,146.91999999999999,150.37,(1)Color TV,,(1)彩色電視機,138.38,125.01,152.28,160.13,151.28,182.95,161.11000000000001,134.94,149.77000000000001,(1)Color TV
(2)數位影音光碟機,60.27,79.540000000000006,65.400000000000006,73.02,46.24,68.25,59.79,(2)DVD player,,(2)數位影音光碟機,58.39,65.91,44.48,46.46,32.369999999999997,28.01,41.94,37.29,(2)DVD player,,(2)數位影音光碟機,40.74,39.18,47.56,39.29,55.04,93.64,66.67,51.61,47.34,(2)DVD player
(3)攝影機,9.9600000000000009,18.579999999999998,9.18,12.35,6.89,9.4499999999999993,11.48,(3)Movies camera,,(3)攝影機,6.2,8.08,6.58,4.71,5.21,4.38,4.87,4.07,(3)Movies camera,,(3)攝影機,6.46,4.22,7.06,6.34,5.46,24.67,9.8800000000000008,8.9499999999999993,10.08,(3)Movies camera
(4)音響,49.67,62.37,49.4,62.69,47.9,55.62,48.8,(4)Stereo,,(4)音響,41.04,44.15,41.99,41.39,39.46,24.42,31.02,29.52,(4)Stereo,,(4)音響,39.049999999999997,36.86,39.76,36.4,37.64,62.56,59.11,59.14,43.94,(4)Stereo
(5)鋼琴(含電子琴),11.62,19.13,15.94,10.11,10.210000000000001,10.36,12.28,(5)Piano,,(5)鋼琴(含電子琴),10.28,7.87,8.1999999999999993,13.8,6.54,6.2,9.1300000000000008,6.46,(5)Piano,,(5)鋼琴(含電子琴),8.39,6.75,12.14,5.84,8.81,26.22,14.69,9.76,11.39,(5)Piano
(6)數位相機,46.97,69.540000000000006,43.42,58.68,29.19,48.06,49.6,(6)Digital camera,,(6)數位相機,35.69,42.53,38.159999999999997,32.57,30.04,22.42,26.06,32.06,(6)Digital camera,,(6)數位相機,35.840000000000003,26.11,32.33,18.649999999999999,37.18,73.819999999999993,57.42,40.590000000000003,44.87,(6)Digital camera
(7)錄放影機,21.45,34.369999999999997,17.05,22.71,15.91,23.42,21.81,(7)Video tape recorder,,(7)錄放影機,24.79,22.65,13.22,19.100000000000001,18.63,9.39,16.38,12.82,(7)Video tape recorder,,(7)錄放影機,13.2,13.65,14.22,16.22,14.04,27.47,25.15,21.48,25.48,(7)Video tape recorder
(8)有線電視頻道設備,79.92,87.22,89.77,88.24,69.010000000000005,82.36,84.24,(8)Cable TV,,(8)有線電視頻道設備,77.989999999999995,80.14,69.23,68.930000000000007,61.8,51.68,59.34,85.81,(8)Cable TV,,(8)有線電視頻道設備,60.88,56.57,65.27,85.96,85.36,84.41,82.41,86.14,84.69,(8)Cable TV
(9)家用電腦,83.85,109.44,85.45,92.86,64.069999999999993,95.62,97.35,(9)Personal computer,,(9)家用電腦,75.31,88.26,74.02,65.400000000000006,53.95,49.54,72.09,64.22,(9)Personal computer,,(9)家用電腦,54.29,40.99,60.06,58,67.89,119.69,91.29,70.930000000000007,77.760000000000005,(9)Personal computer
(10)電話機,117.47,139.41999999999999,114.21,126.22,112.68,112.42,114.68,(10)Telephone,,(10)電話機,119.31,113.43,117.95,107.04,104.75,105.47,109.67,107.66,(10)Telephone,,(10)電話機,100.12,101.06,96.99,116.2,102.55,134.55000000000001,117.72,104.81,108.64,(10)Telephone
(11)行動電話,209.56,240.04,215.49,219.89,195.05,227.53,228.79,(11)Cell phone,,(11)行動電話,204.81,221.95,210.74,192.38,171.72,159.88,187.13,174.61,(11)Cell phone,,(11)行動電話,175.27,135.66,162.94999999999999,146.59,194.88,246.33,221.56,172.3,203.13,(11)Cell phone
(12)汽車,70.44,55.03,64.930000000000007,53.27,73.98,87.92,111.53,(12)Sedan vehicle,,(12)汽車,92.09,89.87,92.78,83.47,72.239999999999995,65.14,77.44,63.97,(12)Sedan vehicle,,(12)汽車,65.05,47.35,65.94,42.65,46.4,103.11,85.65,75.180000000000007,69.56,(12)Sedan vehicle
(13)機車,139.52000000000001,88.85,173.66,125.14,141.74,138.38,151.02000000000001,(13)Motorcycle,,(13)機車,140.59,162.86000000000001,170.97,135.69,143.58000000000001,131.81,153.82,165.56,(13)Motorcycle,,(13)機車,171.6,124.37,120.09,126.59,83.4,159.22,146.63,147.12,170.39,(13)Motorcycle
(14)電磁爐,43.2,55.47,34.520000000000003,62.8,34.299999999999997,46.15,36.299999999999997,(14)Electro-magnetic oven,,(14)電磁爐,34.14,42.96,39.799999999999997,24.7,41.32,22.34,20.82,20.52,(14)Electro-magnetic oven,,(14)電磁爐,24.46,24.01,30.4,22.26,49.27,53.57,53.58,50.9,32.89,(14)Electro-magnetic oven
(15)冷暖氣機,194.2,226.48,216.96,210.77,185.29,195.71,181.34,(15)Air conditioner,,(15)冷暖氣機,170.85,161.47999999999999,195.77,128.59,164.52,133.76,171.36,180.69,(15)Air conditioner,,(15)冷暖氣機,184.07,114.86,152.16999999999999,160.08000000000001,165.62,262.89,211.58,184.74,197.56,(15)Air conditioner
