L10101年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 101 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(7)電視遊樂器,8.6,2.44,9.3000000000000007,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),83.23,68.2,84.95,(8)Cable TV(MOD included)
(9)家用電腦,72.31,53.13,74.489999999999995,(9)Personal computer
(10)電話機,94.76,97.67,94.43,(10)Telephone
(11)行動電話,92.26,85.16,93.07,(11)Cell phone
(12)連網(使用電腦或其他設備),70.489999999999995,49.41,72.89,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 1 2,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,58.41,63.11,57.88,(13)Sedan vehicle
(14)機車,83.12,89.24,82.43,(14)Motorcycle
(15)電磁爐,36.96,26.78,38.11,(15)Electro-magnetic oven
(16)冷暖氣機,89.89,80.33,90.98,(16)Air conditioner
(17)除濕機,32.380000000000003,14.7,34.4,(17)Dehumidifier
(18)洗衣機,98.07,97.22,98.17,(18)Washing machine
(19)烘衣機,15.89,13.9,16.11,(19)Drier
(20)空氣清淨機,10.1,3.57,10.85,(20)Air-clean machine
(21)濾水器,34.729999999999997,24.97,35.840000000000003,(21)Water filter machine
(22)吸塵器,39.380000000000003,25.23,41,(22)Vacuum cleaner
(23)熱水器,98.55,97,98.72,(23)Geyser
(24)開飲機,50.22,57.85,49.35,(24)Hot-warm water fountain
(25)微波爐,43.29,30.2,44.78,(25)Microwave oven
(26)報紙,17.75,18.71,17.64,(26)Newspaper
(27)期刊雜誌,6.54,2.87,6.96,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,157,155.16,157.21,(1)Color TV
一般彩色電視機,72.72,88.37,70.94,Non-LCD TV
液晶、電漿電視,84.27,66.78,86.27,LCD、PDP TV
(2)數位影音光碟機,37.54,19.23,39.630000000000003,(2)DVD player
(3)攝影機,7.37,2.04,7.97,(3)Movies camera
(4)音響,30.85,21.99,31.86,(4)Stereo
(5)鋼琴(含電子琴),9.1999999999999993,4.17,9.77,(5)Piano
(6)數位相機,60.48,37.82,63.06,(6)Digital camera
(7)電視遊樂器,9.3800000000000008,2.65,10.15,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.2,68.75,87.07,(8)Cable TV(MOD included)
(9)家用電腦,104.73,69.3,108.76,(9)Personal computer
(10)電話機,104.32,104.96,104.25,(10)Telephone
(11)行動電話,234.54,210.46,237.28,(11)Cell phone
(12)汽車,69.11,83.13,67.52,(12)Sedan vehicle
(13)機車,148.32,168.56,146.01,(13)Motorcycle
(14)電磁爐,37.58,27.47,38.729999999999997,(14)Electro-magnetic oven
(15)冷暖氣機,212.99,170.28,217.85,(15)Air conditioner
(16)除濕機,39.090000000000003,17.41,41.56,(16)Dehumidifier
(17)洗衣機,100.44,100.61,100.42,(17)Washing machine
(18)烘衣機,15.96,14.02,16.18,(18)Drier
(19)空氣清淨機,11.38,3.84,12.24,(19)Air-clean machine
(20)濾水器,35.090000000000003,25.43,36.19,(20)Water filter machine
(21)吸塵器,41.65,26.08,43.43,(21)Vacuum cleaner
(22)熱水器,105.44,105.81,105.39,(22)Geyser
(23)開飲機,51.52,59.96,50.56,(23)Hot-warm water fountain
(24)微波爐,43.63,30.39,45.13,(24)Microwave oven
(25)報紙,18.579999999999998,19.02,18.53,(25)Newspaper
(26)期刊雜誌,7.89,3.25,8.42,(26)Magazine
