appleL06103年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2014"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 103 年,,,單位：元,2 0 1 4 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8290000,1658000,1658000,1658000,1658000,1658000,No. of households
平均每戶人數,3.15,1.75,2.64,3.28,3.84,4.22,No. of persons per household
平均每戶成年人數,2.5499999999999998,1.61,2.17,2.59,3.01,3.36,No. of adults per household
平均每戶就業人數,1.45,0.47,1.05,1.51,1.9,2.31,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.07,1.32,1.66,2.02,2.48,No. of income recipients per household
一、所得收入總計,1157926,373772,704369,1004246,1365207,2342036,A.Total receipts
1.受僱人員報酬,667520,88122,334717,565428,841581,1507752,1.Compensation of employees
(1)本業薪資,493931,71346,263004,430076,632430,1072797,(1)Full time payroll
(2)兼業薪資,44037,7576,22836,40401,47038,102332,(2)Part time payroll
(3)其他收入,129552,9199,48877,94951,162113,332622,(3)Other receipts or subsidies
2.產業主所得,151601,26991,78201,137372,179354,336085,2.Entrepreneurial income
3.財產所得收入,50945,14211,23901,34401,49352,132861,3. Property income
4.自用住宅設算租金收入,69901,38102,55291,68592,79442,108078,4.Imputed rent income
5.經常移轉收入,217829,206126,212125,198320,215388,257187,5.Current transfer receipts
(1)從私人,63228,88017,75766,55911,49064,47379,(1)From individuals
(2)從政府,48386,58038,51689,46293,46279,39633,(2)From government
(3)社會保險受益,102305,59485,83575,94025,115616,158826,(3)Benefit of social insurance
(4)從企業,2535,480,800,1022,2226,8149,(4)From enterprises
(5)從國外,1374,105,294,1068,2203,3200,(5)From abroad
6.雜項收入,130,220,134,133,90,74,6.Miscellaneous receipts
二、非消費支出,201077,56628,116744,173505,236408,422099,B.Nonconsumption expenditures
1.利息支出,11839,2364,6983,12239,13922,23685,1.Interest
2.經常移轉支出,189238,54264,109762,161266,222486,398414,2.Current transfer expenditures
(1)對私人,45272,15492,26810,36917,52332,94809,(1)To private
(2)對政府,32093,6891,13399,20867,31845,87463,(2)To government
(3)社會保險,109480,30994,68760,101903,136481,209262,(3)Social insurance
(4)對國外,2393,887,793,1578,1827,6881,(4)To abroad
,,,,,,,
103年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2014"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 103 年,,,單位：元,2 0 1 4 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,755169,336429,543391,713274,911211,1271539,C.Consumption expenditures
1.食品及非酒精飲料,110468,62135,90194,111386,131006,157617,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9377,5228,7974,9821,11339,12523,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22832,7115,13500,20174,27581,45791,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,184701,111189,153175,180342,207654,271145,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,163062,97292,134663,158427,182682,242247,(1)Rent and water charges
(2)電費及燃料,21639,13896,18512,21916,24972,28898,(2)Power and fuel
5.家具設備及家務維護,18464,6770,11218,15904,23134,35293,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,112270,55166,83937,102975,137543,181731,6.Health
7.交通,72146,20874,43718,65065,89553,141518,7.Transport
(1)個人交通工具之購置,11720,2452,4897,7290,13262,30698,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46013,13188,29694,44402,58632,84150,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9770,3864,6376,9118,11958,17533,(3)Transport services
(4)汽、機車保險費,4643,1369,2752,4255,5701,9136,(4)Insurance of vehicles
8.通訊,26933,8865,18851,27322,34223,45404,8.Communication
9.休閒與文化,40232,11385,20683,32122,46018,90953,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),18019,3077,6236,11480,19251,50049,(1)Package holidays
(2)娛樂消遣及文化服務,10744,5235,7557,9977,12150,18798,(2)Recreational and cultural services
(3)書報雜誌文具,5022,1140,3114,5138,6813,8903,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6448,1932,3776,5527,7804,13202,(4)Recreational facilities
10.教育,32147,3686,15374,30859,48374,62444,10.Education
11.餐廳及旅館,83661,30184,58792,82756,106163,140409,11.Restaurants and hotels
12.什項消費,41938,13832,25975,34548,48624,86711,12.Miscellaneous goods and services
可支配所得,956849,317144,587625,830741,1128799,1919937,Disposable income
消費支出,755169,336429,543391,713274,911211,1271539,Consumption expenditures
儲蓄,201680,-19285,44233,117467,217587,648398,Saving
所得總額,1213703,406760,748552,1056880,1428012,2428314,Current receipts
