L1085年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1996"
,,,,,,,
第9表家庭住宅及主要設備概況按農家、非農家及都市化程度別分,Table 9. Household Housing and Household Facilities,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization,,,
民 國 85 年,,,,1 9 9 6,,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree  of  urbanization,,,
,General,Farm,Non-farm,都 市,城 鎮,鄉 村,
,average,,,City,Town,Village,
,,,,,,,
家庭戶數,5908262,678276,5229986,3431522,1669969,806771,No. of households
平均每戶人數,3.92,4.37,3.86,3.86,4.1100000000000003,3.79,No. of persons per household
平均每戶成年人數,2.61,3.06,2.56,2.6,2.65,2.6,No. of adults per household
平均每戶就業人數,1.71,2.4,1.62,1.64,1.81,1.82,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.96,1.68,1.7,1.79,1.64,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,1.By tenure of dwelling
(1)自有,84.45,97.86,82.71,79.86,89.13,94.23,(1)Self-owned
(2)租押,9.39,0.94,10.49,12.34,6.65,2.5299999999999998,(2)Rented
(3)其他(含配住及借用),6.16,1.2,6.81,7.8,4.21,3.24,(3)Issued、lease and others
2.住宅用途,,,,,,,2.By usage of dwelling
(1)專用,93.4,95.8,93.09,92.74,93.93,95.13,(1)Independent
(2)併用,6.51,4.13,6.82,7.13,6.02,4.87,(2)Connected
(3)其他,0.09,0.07,0.09,0.12,0.06,0,(3)Others
3.建築式樣,,,,,,,3.By style of building
(1)平房,18.5,45.85,14.96,9.15,21.71,51.66,(1)One story
(2)二～三層樓,42.1,52.53,40.74,32.94,58.27,47.54,(2)Two or three stories
(3)四～五層樓,26.79,1.06,30.12,39.89,12.48,0.64,(3)Four or five stories
(4)六層樓以上,12.62,0.56000000000000005,14.18,18.010000000000002,7.54,0.16,"(4)Apartment, six stories or over"
4.具有自來水設備,91.15,75.069999999999993,93.23,96.78,85.92,78.010000000000005,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,5.Parking lot
(1)自有停車位,37.49,68.099999999999994,33.520000000000003,25.03,49.08,66.5,(1)Self-owned
(2)租借停車位,4.55,1.49,4.95,5.72,3.35,2.09,(2)Rented
(3)無停車位,57.96,30.41,61.53,69.260000000000005,47.57,31.41,(3)None
6.每戶建坪平均數(坪),38.07,45.4,37.119999999999997,35.299999999999997,42.58,40.549999999999997,6.Space per household average (pin)
7.每戶建坪中位數(坪),32,40,32,30,38,35,7.Space per household median (pin)
二、家庭主要設備,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,1.Percentage of household with equip.
(1)彩色電視機,99.32,99.82,99.26,99.42,99.33,98.89,(1)Color TV
(2)碟影機,5.1100000000000003,2.29,5.47,6.45,3.8,2.11,(2)Laser-disk player
(3)攝影機,7.22,2.14,7.88,9.64,4.75,2.06,(3)Movies camera
(4)音響,44.94,35.6,46.15,48.92,43,32.01,(4)Stereo
(5)鋼琴(含電子琴),11.4,3.73,12.39,14.69,8.58,3.25,(5)Piano
(6)電視遊樂器,16.04,5.81,17.37,19.54,13.42,6.6,(6)Video game
(7)錄放影機,58.6,48.48,59.92,64.62,54.21,42.12,(7)Video tape recorder
(8)有線電視頻道設備,59.57,42.67,61.76,67.930000000000007,54.17,35.17,(8)Cable TV
(9)家用電腦,22.56,7.6,24.5,28.94,17.14,6.69,(9)Personal computer
(10)電話機,97.49,97.82,97.45,98.39,96.76,95.16,(10)Telephone
(11)答錄機,5.56,0.79,6.17,8.0500000000000007,2.77,0.7,(11)Answering machine
(12)傳真機,6.47,1.93,7.06,8.7100000000000009,4.13,1.79,(12)Fax machine
,,,,,,,
,,,,,,,
L1085年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1996"
,,,,,,,
第9表家庭住宅及主要設備概況按農家、非農家及都市化程度別分(續),Table 9. Household Housing and Household Facilities,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization (Cont.),,,
民 國 85 年,,,,1 9 9 6,,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree  of  urbanization,,,
,General,Farm,Non-farm,都 市,城 鎮,鄉 村,
,average,,,City,Town,Village,
,,,,,,,
(13)數據機,2.17,0.4,2.4,3.14,1.19,0.12,(13)Modem
(14)汽車,51.16,50.45,51.26,51.2,54.61,43.87,(14)Sedan vehicle
(15)機車,80.819999999999993,91.62,79.42,76.97,86.82,84.8,(15)Motor bicycle
(16)電磁爐,38.65,22.92,40.700000000000003,45.49,34.65,17.86,(16)Electro-magnetic oven
(17)冷暖氣機,71.650000000000006,48.08,74.709999999999994,80.849999999999994,65.83,44.57,(17)Air conditioner
(18)除濕機,18.77,5.01,20.56,24.14,15.1,3.56,(18)Dehumidifier
(19)洗衣機,93,90.5,93.32,94.64,91.98,88.15,(19)Washing machine
(20)烘衣機,19.66,10.76,20.82,22.43,19.579999999999998,8.08,(20)Drier
(21)洗碗機,4.0199999999999996,2.2400000000000002,4.25,4.67,3.78,1.77,(21)Dishwasher
(22)排油煙機,90.2,84.85,90.9,92.72,89.78,80.38,(22)Exhaust fan
(23)吸塵器,36.549999999999997,16.27,39.18,44.59,30.97,13.9,(23)Vacuum cleaner
(24)熱水器,91.04,84.57,91.88,93.61,89.66,83.01,(24)Geyser
(25)開飲機,44.29,42.01,44.58,43.2,48.04,41.14,(25)Hot-warm water fountain
(26)微波爐(含烤箱),35.24,14.04,37.99,44.26,28.09,11.66,(26)Microwave oven
(27)報紙,52.25,45.55,53.12,56.33,50.53,38.47,(27)Newspaper
(28)期刊雜誌,12.45,4.67,13.45,15.58,9.8000000000000007,4.59,(28)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,2.Average No. per hundred households
(1)彩色電視機,134.01,125.05,135.18,138.22999999999999,132.26,119.72,(1)Color TV
(2)碟影機,5.23,2.29,5.61,6.61,3.9,2.11,(2)Laser-disk player
(3)攝影機,7.56,2.14,8.27,10.16,4.8899999999999997,2.06,(3)Movies camera
(4)音響,48.58,36.49,50.14,54.05,45.05,32.619999999999997,(4)Stereo
(5)鋼琴(含電子琴),11.74,3.81,12.77,15.16,8.81,3.25,(5)Piano
(6)電視遊樂器,16.89,5.96,18.309999999999999,20.74,13.85,6.78,(6)Video game
(7)錄放影機,61.65,49.71,63.2,68.88,55.87,42.87,(7)Video tape recorder
(8)有線電視頻道設備,59.7,42.67,61.9,68.11,54.26,35.17,(8)Cable TV
(9)家用電腦,24.08,7.86,26.19,31.08,18.010000000000002,6.86,(9)Personal computer
(10)電話機,108.18,102.19,108.96,112.18,104.2,99.4,(10)Telephone
(11)答錄機,5.65,0.86,6.27,8.17,2.82,0.76,(11)Answering machine
(12)傳真機,6.51,1.93,7.1,8.76,4.16,1.79,(12)Fax machine
(13)數據機,2.25,0.4,2.48,3.25,1.22,0.12,(13)Modem
(14)汽車,56.49,58.23,56.27,56.06,60.99,49.02,(14)Sedan vehicle
(15)機車,130.41,160.33000000000001,126.53,122.17,145.58000000000001,134.08000000000001,(15)Motor bicycle
(16)電磁爐,39.54,23.28,41.65,46.61,35.31,18.21,(16)Electro-magnetic oven
(17)冷暖氣機,124.87,70.430000000000007,131.93,150.19999999999999,102.66,63.11,(17)Air conditioner
(18)除濕機,20.57,5.37,22.55,26.59,16.309999999999999,3.82,(18)Dehumidifier
(19)洗衣機,94.56,92.31,94.85,96.22,93.7,89.28,(19)Washing machine
(20)烘衣機,19.71,10.8,20.87,22.48,19.66,8.08,(20)Drier
(21)洗碗機,4.05,2.2400000000000002,4.28,4.7,3.81,1.77,(21)Dishwasher
(22)排油煙機,90.76,85.5,91.44,93.39,90.18,80.77,(22)Exhaust fan
(23)吸塵器,37.659999999999997,16.41,40.42,46.23,31.49,14.02,(23)Vacuum cleaner
(24)熱水器,96.76,91.14,97.49,99.19,96.34,87.28,(24)Geyser
(25)開飲機,45.37,43.3,45.64,44.29,49.27,41.87,(25)Hot-warm water fountain
(26)微波爐(含烤箱),39.119999999999997,14.38,42.33,50.22,29.45,11.89,(26)Microwave oven
(27)報紙,56.45,47.06,57.67,61.87,53.16,40.229999999999997,(27)Newspaper
(28)期刊雜誌,15.81,5.1100000000000003,17.2,20.62,11.08,5.17,(28)Magazine
