appleL06104年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2015"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 104 年,,,單位：元,2 0 1 5 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8386495,1677299,1677299,1677299,1677299,1677299,No. of households
平均每戶人數,3.1,1.71,2.5499999999999998,3.25,3.79,4.21,No. of persons per household
平均每戶成年人數,2.5299999999999998,1.59,2.13,2.56,3,3.37,No. of adults per household
平均每戶就業人數,1.43,0.46,1.01,1.47,1.88,2.3199999999999998,No. of persons employed per household
平均每戶所得收入者人數,1.72,1.08,1.33,1.66,2.02,2.5299999999999998,No. of income recipients per household
一、所得收入總計,1167284,377253,704469,1014885,1386321,2353490,A.Total receipts
1.受僱人員報酬,665122,88103,317491,570336,835176,1514503,1.Compensation of employees
(1)本業薪資,493144,72125,248497,433958,631025,1080111,(1)Full time payroll
(2)兼業薪資,45639,6809,22404,39018,46823,113139,(2)Part time payroll
(3)其他收入,126340,9169,46591,97359,157328,321252,(3)Other receipts or subsidies
2.產業主所得,147585,26470,75607,120150,188183,327516,2.Entrepreneurial income
3.財產所得收入,52896,13842,24874,34843,49916,141004,3. Property income
4.自用住宅設算租金收入,72486,39114,58801,71343,82636,110537,4.Imputed rent income
5.經常移轉收入,229085,209558,227591,218102,230316,259860,5.Current transfer receipts
(1)從私人,67194,88486,83428,63641,51363,49053,(1)From individuals
(2)從政府,49433,56530,54285,48438,46853,41058,(2)From government
(3)社會保險受益,109387,63819,88799,104115,127322,162883,(3)Benefit of social insurance
(4)從企業,1856,431,584,1219,2458,4590,(4)From enterprises
(5)從國外,1214,292,495,689,2320,2276,(5)From abroad
6.雜項收入,109,165,106,112,93,71,6.Miscellaneous receipts
二、非消費支出,202388,56941,116706,178043,246479,413772,B.Nonconsumption expenditures
1.利息支出,10113,2068,6216,9939,12843,19497,1.Interest
2.經常移轉支出,192276,54873,110491,168105,233636,394275,2.Current transfer expenditures
(1)對私人,44529,15607,26492,37755,51928,90863,(1)To private
(2)對政府,32518,7088,13844,21277,32698,87684,(2)To government
(3)社會保險,113304,31383,69834,108723,145917,210663,(3)Social insurance
(4)對國外,1924,795,320,349,3093,5064,(4)To abroad
,,,,,,,
104年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2015"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 104 年,,,單位：元,2 0 1 5 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,759647,339536,544624,723571,921454,1269049,C.Consumption expenditures
1.食品及非酒精飲料,111500,61329,89847,112152,132604,161568,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9119,4534,7567,9783,11015,12695,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22459,7214,13445,20517,28069,43047,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,187145,110307,156686,184403,210011,274317,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,167148,97764,139638,164041,186766,247532,(1)Rent and water charges
(2)電費及燃料,19997,12543,17049,20363,23245,26785,(2)Power and fuel
5.家具設備及家務維護,18605,6863,11441,15635,21699,37386,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,114303,56403,85674,106992,140809,181635,6.Health
7.交通,69490,20911,41130,62060,87119,136231,7.Transport
(1)個人交通工具之購置,11719,2198,3601,6860,12859,33076,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43046,13283,28177,41636,56127,76011,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9719,3909,6383,9130,11875,17296,(3)Transport services
(4)汽、機車保險費,5006,1521,2968,4435,6258,9849,(4)Insurance of vehicles
8.通訊,26760,9425,18575,27212,34705,43882,8.Communication
9.休閒與文化,42626,12124,22122,32361,50440,96085,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),21089,3894,7829,12632,24394,56693,(1)Package holidays
(2)娛樂消遣及文化服務,10759,5366,7799,9923,12222,18488,(2)Recreational and cultural services
(3)書報雜誌文具,4658,1080,2820,4737,6234,8419,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6120,1783,3673,5069,7591,12485,(4)Recreational facilities
10.教育,30616,3266,14086,30871,45067,59789,10.Education
11.餐廳及旅館,85579,32690,58582,85127,109217,142279,11.Restaurants and hotels
12.什項消費,41446,14470,25470,36457,50698,80134,12.Miscellaneous goods and services
可支配所得,964895,320312,587763,836842,1139842,1939718,Disposable income
消費支出,759647,339536,544624,723571,921454,1269049,Consumption expenditures
儲蓄,205248,-19224,43139,113271,218388,670669,Saving
所得總額,1224600,409853,749862,1070293,1451034,2441956,Current receipts
