appleL02109年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2020",,109年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2020",,109年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 109 年,,,,單位：元,2 0 2 0 Unit:NT$,,,,,民 國 109 年,,,,單位：元,2 0 2 0 Unit:NT$,,,,,民 國 109 年,,,,單位：元,2 0 2 0 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8829466,1594111,1060320,834453,993132,699095,1113881,No. of households,,家庭戶數,171495,202656,192076,394507,179226,242888,184112,No. of households,,家庭戶數,290649,83395,127030,41378,155018,169186,100858,No. of households
平均每戶人數,2.92,2.86,3.01,3.25,2.99,2.82,2.9,No. of persons per household,,平均每戶人數,2.94,3.24,3.02,2.82,2.79,2.85,2.5499999999999998,No. of persons per household,,平均每戶人數,2.8,2.2599999999999998,2.6,2.46,2.64,3.01,2.87,No. of persons per household
平均每戶成年人數,2.48,2.4900000000000002,2.59,2.61,2.5099999999999998,2.38,2.46,No. of adults per household,,平均每戶成年人數,2.4700000000000002,2.67,2.5299999999999998,2.41,2.41,2.4,2.25,No. of adults per household,,平均每戶成年人數,2.37,1.98,2.2200000000000002,2.09,2.29,2.44,2.39,No. of adults per household
平均每戶就業人數,1.37,1.34,1.4,1.54,1.41,1.37,1.35,No. of persons employed per household,,平均每戶就業人數,1.29,1.57,1.31,1.34,1.3,1.41,1.26,No. of persons employed per household,,平均每戶就業人數,1.34,1.2,1.07,1.1399999999999999,1.08,1.3,1.1499999999999999,No. of persons employed per household
平均每戶所得收入者人數,1.76,1.88,1.89,1.91,1.75,1.64,1.72,No. of income recipients per household,,平均每戶所得收入者人數,1.83,1.86,1.66,1.62,1.62,1.61,1.53,No. of income recipients per household,,平均每戶所得收入者人數,1.63,1.48,1.58,1.53,1.6,1.73,1.61,No. of income recipients per household
一、所得收入總計,1293719,1352548,1716591,1424027,1289700,1086475,1224100,A.Total receipts,,一、所得收入總計,1138365,1619782,1161999,996066,997605,988062,906554,A.Total receipts,,一、所得收入總計,1064508,891340,1032499,1091011,1106963,1618903,1225219,A.Total receipts
1.受僱人員報酬,725932,791339,1044788,869765,659375,606751,676082,1.Compensation of employees,,1.受僱人員報酬,579459,1048085,627006,516539,437929,368824,355172,1.Compensation of employees,,1.受僱人員報酬,538839,404687,479545,620972,620495,1034682,642075,1.Compensation of employees
(1)本業薪資,537318,611212,759821,648181,499126,450527,496733,(1)Full time payroll,,(1)本業薪資,417829,699270,455279,399003,287234,254181,252003,(1)Full time payroll,,(1)本業薪資,391651,276906,325326,455264,475681,727167,473062,(1)Full time payroll
(2)兼業薪資,46561,36223,63544,47123,42527,40504,48746,(2)Part time payroll,,(2)兼業薪資,64612,61557,39787,27089,64969,29261,31531,(2)Part time payroll,,(2)兼業薪資,51962,63806,62364,51905,41275,69115,67295,(2)Part time payroll
(3)其他收入,142053,143904,221423,174461,117723,115720,130603,(3)Other receipts or subsidies,,(3)其他收入,97018,287258,131941,90447,85725,85383,71637,(3)Other receipts or subsidies,,(3)其他收入,95226,63974,91855,113803,103539,238401,101718,(3)Other receipts or subsidies
2.產業主所得,155828,114578,159857,125176,215539,133931,166628,2.Entrepreneurial income,,2.產業主所得,145374,147524,176588,154361,198250,238129,171102,2.Entrepreneurial income,,2.產業主所得,167966,179514,171136,111473,110012,145868,194225,2.Entrepreneurial income
3.財產所得收入,56716,61717,127160,60182,51218,30888,49365,3. Property income,,3.財產所得收入,27588,73868,33731,16999,33008,15179,20691,3. Property income,,3.財產所得收入,39405,20218,24276,11871,22099,107443,52353,3. Property income
4.自用住宅設算租金收入,76072,90437,101987,105923,81607,65750,55402,4.Imputed rent income,,4.自用住宅設算租金收入,63137,89424,58611,49721,48232,53879,44607,4.Imputed rent income,,4.自用住宅設算租金收入,47234,38533,59877,57509,52667,64975,63494,4.Imputed rent income
5.經常移轉收入,279122,294462,282718,262956,281937,249120,276524,5.Current transfer receipts,,5.經常移轉收入,322601,260796,265874,258430,280185,312025,314929,5.Current transfer receipts,,5.經常移轉收入,271052,248358,297556,289028,301677,265867,273043,5.Current transfer receipts
(1)從私人,71247,96251,88573,55468,81817,48779,63993,(1)From individuals,,(1)從私人,78481,47772,54733,48186,44337,63709,47744,(1)From individuals,,(1)從私人,62480,41465,68277,49615,94071,63969,61218,(1)From individuals
(2)從政府,61052,47079,46276,63813,59755,65825,64159,(2)From government,,(2)從政府,65616,69742,71188,68588,73011,92164,94772,(2)From government,,(2)從政府,79905,72295,64391,95761,50966,67897,50020,(2)From government
(3)社會保險受益,143566,149906,145644,135255,136736,133387,143761,(3)Benefit of social insurance,,(3)社會保險受益,171285,138097,139412,139446,159302,152473,164448,(3)Benefit of social insurance,,(3)社會保險受益,127177,131535,163776,143601,154769,131372,161232,(3)Benefit of social insurance
(4)從企業,2767,1040,1673,7377,2822,1012,3683,(4)From enterprises,,(4)從企業,7219,4402,541,2210,3534,2952,7965,(4)From enterprises,,(4)從企業,1491,3062,1113,51,1871,772,573,(4)From enterprises
(5)從國外,489,186,554,1042,808,117,927,(5)From abroad,,(5)從國外,0,783,0,0,0,727,0,(5)From abroad,,(5)從國外,0,0,0,0,0,1858,0,(5)From abroad
