appleL0398年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 98 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,7688014,521534,7166480,No. of households
平均每戶人數,3.34,3.64,3.32,No. of persons per household
平均每戶成年人數,2.57,2.9,2.5499999999999998,No. of adults per household
平均每戶就業人數,1.46,2.0299999999999998,1.42,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.76,1.63,No. of income recipients per household
一、所得收入總計,1074180,836285,1091492,A.Total receipts
1.受僱人員報酬,608940,289950,632154,1.Compensation of employees
(1)本業薪資,457531,223804,474540,(1)Full time payroll
(2)兼業薪資,40335,23323,41573,(2)Part time payroll
(3)其他收入,111074,42823,116041,(3)Other receipts or subsidies
2.產業主所得,145223,241282,138232,2.Entrepreneurial income
3.財產所得收入,50660,26453,52421,3. Property income
4.自用住宅設算租金收入,66407,42731,68130,4.Imputed rent income
5.經常移轉收入,202780,235653,200387,5.Current transfer receipts
(1)從私人,55435,43167,56328,(1)From individuals
(2)從政府,60086,100399,57152,(2)From government
(3)社會保險受益,84337,89240,83980,(3)Benefit of social insurance
(4)從企業,1895,2090,1881,(4)From enterprises
(5)從國外,1027,757,1046,(5)From abroad
6.雜項收入,170,215,167,6.Miscellaneous receipts
二、非消費支出,186575,127684,190861,B.Nonconsumption expenditures
1.利息支出,14531,5496,15188,1.Interest
2.經常移轉支出,172044,122187,175673,2.Current transfer expenditures
(1)對私人,48303,37640,49079,(1)To private
(2)對政府,32492,18919,33479,(2)To government
(3)社會保險,87784,64824,89455,(3)Social insurance
(4)對國外,3466,805,3660,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 0 9,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,705680,576802,715059,C.Consumption expenditures
1.食品及非酒精飲料,107850,102293,108254,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9862,12974,9636,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22483,16553,22915,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,171482,113718,175686,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,150999,93483,155185,(1)Rent and water charges
(2)電費及燃料,20483,20234,20501,(2)Power and fuel
5.家具設備及家務維護,17850,14016,18129,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,101969,106768,101620,6.Health
7.交通,66326,61119,66705,7.Transport
(1)個人交通工具之購置,8898,9405,8861,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43567,41581,43711,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9575,5656,9860,(3)Transport services
(4)汽、機車保險費,4287,4477,4273,(4)Insurance of vehicles
8.通訊,23526,18773,23872,8.Communication
9.休閒與文化,35389,21472,36402,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),12091,5643,12560,(1)Package holidays
(2)娛樂消遣及文化服務,8720,6099,8910,(2)Recreational and cultural services
(3)書報雜誌文具,6610,4839,6739,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7968,4890,8192,(4)Recreational facilities
10.教育,42510,28384,43538,10.Education
11.餐廳及旅館,66112,45971,67577,11.Restaurants and hotels
12.什項消費,40321,34762,40726,12.Miscellaneous goods and services
可支配所得,887605,708602,900631,Disposable income
消費支出,705680,576802,715059,Consumption expenditures
儲蓄,181925,131800,185573,Saving
所得總額,1128201,872668,1146797,Current receipts
