appleL02102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)從政府,48607,39656,46918,42009,53037,47928,55131,(2)From government,,(2)從政府,45288,50298,62538,55178,53943,70278,75106,(2)From government,,(2)從政府,58036,58747,51574,75889,46660,49746,38639,(2)From government
(3)社會保險受益,105454,86039,104314,106314,100294,121657,155470,(3)Benefit of social insurance,,(3)社會保險受益,100278,89086,93453,112543,115648,117887,109864,(3)Benefit of social insurance,,(3)社會保險受益,97413,95091,118252,138672,114973,137344,124331,(3)Benefit of social insurance
(4)從企業,1977,734,924,1652,1873,3295,3537,(4)From enterprises,,(4)從企業,3221,2678,6278,1655,1335,3441,1633,(4)From enterprises,,(4)從企業,1175,1513,1655,279,1554,3308,2231,(4)From enterprises
(5)從國外,886,418,2654,276,743,1370,0,(5)From abroad,,(5)從國外,2040,0,0,847,0,0,0,(5)From abroad,,(5)從國外,0,0,0,0,0,0,0,(5)From abroad
6.雜項收入,145,65,224,51,215,176,68,6.Miscellaneous receipts,,6.雜項收入,165,381,366,254,20,56,135,6.Miscellaneous receipts,,6.雜項收入,154,44,9,103,75,209,33,6.Miscellaneous receipts
二、非消費支出,198063,198360,266220,197937,165967,192128,165137,B.Nonconsumption expenditures,,二、非消費支出,229488,272875,180792,146852,147627,133781,130827,B.Nonconsumption expenditures,,二、非消費支出,138962,122635,176234,152961,160509,311101,214856,B.Nonconsumption expenditures
1.利息支出,12359,13230,17493,12092,9836,11537,9665,1.Interest,,1.利息支出,15817,20652,8851,6624,10705,1652,4909,1.Interest,,1.利息支出,4096,4819,13440,6687,13695,29141,12534,1.Interest
2.經常移轉支出,185704,185130,248726,185845,156131,180591,155472,2.Current transfer expenditures,,2.經常移轉支出,213671,252223,171941,140228,136922,132129,125918,2.Current transfer expenditures,,2.經常移轉支出,134866,117816,162794,146274,146814,281960,202322,2.Current transfer expenditures
(1)對私人,45660,39556,70150,43583,31478,49053,50654,(1)To private,,(1)對私人,50712,47860,42612,26116,28754,40582,34763,(1)To private,,(1)對私人,39104,33906,43890,48668,36780,74069,53360,(1)To private
(2)對政府,31530,26995,50824,30615,26841,29007,22746,(2)To government,,(2)對政府,35156,58575,30948,22477,24034,19409,19494,(2)To government,,(2)對政府,17867,20634,28847,16252,20893,62844,31472,(2)To government
(3)社會保險,106319,117879,125165,105659,96507,99877,80950,(3)Social insurance,,(3)社會保險,125536,140860,97192,91550,81397,71973,71592,(3)Social insurance,,(3)社會保險,77853,63145,79597,81208,88096,142172,117213,(3)Social insurance
(4)對國外,2196,699,2587,5987,1306,2655,1123,(4)To abroad,,(4)對國外,2267,4929,1189,85,2738,164,70,(4)To abroad,,(4)對國外,42,131,10459,146,1044,2875,278,(4)To abroad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分(續三),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.3),,,,,第2表 平均每戶家庭收支按區域別分(續四),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.4),,,,,第2表 平均每戶家庭收支按區域別分(續完),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.End),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,
