appleL0392年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,
第3表 平均每戶家庭收支按農家、非農家及都市化程度別分,Table 3. Average Family Income and Expenditure per Household,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization,,,
民 國 92 年,,,單位：元,2 0 0 3,Unit:NT$,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree   of   urbanization,,,
,General average,Farm,Non-farm,都 市,城 鎮,鄉 村,
,City,Town,Village,,,,
,,,,,,,
家庭戶數,6961560,636241,6325319,5618648,1132398,210514,No. of households
平均每戶人數,3.53,3.93,3.49,3.51,3.65,3.28,No. of persons per household
平均每戶成年人數,2.6,2.98,2.56,2.58,2.67,2.5099999999999998,No. of adults per household
平均每戶就業人數,1.54,2.12,1.48,1.51,1.66,1.61,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.79,1.63,1.65,1.68,1.44,No. of income recipients per household
一、所得收入總計,1064825,838776,1087563,1125742,836762,665741,A.Total receipts
1.受僱人員報酬,615294,318886,645108,667372,432949,206178,1.Compensation of employees
(1)本業薪資,471660,259579,492992,507672,348643,172244,(1)Full time payroll
(2)兼業薪資,35995,15706,38036,39843,21361,12017,(2)Part time payroll
(3)其他收入,107639,43600,114080,119858,62945,21917,(3)Other receipts or subsidies
2.產業主所得,170902,260645,161875,170223,162283,235384,2.Entrepreneurial income
3.財產所得收入,48510,24584,50916,55091,21356,18920,3. Property income
4.自用住宅設算租金收入,62922,43711,64854,68065,42935,33160,4.Imputed rent income
5.經常移轉收入,167012,190627,164637,164830,176962,171747,5.Current transfer receipts
(1)從私人,51407,49834,51565,52756,45626,46501,(1)From individuals
(2)從政府,35629,56534,33527,32575,47035,55810,(2)From government
(3)社會保險受益,77096,82442,76558,76418,81987,68882,(3)Benefit of social insurance
(4)從企業,1301,1341,1297,1216,1862,554,(4)From enterprises
(5)從國外,1579,476,1690,1865,452,0,(5)From abroad
6.雜項收入,186,324,172,161,278,353,6.Miscellaneous receipts
二、非消費支出,183163,131777,188332,195419,136749,105735,B.Nonconsumption expenditures
1.利息支出,24216,7933,25854,27318,12189,6124,1.Interest
2.經常移轉支出,158947,123844,162478,168101,124560,99611,2.Current transfer expenditures
(1)對私人,49834,41250,50698,52684,38079,36994,(1)To private
(2)對政府,33256,21451,34444,36139,22461,14386,(2)To government
(3)社會保險,72367,60894,73521,75180,62938,48016,(3)Social insurance
(4)對國外,3490,249,3816,4098,1082,215,(4)To abroad
,,,,,,,
92年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,
第3表 平均每戶家庭收支按農家、非農家及都市化程度別分(續),Table 3. Average Family Income and Expenditure per Household,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization (Cont.),,,
民 國 92 年,,,單位：元,2 0 0 3,Unit:NT$,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree   of   urbanization,,,
,General average,Farm,Non-farm,都 市,城 鎮,鄉 村,
,City,Town,Village,,,,
,,,,,,,
三、消費支出,666372,550491,678028,702189,531730,434679,C.Consumption expenditures
1.食品費,147727,132380,149271,153502,125325,114093,1.Food
2.飲料費,6225,5968,6251,6353,5763,5305,2.Beverage
3.菸草,5990,7546,5833,5820,6735,6502,3.Tobacco
4.衣著、鞋、襪類,23480,17049,24127,25018,17864,12635,4.Clothing and footwear
5.房地租及水費,140785,93220,145570,153204,91593,73941,5.Rent and water charges
6.燃料及燈光,18841,18033,18922,19324,17136,15124,6.Fuel and light
7.家具及家庭設備,11059,9109,11255,11739,8655,5834,7.Furniture and family facilities
8.家事管理,12583,5326,13313,14257,5842,4169,8.Household operations
9.保健及醫療,84651,91724,83940,84325,88367,73375,9.Health care and medical
10.運輸交通及通訊,80743,72776,81544,84053,69054,55264,10.Transport and communications
(1)交通及通訊工具之購置,10841,11374,10788,11578,8214,5297,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,36208,35422,36287,36775,34908,28074,(2)Operation of transport equipment
(3)乘交通設備之費用,8107,5236,8395,8747,5464,5231,(3)Purchased transportation
(4)其他通訊費,21096,15998,21609,22398,16129,13059,(4)Other communications
(5)汽機車保險費支出,4491,4746,4465,4555,4339,3604,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,87441,60496,90151,94694,60387,39379,"11.Recreation ,education and culture"
(1)旅遊費用,18058,11123,18756,19920,11015,6244,(1)Traveling
(2)娛樂消遣服務,9173,5939,9498,9933,6192,4926,(2)Recreation service
(3)書報雜誌文具,4655,3341,4787,5008,3320,2396,(3)Books and stationery
(4)娛樂器材及附屬品,8499,5563,8794,9271,5502,4012,(4)Recreation facilities
(5)教育與研究費,47056,34529,48317,50562,34357,21800,(5)Education and research
12.什項消費,46847,36864,47851,49899,35009,29057,12.Miscellaneous
可支配所得,881662,706999,899231,930324,700013,560006,Disposable income
消費支出,666372,550491,678028,702189,531730,434679,Consumption expenditures
儲蓄,215290,156509,221203,228135,168283,125327,Saving
所得總額,1112233,873901,1136206,1176962,869124,692356,Current receipts
