appleL05112年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 112 年,,,,單位：元,2 0 2 3 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,9119999,1404028,1955370,963697,2857798,83444,951497,904165,No. of households
平均每戶人數,2.79,1,2,2.35,3.58,2.86,5.07,2.81,No. of persons per household
平均每戶成年人數,2.46,1,2,2.17,3.01,2.16,3.95,2.69,No. of adults per household
平均每戶就業人數,1.34,0.47,0.72,1.31,1.88,0.86,2.21,1.48,No. of persons employed per household
平均每戶所得收入者人數,1.8,1,1.51,1.63,2.1800000000000002,1.57,2.59,1.89,No. of income recipients per household
一、所得收入總計,1375097,645541,1070557,1161455,1842180,947571,1947209,1355381,A.Total receipts
1.受僱人員報酬,758690,278678,439922,678516,1164078,315527,1049322,732648,1.Compensation of employees
(1)本業薪資,551521,197868,266414,527579,854130,233066,801224,552940,(1)Full time payroll
(2)兼業薪資,48892,25549,94869,22562,45555,35277,35358,39818,(2)Part time payroll
(3)其他收入,158278,55261,78639,128375,264393,47184,212739,139890,(3)Other receipts or subsidies
2.產業主所得,158897,59623,127964,100905,217690,111183,277567,135453,2.Entrepreneurial income
3.財產所得收入,63903,38942,83346,50878,68741,31325,71666,54052,3. Property income
4.自用住宅設算租金收入,78319,46639,82692,64804,92688,66293,91696,74080,4.Imputed rent income
5.經常移轉收入,315252,221630,336607,266270,298960,423243,456918,359107,5.Current transfer receipts
(1)從私人,71691,91403,99164,61313,40137,151701,71349,85439,(1)From individuals
(2)從政府,81178,54456,56820,81239,87420,87598,136350,96907,(2)From government
(3)社會保險受益,158721,73737,177520,121275,166693,183002,243722,173057,(3)Benefit of social insurance
(4)從企業,3282,1623,2967,2443,4423,941,4892,2352,(4)From enterprises
(5)從國外,380,410,137,0,287,0,605,1351,(5)From abroad
