appleL12104年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2015",,104年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2015",,104年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2015"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 104 年,,,,單位：元,2 0 1 5 Unit:NT$,,,,,民 國 104 年,,,,單位：元,2 0 1 5 Unit:NT$,,,,,民 國 104 年,,,,單位：元,2 0 1 5 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
所得收入者人數,14452129,2639936,1834589,1384442,1568840,1171757,1824536,No. of income recipients,,所得收入者人數,293582,313239,309804,660347,287393,372276,296618,No. of income recipients,,所得收入者人數,442115,114737,190764,56978,249703,281432,159039,No. of income recipients
一、所得收入總計,630905,625528,856909,650218,636497,536319,625566,A.Total receipts,,一、所得收入總計,596347,699110,547273,488485,486113,499630,487177,A.Total receipts,,一、所得收入總計,504027,486812,554393,479822,593297,742864,632104,A.Total receipts
1.受僱人員報酬,384105,412719,532544,426776,354725,334216,376340,1.Compensation of employees,,1.受僱人員報酬,320629,481785,356137,270331,238387,239965,251772,1.Compensation of employees,,1.受僱人員報酬,281352,232229,282304,242094,370674,461710,323021,1.Compensation of employees
(1)本業薪資,286169,317720,375280,322935,274017,249162,280267,(1)Full time payroll,,(1)本業薪資,238845,346180,260087,208477,175526,175284,188495,(1)Full time payroll,,(1)本業薪資,217908,180674,193812,178583,281144,320550,221113,(1)Full time payroll
(2)兼業薪資,24860,15718,49060,18105,20208,25259,25436,(2)Part time payroll,,(2)兼業薪資,27648,28783,21307,17512,22552,24536,18303,(2)Part time payroll,,(2)兼業薪資,17136,12982,43079,25657,21441,31726,35436,(2)Part time payroll
(3)其他收入,73077,79280,108204,85735,60499,59795,70637,(3)Other receipts or subsidies,,(3)其他收入,54137,106822,74743,44342,40309,40146,44974,(3)Other receipts or subsidies,,(3)其他收入,46308,38573,45413,37854,68089,109434,66472,(3)Other receipts or subsidies
2.產業主所得,85628,59445,93432,73294,118466,69936,90587,2.Entrepreneurial income,,2.產業主所得,105517,74168,52707,99471,112619,108808,91250,2.Entrepreneurial income,,2.產業主所得,92128,110364,100311,71708,70687,89288,119826,2.Entrepreneurial income
(1)農業淨收入,10882,1107,349,3273,5886,11205,12139,(1)Net agricultural income,,(1)農業淨收入,13251,20699,10931,20235,42077,49528,49011,(1)Net agricultural income,,(1)農業淨收入,47950,46817,16716,21741,745,1336,5693,(1)Net agricultural income
(2)營業淨收入,74747,58338,93082,70021,112580,58731,78449,(2)Net operation surplus,,(2)營業淨收入,92266,53468,41777,79236,70542,59280,42240,(2)Net operation surplus,,(2)營業淨收入,44178,63546,83595,49967,69942,87952,114133,(2)Net operation surplus
