L10106年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 106 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
家庭戶數,8559187,753879,7805308,No. of households
平均每戶人數,3.07,3.22,3.05,No. of persons per household
平均每戶成年人數,2.54,2.75,2.52,No. of adults per household
平均每戶就業人數,1.43,1.86,1.39,No. of persons employed per household
平均每戶所得收入者人數,1.75,1.84,1.74,No. of income recipients per household
一、家庭住宅概況(％),,,,A.Housing (%)
1.住宅所有權,,,,1.By tenure of dwelling
(1)自有(戶內經常   居住成員所擁有),84.83,95.99,83.76,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,4.4400000000000004,1.93,4.68,"(2)Owned by spouse, parentsor children not living together"
(3)租押,8.0399999999999991,0.86,8.73,(3)Rented
(4)其他(含配住及借用),2.68,1.1599999999999999,2.83,(4)Allotted and others
2.住宅用途,,,,2.By usage of dwelling
(1)專用,96.56,97.38,96.48,(1)Independent
(2)併用,3.43,2.56,3.52,(2)Connected
3.建築式樣,,,,3.By style of building
(1)平房,8.85,29.9,6.81,(1)One story
(2)二～三層樓,39.270000000000003,63.22,36.96,(2)Two or three stories
(3)四～五層樓,30.36,6.38,32.67,(3)Four or five stories
(4)六層樓以上,21.52,0.44,23.56,"(4)Apartment, six stories or over"
4.具有自來水設備,96.09,86.56,97.01,4.Piped water equipment
5.有車家庭停車位情形,,,,5.Parking lot
(1)自有停車位,53,74.959999999999994,50.49,(1)Self-owned
(2)租借停車位,13.57,2.95,14.78,(2)Rented
(3)無停車位,33.43,22.09,34.729999999999997,(3)None
6.每戶建坪平均數(坪),45.05,53.53,44.23,6.Space per household average (pin)
7.每戶建坪中位數(坪),40,50,38,7.Space per household median (pin)
二、家庭主要設備,,,,B.Main household equipment (%)
1.普及率(％),,,,1.Percentage of household with equip.
(1)彩色電視機,98.96,99.03,98.96,(1)Color TV
一般彩色電視機,15.43,21.49,14.84,Non-LCD TV
液晶、電漿電視,90.83,86.97,91.2,LCD、PDP TV
(2)數位影音光碟機,19.75,9.48,20.75,(2)DVD player
(3)攝影機,4.43,2.44,4.62,(3)Movies camera
(4)音響,23.35,15.21,24.13,(4)Stereo
(5)鋼琴(含電子琴),7.35,4.01,7.67,(5)Piano
(6)數位相機,24.04,12.43,25.17,(6)Digital camera
