appleL04112年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2023",,112年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
(3)其他收入,158278,520528,362565,253072,192499,93134,(3)Other receipts or subsidies,,(3)其他收入,29469,118910,157507,82008,9596,(3)Other receipts or subsidies
2.產業主所得,158897,277363,141765,202059,36424,335020,2.Entrepreneurial income,,2.產業主所得,400033,232734,148849,36770,995,2.Entrepreneurial income
3.財產所得收入,63903,152999,87538,69594,54011,40384,3. Property income,,3.財產所得收入,33466,30748,28486,22248,88336,3. Property income
4.自用住宅設算租金收入,78319,128780,101167,91332,74551,69151,4.Imputed rent income,,4.自用住宅設算租金收入,57037,69254,64710,43381,74032,4.Imputed rent income
5.經常移轉收入,315252,243586,264679,284679,295262,314397,5.Current transfer receipts,,5.經常移轉收入,339993,318063,296211,298963,383578,5.Current transfer receipts
(1)從私人,71691,42700,47284,53372,56603,54410,(1)From individuals,,(1)從私人,69964,43985,45108,51838,140990,(1)From individuals
(2)從政府,81178,66889,76883,76700,79841,85165,(2)From government,,(2)從政府,120093,97244,96016,98742,65163,(2)From government
(3)社會保險受益,158721,130511,137472,149663,154728,171467,(3)Benefit of social insurance,,(3)社會保險受益,145202,172055,151742,146974,174360,(3)Benefit of social insurance
(4)從企業,3282,2757,2578,4701,2450,3354,(4)From enterprises,,(4)從企業,4733,4707,2931,1409,2567,(4)From enterprises
(5)從國外,380,728,463,243,1639,0,(5)From abroad,,(5)從國外,0,71,414,0,499,(5)From abroad
6.雜項收入,35,5,12,18,20,38,6.Miscellaneous receipts,,6.雜項收入,38,41,33,69,55,6.Miscellaneous receipts
二、非消費支出,238389,596946,431732,327946,244003,197489,B.Nonconsumption expenditures,,二、非消費支出,125810,235460,239696,148704,74993,B.Nonconsumption expenditures
1.利息支出,11955,34653,25554,18771,11594,10776,1.Interest,,1.利息支出,1756,10170,8696,2645,2612,1.Interest
2.經常移轉支出,226434,562293,406179,309175,232410,186713,2.Current transfer expenditures,,2.經常移轉支出,124053,225290,231000,146059,72381,2.Current transfer expenditures
(1)對私人,49152,129256,89871,67136,44496,40588,(1)To private,,(1)對私人,27859,42346,40004,23617,23016,(1)To private
(2)對政府,36667,171816,82464,45637,23122,20418,(2)To government,,(2)對政府,19764,23527,20852,11716,15069,(2)To government
(3)社會保險,139410,257146,229793,195345,164591,125143,(3)Social insurance,,(3)社會保險,75151,159159,169228,110291,33630,(3)Social insurance
(4)對國外,1204,4075,4051,1057,201,565,(4)To abroad,,(4)對國外,1280,257,916,435,666,(4)To abroad
,,,,,,,,,,,,,,,
112年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2023",,112年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 112 年,,,單位：元,2 0 2 3 Unit:NT$,,,,,民 國 112 年,,單位：元,2 0 2 3 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
三、消費支出,861305,1408178,1132060,1045349,853936,823027,C.Consumption expenditures,,三、消費支出,679472,886290,853785,635838,590182,C.Consumption expenditures
1.食品及非酒精飲料,122897,147929,138482,137480,125782,125205,1.Food and non-alcoholic beverages,,1.食品及非酒精飲料,126741,138578,134925,107234,89603,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8814,11567,5961,8599,6185,9143,"2.Tobacco,alcoholic beverages and betel nuts",,2.菸酒及檳榔,12377,16178,15742,12420,3296,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22829,46000,33343,30758,23455,21771,3.Clothing and footwear,,3.衣著鞋襪及服飾用品,15578,23811,22534,14835,10841,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,207343,336667,273678,240019,199024,192728,"4.Housing,water,electricity,gas and other fuels",,4.住宅服務、水電瓦斯及其他燃料,125626,183670,176314,141763,186282,"4.Housing,water,electricity,gas and other fuels"
(1)住宅服務,187197,312795,251736,217691,178476,171930,(1)Rent and residential services,,(1)住宅服務,106185,160663,153492,123565,171450,(1)Rent and residential services
(2)水電費及燃料,20146,23871,21942,22328,20547,20798,"(2)Water,electricity,gas and other fuels",,(2)水電費及燃料,19441,23007,22822,18198,14832,"(2)Water,electricity,gas and other fuels"
5.家具設備及家務維護,24780,53414,36696,31692,24734,22273,"5.Furnishings,household equipmentand routine household maintenance",,5.家具設備及家務維護,16392,23585,21993,13887,15346,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,152413,196971,166516,171720,158040,147341,6.Health,,6.醫療保健,144973,154195,150313,123587,132253,6.Health
7.交通,75700,160610,115390,103011,71709,68116,7.Transport,,7.交通,73112,80757,73838,43548,32617,7.Transport
(1)個人交通工具之購置,11904,46417,22135,15843,9396,10256,(1)Purchase of vehicles,,(1)個人交通工具之購置,13953,7739,8016,2830,4127,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46882,77972,65480,64420,45306,42878,(2)Operation of transport equipment,,(2)個人交通設備使用管理及保養費,47403,57127,51359,31253,19716,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,8581,20146,15441,10915,9148,7558,(3)Transport services,,(3)乘交通設備及其他交通服務,3496,6429,6210,4827,5274,(3)Transport services
(4)汽、機車保險費,8335,16075,12333,11833,7858,7424,(4)Insurance of vehicles,,(4)汽、機車保險費,8260,9461,8253,4637,3499,(4)Insurance of vehicles
8.通訊,24268,35868,30437,30759,25505,24631,8.Communication,,8.通訊,20121,28530,28881,20446,12011,8.Communication
9.休閒與文化,34909,90953,59326,46347,33299,28655,9.Recreation and culture,,9.休閒與文化,17119,28965,27048,18609,20328,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),11390,40233,21442,15867,10044,7503,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),4308,6626,6042,3795,7359,(1)Package holidays
(2)娛樂消遣及文化服務,12567,24918,19195,15609,12582,11417,(2)Recreational and cultural services,,(2)娛樂消遣及文化服務,6887,11647,10986,8266,8327,(2)Recreational and cultural services
(3)書報雜誌文具,3313,7423,5427,4793,3061,2972,"(3)Newspapers,books and stationery",,(3)書報雜誌文具,1848,3638,3563,2278,986,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7640,18380,13263,10078,7612,6763,(4)Recreational facilities,,(4)教育消遣康樂器材及其附屬品,4075,7055,6457,4269,3656,(4)Recreational facilities
10.教育,25162,67084,49491,38247,20548,21811,10.Education,,10.教育,12104,26229,25701,14723,3286,10.Education
11.餐廳及旅館,119880,187123,163249,154265,124758,121777,11.Restaurants and hotels,,11.餐廳及旅館,76549,141942,137781,97455,55355,11.Restaurants and hotels
12.什項消費,42310,73991,59491,52452,40896,39576,12.Miscellaneous goods and services,,12.什項消費,38780,39851,38714,27332,28965,12.Miscellaneous goods and services
可支配所得,1136708,2253237,1652458,1433220,1103216,1086870,Disposable income,,可支配所得,920117,1176285,1121723,812997,599033,Disposable income
消費支出,861305,1408178,1132060,1045349,853936,823027,Consumption expenditures,,消費支出,679472,886290,853785,635838,590182,Consumption expenditures
儲蓄,275402,845058,520397,387871,249280,263843,Saving,,儲蓄,240645,289995,267938,177159,8851,Saving
所得總額,1443071,2974169,2182102,1840508,1410348,1342032,Current receipts,,所得總額,1084550,1469439,1412466,997941,737668,Current receipts
