作者不明2026-08-13T18:05:39.185L04114年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),Table 4. Average Family Income and Expenditure per Household,,,,,,,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 114 年,,,單位：元,2 0 2 5 Unit:NT$,,,,,民 國 114 年,,單位：元,2 0 2 5 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及  勞  力  工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
四、消費支出,920397,1468376,1241041,1120875,953918,871148,D.Consumption expenditures,,四、消費支出,675944,957622,900193,697435,626745,D.Consumption expenditures
1.食品及非酒精飲料,132660,160751,152989,149011,141417,132736,1.Food and non-alcoholic beverages,,1.食品及非酒精飲料,129817,149935,146373,119727,96451,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8696,8882,5090,8784,6208,9889,"2.Tobacco,alcoholic beverages and betel nuts",,2.菸酒及檳榔,13356,17895,14236,12992,3251,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23698,46835,35340,32665,25790,22324,3.Clothing and footwear,,3.衣著鞋襪及服飾用品,14597,23598,22628,15856,11624,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,221718,355254,306444,252508,228340,197245,"4.Housing,water,electricity,gas and other fuels",,4.住宅服務、水電瓦斯及其他燃料,129086,198642,194016,159039,192407,"4.Housing,water,electricity,gas and other fuels"
(1)住宅服務,200883,330650,283583,229234,206804,176321,(1)Rent and residential services,,(1)住宅服務,108663,174736,171039,139431,176675,(1)Rent and residential services
(2)水電費及燃料,20834,24604,22861,23274,21536,20924,"(2)Water,electricity,gas and other fuels",,(2)水電費及燃料,20424,23906,22977,19608,15732,"(2)Water,electricity,gas and other fuels"
5.家具設備及家務維護,25889,47944,38820,32693,26029,23091,"5.Furnishings,household equipment        and routine household maintenance",,5.家具設備及家務維護,17990,24540,23337,16334,17157,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,129564,150394,132819,137899,128018,124856,6.Health,,6.醫療保健,132844,126160,120226,112615,128761,6.Health
7.交通,70659,137202,108842,99032,73857,61276,7.Transport,,7.交通,49276,84037,68164,44075,30215,7.Transport
(1)個人交通工具之購置,12485,35492,23799,19355,12798,7389,(1)Purchase of vehicles,,(1)個人交通工具之購置,2493,18317,9301,3202,3110,(1)Purchase of vehicles
(2)個人交通設備管理維護,46419,77875,63246,63655,46750,43399,(2)Operation of personal transport equipment,,(2)個人交通設備管理維護,42729,57419,51034,34383,20110,(2)Operation of personal transport equipment
(3)客運與貨物運輸服務,11754,23834,21797,16022,14309,10488,(3)Passenger and goods transport services,,(3)客運與貨物運輸服務,4054,8300,7830,6490,6994,(3)Passenger and goods transport services
8.資通訊,34220,58825,44249,42300,36352,33735,8.Information and communication,,8.資通訊,26228,37936,36660,28001,19474,8.Information and communication
9.休閒、運動與文化,38638,102909,71280,54517,39510,31423,"9.Recreation,sport and culture",,9.休閒、運動與文化,14525,31559,26869,17224,19234,"9.Recreation,sport and culture"
(1)套裝旅遊(不含自助旅遊),19599,58984,37480,27943,19460,14814,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),7075,13501,10422,5984,11048,(1)Package holidays
(2)休閒、運動與文化用品,5094,9948,8382,6668,5344,4843,"(2)Recreational,sporting and cultural goods",,(2)休閒、運動與文化用品,2272,4981,4715,3510,2603,"(2)Recreational,sporting and cultural goods"
(3)休閒、運動與文化服務,10815,27644,19889,15412,11759,8962,"(3)Recreational,sporting and cultural services",,(3)休閒、運動與文化服務,3273,9578,8341,5739,4659,"(3)Recreational,sporting and cultural services"
(4)書報雜誌文具,3130,6334,5529,4494,2947,2804,"(4)Newspapers,books and stationery",,(4)書報雜誌文具,1904,3499,3391,1991,924,"(4)Newspapers,books and stationery"
10.教育,22398,58163,46704,34796,17885,19388,10.Education services,,10.教育,9389,22699,22410,10362,3245,10.Education services
11.餐廳及住宿,130580,190719,177288,167642,145702,137557,11.Restaurants and accommodation services,,11.餐廳及住宿,78192,154079,146744,109479,62963,11.Restaurants and accommodation services
12.保險及金融服務,41607,75362,64377,59524,46769,40825,12.Insurance and financial services,,12.保險及金融服務,27403,48808,43875,25920,13684,12.Insurance and financial services
13.其他,40070,75135,56800,49504,38041,36802,13.Miscellaneous goods and services,,13.其他,33240,37735,34653,25812,28282,13.Miscellaneous goods and services
可支配所得(平均數),1210367,2347959,1781157,1526389,1194570,1174441,Disposable income(mean),,可支配所得(平均數),924653,1298035,1170165,908681,629124,Disposable income(mean)
可支配所得(中位數),1017802,2057102,1593099,1366592,1045393,1049435,Disposable income(median),,可支配所得(中位數),701283,1216450,1090532,833309,516709,Disposable income(median)
消費支出,920397,1468376,1241041,1120875,953918,871148,Consumption expenditures,,消費支出,675944,957622,900193,697435,626745,Consumption expenditures
儲蓄,289970,879584,540117,405514,240653,303293,Saving,,儲蓄,248709,340413,269972,211245,2379,Saving
所得總額,1528597,3119557,2343016,1951503,1517324,1437492,Current receipts,,所得總額,1086390,1601582,1470712,1109487,766211,Current receipts
