作者不明2026-08-13T18:04:42.493L13114年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 114 年,,2 0 2 5,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,17419907,937663,16482243,No. of income recipients
一、所得收入總計(中位數),626757,531556,633345,A.Total receipts(median)
二、所得收入總計(平均數),763882,626283,771709,B.Total receipts(mean)
1.受僱人員報酬,447973,226883,460550,1.Compensation of employees
(1)本業薪資,325860,170405,334704,(1)Full time payroll
(2)兼業薪資,27604,20154,28028,(2)Part time payroll
(3)其他收入,94509,36324,97819,(3)Other receipts or subsidies
2.產業主所得,90944,200982,84684,2.Entrepreneurial income
(1)農業淨收入,8477,145907,658,(1)Net agricultural income
(2)營業淨收入,82467,55074,84025,(2)Net operation surplus
3.財產所得收入,40781,21480,41879,3. Property income
4.自用住宅設算租金收入,42973,30037,43709,4.Imputed rent income
5.經常移轉收入,141197,146867,140874,5.Current transfer receipts
(1)從私人,36156,22256,36946,(1)From individuals
(2)從政府,33417,53533,32273,(2)From government
(3)社會保險受益,69498,68539,69553,(3)Benefit of social insurance
(4)從企業,1642,2539,1591,(4)From enterprises
(5)從國外,484,0,511,(5)From abroad
6.雜項收入,14,35,13,6.Miscellaneous receipts
三、非消費支出,127324,75881,130250,C.Nonconsumption expenditures
1.利息支出,7471,1352,7819,1.Interest
2.經常移轉支出,119853,74529,122431,2.Current transfer expenditures
(1)對私人,27140,17944,27663,(1)To private
(2)對政府,20715,11542,21237,(2)To government
(3)社會保險,71061,44937,72547,(3)Social insurance
(4)對國外,937,106,984,(4)To abroad
四、可支配所得(平均數),636558,550403,641459,D.Disposable income(mean)
五、可支配所得(中位數),518510,451902,522731,E.Disposable income(median)
