黃麗妃L0894年家庭收支調查報告,,,,
,,,,
第11表 家庭戶數按所得總額組別及經濟戶長性別分,,,,
Table 11. Numbers of Households by Current Receipts,,,,
,Groups and Sex of Household Heads,,,
,,,,單位：戶
,民 國 94 年,,2 0 0 5,Unit：Households
所 得 總 額 組 別,合 計Total,經濟戶長性別,,Current receipts groups
Sex of Household Head,,,,
男,女,,,
Male,Female,,,
總 計,7206883,5656770,1550113,Total
"未滿200,000元",116629,56179,60449,"Under NT$200,000"
"200,000～299,999",251895,148667,103229,"200,000～299,999"
"300,000～399,999",415220,274447,140773,"300,000～399,999"
"400,000～499,999",426694,296435,130259,"400,000～499,999"
"500,000～599,999",423385,288797,134588,"500,000～599,999"
"600,000～699,999",486461,363855,122606,"600,000～699,999"
"700,000～799,999",528137,404678,123459,"700,000～799,999"
"800,000～899,999",522797,402434,120363,"800,000～899,999"
"900,000～999,999",496215,406408,89808,"900,000～999,999"
"1,000,000～1,099,999",470269,393891,76378,"1,000,000～1,099,999"
"1,100,000～1,199,999",440833,380539,60295,"1,100,000～1,199,999"
"1,200,000～1,299,999",398464,336239,62225,"1,200,000～1,299,999"
"1,300,000～1,399,999",336119,286361,49758,"1,300,000～1,399,999"
"1,400,000～1,499,999",270946,234090,36856,"1,400,000～1,499,999"
"1,500,000～1,649,999",328548,274155,54393,"1,500,000～1,649,999"
"1,650,000～1,799,999",273341,236486,36855,"1,650,000～1,799,999"
"1,800,000～1,999,999",271399,233524,37875,"1,800,000～1,999,999"
"2,000,000～2,299,999",300868,256341,44527,"2,000,000～2,299,999"
"2,300,000～2,699,999",200111,166515,33596,"2,300,000～2,699,999"
"2,700,000～3,499,999",155866,138699,17167,"2,700,000～3,499,999"
"3,500,000元及以上",92686,78030,14656,"Above $3,500,000"
