appleL0192年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
民 國 92 年,,,,,單位：元,2 0 0 3 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
家庭戶數,6961560,645001,1423350,1381119,1797327,998836,448460,167797,54402,45268,No. of households
平均每戶人數,3.53,1,2,3,4,5,6,7,8,9.7200000000000006,No. of persons per household
平均每戶成年人數,2.6,1,1.92,2.48,2.74,3.27,3.9,4.58,5.18,6.12,No. of adults per household
平均每戶就業人數,1.54,0.53,0.83,1.48,1.82,2.06,2.31,2.73,3.12,3.75,No. of persons employed per household
平均每戶所得收入者人數,1.64,1,1.21,1.56,1.78,1.98,2.23,2.56,2.9,3.47,No. of income recipients per household
一、所得收入總計,1064825,461717,703310,1041527,1291823,1296598,1383115,1469763,1864845,1993594,A.Total receipts
1.受僱人員報酬,615294,205302,318982,626148,814232,772099,797072,829053,927746,1115493,1.Compensation of employees
(1)本業薪資,471660,155835,209111,481457,630478,609142,634808,668415,758360,898655,(1)Full time payroll
(2)兼業薪資,35995,18126,61204,36478,28646,29211,30048,28129,20637,31253,(2)Part time payroll
(3)其他收入,107639,31341,48667,108214,155108,133746,132216,132509,148749,185585,(3)Other receipts or subsidies
2.產業主所得,170902,57357,85684,150530,208090,248000,261936,265597,403882,379240,2.Entrepreneurial income
3.財產所得收入,48510,25836,50669,47457,55100,39827,47536,55921,178351,91828,3. Property income
4.自用住宅設算租金收入,62922,39266,53968,64163,71876,67983,68030,71332,80118,74019,4.Imputed rent income
5.經常移轉收入,167012,133824,193785,153028,142368,168506,208352,247693,274423,332573,5.Current transfer receipts
(1)從私人,51407,67073,84894,48311,32070,36106,45990,44569,57272,47065,(1)From individuals
(2)從政府,35629,31845,43626,31668,28170,35347,46311,51627,58746,68457,(2)From government
(3)社會保險受益,77096,31463,62202,69080,79322,95337,113681,150912,157094,217038,(3)Benefit of social insurance
(4)從企業,1301,1139,578,2296,1192,1052,2151,585,1312,14,(4)From enterprises
(5)從國外,1579,2303,2484,1673,1614,664,219,0,0,0,(5)From abroad
6.雜項收入,186,132,222,201,158,182,189,166,326,442,6.Miscellaneous receipts
二、非消費支出,183163,79162,110712,183058,237083,217932,224462,233137,291534,313670,B.Nonconsumption expenditures
1.利息支出,24216,11231,14145,27213,32633,27979,25063,20364,19930,28263,1.Interest
2.經常移轉支出,158947,67931,96566,155845,204451,189953,199399,212773,271604,285407,2.Current transfer expenditures
(1)對私人,49834,29681,38842,50220,61295,52764,53557,49892,85210,71524,(1)To private
(2)對政府,33256,13949,19304,33912,45292,37840,38246,41754,46992,50629,(2)To government
(3)社會保險,72367,19461,33430,66818,94803,98271,106879,119862,136804,162048,(3)Social insurance
(4)對國外,3490,4840,4989,4895,3061,1079,717,1265,2597,1205,(4)To abroad
,,,,,,,,,,,
