appleL1492年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2003",,92年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,,,,,,,,,
第3表 所得收入者平均每人所得來源按職業別分,,,,Table 3. Income Sources of Income Recipients by Occupation,,,,,第3表 所得收入者平均每人所得來源按職業別分(續),,,Table 3. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 92 年,,,單位：元,2 0 0 3 Unit:NT$,,,,,民 國 92 年,,單位：元,2 0 0 3 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作    工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
所得收入者人數,11449514,502392,702949,1748676,1122171,1747892,No. of income recipients,,所得收入者人數,657094,1084262,1696571,621074,1566433,No. of income recipients
一、所得收入總計,606015,1356402,963932,769155,545911,560003,A.Total receipts,,一、所得收入總計,342245,557987,500636,403756,455225,A.Total receipts
1.受僱人員報酬,372031,739234,768437,612574,455717,193149,1.Compensation of employees,,1.受僱人員報酬,52146,345936,346249,285007,162169,1.Compensation of employees
(1)本業薪資,286728,573979,604591,473159,363016,161027,(1)Full time payroll,,(1)本業薪資,40567,311704,287633,243931,31410,(1)Full time payroll
(2)兼業薪資,20077,9926,5498,12700,6403,3146,(2)Part time payroll,,(2)兼業薪資,10011,1152,3767,4813,107841,(2)Part time payroll
(3)其他收入,65225,155329,158348,126716,86298,28977,(3)Other receipts or subsidies,,(3)其他收入,1568,33081,54849,36264,22917,(3)Other receipts or subsidies
2.產業主所得,103880,372189,67511,41180,11228,271453,2.Entrepreneurial income,,2.產業主所得,169372,121973,77744,31977,351,2.Entrepreneurial income
(1)農業淨收入,10589,4652,449,828,60,1222,(1)Net agricultural income,,(1)農業淨收入,168446,1800,794,1363,67,(1)Net agricultural income
(2)營業淨收入,87785,351593,17521,32528,10255,267119,(2)Net operation surplus,,(2)營業淨收入,927,120156,76950,30614,259,(2)Net operation surplus
(3)執行業務淨收入,5506,15944,49542,7824,913,3112,(3)Net professional income,,(3)執行業務淨收入,0,17,0,0,26,(3)Net professional income
3.財產所得收入,27425,102803,32131,24413,15476,14948,3. Property income,,3.財產所得收入,13393,9493,8889,8766,72753,3. Property income
4.自用住宅設算租金收入,36013,83919,44678,39701,18951,33998,4.Imputed rent income,,4.自用住宅設算租金收入,27846,37280,28689,26123,41520,4.Imputed rent income
5.經常移轉收入,66594,58190,51138,51262,44513,46380,5.Current transfer receipts,,5.經常移轉收入,79319,43251,39026,51736,178287,5.Current transfer receipts
(1)從私人,23215,18594,11613,12388,10856,13501,(1)From individuals,,(1)從私人,27472,9480,7657,15985,89124,(1)From individuals
(2)從政府,14605,9606,6619,7015,5995,11214,(2)From government,,(2)從政府,26741,11844,7814,11986,43435,(2)From government
(3)社會保險受益,27299,29516,31063,30714,26262,20717,(3)Benefit of social insurance,,(3)社會保險受益,23854,21795,23012,22351,41031,(3)Benefit of social insurance
(4)從企業,537,372,660,115,107,612,(4)From enterprises,,(4)從企業,989,132,279,1232,1324,(4)From enterprises
(5)從國外,938,101,1184,1030,1293,335,(5)From abroad,,(5)從國外,263,0,263,181,3373,(5)From abroad
6.雜項收入,71,68,36,24,26,75,6.Miscellaneous receipts,,6.雜項收入,168,54,40,147,145,6.Miscellaneous receipts
二、非消費支出,103019,286846,184169,143116,87625,84941,B.Nonconsumption expenditures,,二、非消費支出,54478,96909,85391,61877,54079,B.Nonconsumption expenditures
1.利息支出,14365,42955,20875,19008,7970,16229,1.Interest,,1.利息支出,4388,17000,12288,7747,6830,1.Interest
2.經常移轉支出,88653,243891,163294,124107,79655,68712,2.Current transfer expenditures,,2.經常移轉支出,50091,79909,73103,54130,47249,2.Current transfer expenditures
(1)對私人,28387,80405,49819,35982,20176,25146,(1)To private,,(1)對私人,21971,25317,19964,17091,21523,(1)To private
(2)對政府,19589,72205,41849,30690,13585,13696,(2)To government,,(2)對政府,8125,17202,13482,8410,8717,(2)To government
(3)社會保險,38770,75179,66366,55564,45180,29294,(3)Social insurance,,(3)社會保險,19885,36985,39376,28077,14686,(3)Social insurance
(4)對國外,1907,16102,5260,1872,713,575,(4)To abroad,,(4)對國外,110,405,281,552,2323,(4)To abroad
三、可支配所得,502996,1069556,779763,626040,458286,475062,C.Disposable income,,三、可支配所得,287766,461078,415246,341879,401147,C.Disposable income
