appleL1494年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2005",,94年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,,,,,,,,,
第3表 所得收入者平均每人所得來源按職業別分,,,,Table 3. Income Sources of Income Recipients by Occupation,,,,,第3表 所得收入者平均每人所得來源按職業別分(續),,,Table 3. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 94 年,,,單位：元,2 0 0 5 Unit:NT$,,,,,民 國 94 年,,單位：元,2 0 0 5 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作    工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
所得收入者人數,11794335,533982,723016,1859685,1098643,1796096,No. of income recipients,,所得收入者人數,630705,1104026,1702643,593754,1751786,No. of income recipients
一、所得收入總計,619749,1348895,1001298,778480,553783,563248,A.Total receipts,,一、所得收入總計,359817,582233,518679,408228,457961,A.Total receipts
1.受僱人員報酬,381936,764708,792613,625098,465855,210920,1.Compensation of employees,,1.受僱人員報酬,55464,354322,361134,287335,147557,1.Compensation of employees
(1)本業薪資,290012,586237,605682,477543,366626,172998,(1)Full time payroll,,(1)本業薪資,43033,315896,295868,249562,22903,(1)Full time payroll
(2)兼業薪資,21814,16440,17501,13103,6508,3633,(2)Part time payroll,,(2)兼業薪資,9151,4043,2483,3087,103613,(2)Part time payroll
(3)其他收入,70110,162031,169429,134453,92721,34290,(3)Other receipts or subsidies,,(3)其他收入,3280,34384,62783,34687,21042,(3)Other receipts or subsidies
2.產業主所得,100091,357888,65115,38787,9045,255180,2.Entrepreneurial income,,2.產業主所得,172754,128286,76979,32924,409,2.Entrepreneurial income
(1)農業淨收入,9598,2481,42,235,203,744,(1)Net agricultural income,,(1)農業淨收入,168636,1314,977,385,87,(1)Net agricultural income
(2)營業淨收入,86024,343966,23712,32272,8842,251790,(2)Net operation surplus,,(2)營業淨收入,4118,126741,76002,32539,322,(2)Net operation surplus
(3)執行業務淨收入,4468,11441,41361,6280,0,2645,(3)Net professional income,,(3)執行業務淨收入,0,230,0,0,0,(3)Net professional income
3.財產所得收入,27021,80652,31187,22106,13618,13972,3. Property income,,3.財產所得收入,12144,8859,7416,6468,78784,3. Property income
4.自用住宅設算租金收入,37011,83242,45604,39352,20188,32795,4.Imputed rent income,,4.自用住宅設算租金收入,29447,40782,29712,24780,43347,4.Imputed rent income
5.經常移轉收入,73617,62315,66724,53101,45054,50306,5.Current transfer receipts,,5.經常移轉收入,89849,49908,43410,56635,187713,5.Current transfer receipts
(1)從私人,23168,12184,12119,8902,8287,11952,(1)From individuals,,(1)從私人,31029,8582,7113,14492,91960,(1)From individuals
(2)從政府,15754,9358,7056,7278,6116,11267,(2)From government,,(2)從政府,33653,12959,7820,12635,45024,(2)From government
(3)社會保險受益,33202,39501,46214,36236,29407,25874,(3)Benefit of social insurance,,(3)社會保險受益,24887,27900,27955,28341,45668,(3)Benefit of social insurance
(4)從企業,757,1052,772,580,394,679,(4)From enterprises,,(4)從企業,280,462,383,1031,1784,(4)From enterprises
(5)從國外,736,219,562,105,850,535,(5)From abroad,,(5)從國外,0,5,140,136,3277,(5)From abroad
6.雜項收入,73,90,55,35,23,75,6.Miscellaneous receipts,,6.雜項收入,160,76,28,87,152,6.Miscellaneous receipts
二、非消費支出,106272,296397,195276,147392,94278,83420,B.Nonconsumption expenditures,,二、非消費支出,53636,99322,89224,59276,54711,B.Nonconsumption expenditures
1.利息支出,12212,36446,18873,17370,8301,11583,1.Interest,,1.利息支出,3999,14863,10329,6700,4682,1.Interest
2.經常移轉支出,94060,259951,176403,130022,85977,71837,2.Current transfer expenditures,,2.經常移轉支出,49637,84459,78895,52576,50029,2.Current transfer expenditures
(1)對私人,30365,85235,53690,37334,22872,26738,(1)To private,,(1)對私人,22325,27451,21456,15969,23301,(1)To private
(2)對政府,21269,81113,45977,32464,15103,13836,(2)To government,,(2)對政府,8130,18630,15060,8298,9258,(2)To government
(3)社會保險,40527,80678,69842,58752,46959,30535,(3)Social insurance,,(3)社會保險,18517,37488,42000,27955,15722,(3)Social insurance
(4)對國外,1899,12925,6894,1472,1044,728,(4)To abroad,,(4)對國外,665,890,380,354,1747,(4)To abroad
三、可支配所得,513477,1052498,806022,631088,459505,479828,C.Disposable income,,三、可支配所得,306181,482912,429455,348952,403251,C.Disposable income
