appleL1399年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 99 年,,2 0 1 0,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,12683101,1354417,11328683,No. of income recipients
一、所得收入總計,615016,434448,636604,A.Total receipts
1.受僱人員報酬,380610,196530,402618,1.Compensation of employees
(1)本業薪資,286776,154750,302561,(1)Full time payroll
(2)兼業薪資,22032,10438,23419,(2)Part time payroll
(3)其他收入,71801,31342,76638,(3)Other receipts or subsidies
2.產業主所得,89867,117617,86549,2.Entrepreneurial income
(1)農業淨收入,9076,75973,1078,(1)Net agricultural income
(2)營業淨收入,75264,40932,79368,(2)Net operation surplus
(3)執行業務淨收入,5527,713,6103,(3)Net professional income
3.財產所得收入,28309,12592,30188,3. Property income
4.自用住宅設算租金收入,38994,27518,40366,4.Imputed rent income
5.經常移轉收入,77164,80121,76810,5.Current transfer receipts
(1)從私人,28353,20570,29283,(1)From individuals
(2)從政府,17589,30812,16008,(2)From government
(3)社會保險受益,29683,28028,29881,(3)Benefit of social insurance
(4)從企業,702,615,712,(4)From enterprises
(5)從國外,837,95,926,(5)From abroad
6.雜項收入,73,70,73,6.Miscellaneous receipts
二、非消費支出,99760,64013,104034,B.Nonconsumption expenditures
1.利息支出,7792,1732,8516,1.Interest
2.經常移轉支出,91969,62282,95518,2.Current transfer expenditures
(1)對私人,24959,18497,25732,(1)To private
(2)對政府,17517,11483,18239,(2)To government
(3)社會保險,47707,31161,49685,(3)Social insurance
(4)對國外,1786,1140,1863,(4)To abroad
三、可支配所得,515256,370434,532570,C.Disposable income
