appleL05102年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8191640,908008,1380434,782617,3105381,103638,1248508,663053,No. of households
平均每戶人數,3.21,1,2,2.52,3.76,3.08,5.34,2.98,No. of persons per household
平均每戶成年人數,2.57,1,2,2.0499999999999998,2.89,2.17,3.84,2.72,No. of adults per household
平均每戶就業人數,1.46,0.47,0.73,1.29,1.87,0.79,2.15,1.45,No. of persons employed per household
平均每戶所得收入者人數,1.71,1,1.27,1.52,1.93,1.37,2.29,1.74,No. of income recipients per household
一、所得收入總計,1140271,476330,856007,855686,1431030,732799,1460733,1075728,A.Total receipts
1.受僱人員報酬,655707,189204,326806,506928,921266,241655,854625,601332,1.Compensation of employees
(1)本業薪資,487804,138016,190135,402489,690971,176315,658496,462996,(1)Full time payroll
(2)兼業薪資,44903,21723,83829,19623,46172,31146,37086,36373,(2)Part time payroll
(3)其他收入,123000,29465,52842,84816,184123,34194,159043,101963,(3)Other receipts or subsidies
2.產業主所得,149970,52716,116392,86158,202220,64464,196464,109482,2.Entrepreneurial income
3.財產所得收入,46161,27834,80808,26693,44461,41833,39952,42427,3. Property income
4.自用住宅設算租金收入,68845,42879,69114,52694,78078,60515,77013,65586,4.Imputed rent income
5.經常移轉收入,219444,163498,262736,183058,184884,324150,292531,256748,5.Current transfer receipts
(1)從私人,62520,77750,99441,62898,34250,146635,58047,92024,(1)From individuals
(2)從政府,48607,35898,52666,48151,38756,70802,71746,57192,(2)From government
(3)社會保險受益,105454,48608,107447,69867,109616,102217,158718,101876,(3)Benefit of social insurance
(4)從企業,1977,206,2533,1214,2197,766,3088,1211,(4)From enterprises
(5)從國外,886,1037,650,928,65,3729,931,4445,(5)From abroad
6.雜項收入,145,199,150,156,120,183,149,153,6.Miscellaneous receipts
