黃麗妃L0885年家庭收支調查報告,,,,
,,,,
第11表 家庭戶數按所得總額組別及經濟戶長性別分,,,,
Table 11. Numbers of Households by Current Receipts,,,,
,Groups and Sex of Household Heads,,,
,,,,單位：戶
,民 國 85 年,,1 9 9 6,Unit：Households
所 得 總 額 組 別,合 計Total,經濟戶長性別,,Current receipts groups
Sex of Household Head,,,,
男,女,,,
Male,Female,,,
總 計,5908262,5025507,882755,Total
"未滿200,000元",115180,68688,46492,"Under NT$200,000"
"200,000～299,999",206595,134500,72095,"200,000～299,999"
"300,000～399,999",273698,192783,80915,"300,000～399,999"
"400,000～499,999",308850,228869,79981,"400,000～499,999"
"500,000～599,999",404280,303971,100309,"500,000～599,999"
"600,000～699,999",453080,374398,78682,"600,000～699,999"
"700,000～799,999",523283,453715,69568,"700,000～799,999"
"800,000～899,999",538802,475564,63238,"800,000～899,999"
"900,000～999,999",450711,404427,46284,"900,000～999,999"
"1,000,000～1,099,999",437742,393478,44264,"1,000,000～1,099,999"
"1,100,000～1,199,999",359469,320547,38922,"1,100,000～1,199,999"
"1,200,000～1,299,999",305806,276051,29755,"1,200,000～1,299,999"
"1,300,000～1,399,999",269567,247380,22187,"1,300,000～1,399,999"
"1,400,000～1,499,999",190776,175806,14970,"1,400,000～1,499,999"
"1,500,000～1,649,999",279191,256005,23186,"1,500,000～1,649,999"
"1,650,000～1,799,999",193489,177296,16193,"1,650,000～1,799,999"
"1,800,000～1,999,999",184197,165724,18473,"1,800,000～1,999,999"
"2,000,000～2,299,999",170647,152597,18050,"2,000,000～2,299,999"
"2,300,000～2,699,999",119412,108800,10612,"2,300,000～2,699,999"
"2,700,000～3,499,999",85150,80220,4930,"2,700,000～3,499,999"
"3,500,000元及以上",38337,34688,3649,"Above $3,500,000"
