appleL0689年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 89 年,,,單位：元,2 0 0 0 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,6588644,1317729,1317729,1317729,1317729,1317728,No. of households
平均每戶人數,3.62,1.99,3.27,3.89,4.2699999999999996,4.6500000000000004,No. of persons per household
平均每戶成年人數,2.54,1.66,2.23,2.5299999999999998,2.93,3.37,No. of adults per household
平均每戶就業人數,1.58,0.68,1.29,1.59,1.94,2.41,No. of persons employed per household
平均每戶所得收入者人數,1.66,1.06,1.29,1.57,1.94,2.4300000000000002,No. of income recipients per household
一、所得收入總計,1091478,393928,714291,960854,1275138,2113178,A.Total receipts
1.受僱人員報酬,631808,119553,360043,539277,785343,1354824,1.Compensation of employees
(1)本業薪資,489553,93006,293808,423590,608217,1029144,(1)Full time payroll
(2)兼業薪資,30053,13839,15263,32280,36192,52690,(2)Part time payroll
(3)其他收入,112202,12709,50973,83406,140933,272989,(3)Other receipts or subsidies
2.產業主所得,174654,54896,133849,178568,200218,305738,2.Entrepreneurial income
3.財產所得收入,69573,27071,37134,46890,70924,165845,3. Property income
4.自用住宅設算租金收入,66676,37527,52494,62219,75915,105225,4.Imputed rent income
5.經常移轉收入,148572,154682,130544,133717,142550,181368,5.Current transfer receipts
(1)從私人,46162,65641,44473,37017,36582,47094,(1)From individuals
(2)從政府,32519,47042,30882,30203,28979,25490,(2)From government
(3)社會保險受益,68184,41149,54551,65441,75929,103852,(3)Benefit of social insurance
(4)從企業,986,100,329,221,567,3712,(4)From enterprises
(5)從國外,721,750,308,835,492,1220,(5)From abroad
6.雜項收入,195,198,227,184,189,178,6.Miscellaneous receipts
二、非消費支出,200033,78756,142936,182298,231630,364545,B.Nonconsumption expenditures
1.利息支出,42411,21764,40281,44642,47334,58035,1.Interest
2.經常移轉支出,157622,56992,102655,137656,184296,306510,2.Current transfer expenditures
(1)對私人,51472,20887,33727,45048,59502,98198,(1)To private
(2)對政府,33102,6976,15836,22959,35963,83774,(2)To government
(3)社會保險,69106,25970,51632,67809,85178,114943,(3)Social insurance
(4)對國外,3941,3160,1460,1839,3653,9594,(4)To abroad
,,,,,,,
89年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 89 年,,,單位：元,2 0 0 0 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,662722,300440,502783,634736,780907,1094744,C.Consumption expenditures
1.食品費,149319,72482,123776,152728,177400,220211,1.Food
2.飲料費,6021,2783,4648,6030,7266,9379,2.Beverage
3.菸草,5079,3109,4681,5641,6176,5787,3.Tobacco
4.衣著、鞋、襪類,25399,9041,17179,23398,30771,46605,4.Clothing and footwear
5.房地租及水費,148204,86071,121244,140902,165182,227620,5.Rent and water charges
6.燃料及燈光,18486,10982,16403,19059,21325,24659,6.Fuel and light
7.家具及家庭設備,12401,3877,8175,10687,14814,24453,7.Furniture and family facilities
8.家事管理,13859,4161,8295,11447,17068,28323,8.Household operations
9.保健及醫療,73464,45260,61926,72294,84484,103354,9.Health care and medical
10.運輸交通及通訊,75370,23336,51050,69249,93895,139321,10.Transport and communications
(1)交通及通訊工具之購置,11811,1957,5491,8161,14495,28954,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,33152,9530,23453,32144,42604,58030,(2)Operation of transport equipment
(3)乘交通設備之費用,9260,4285,6841,8712,10738,15724,(3)Purchased transportation
(4)其他通訊費,16037,6070,11679,15610,19631,27195,(4)Other communications
(5)汽機車保險費支出,5110,1494,3587,4622,6428,9418,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,89509,23794,56366,84842,110325,172216,"11.Recreation ,education and culture"
(1)旅遊費用,23570,7203,10575,16371,24719,58981,(1)Traveling
(2)娛樂消遣服務,9489,4447,7423,8912,11090,15572,(2)Recreation service
(3)書報雜誌文具,5421,1642,3734,5156,6705,9869,(3)Books and stationery
(4)娛樂器材及附屬品,8181,2343,5206,7476,9907,15972,(4)Recreation facilities
(5)教育與研究費,42848,8159,29428,46928,57905,71821,(5)Education and research
12.什項消費,45611,15545,29039,38457,52200,92816,12.Miscellaneous
可支配所得,891445,315172,571355,778556,1043508,1748633,Disposable income
消費支出,662722,300440,502783,634736,780907,1094744,Consumption expenditures
儲蓄,228723,14733,68572,143820,262601,653888,Saving
所得總額,1139336,422626,753671,1005654,1327182,2187548,Current receipts
