appleL14104年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2015",,104年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2015"
,,,,,,,,,,,,,,,
第2表 所得收入者平均每人所得來源按職業別分,,,,Table 2. Income Sources of Income Recipients by Occupation,,,,,第2表 所得收入者平均每人所得來源按職業別分(續),,,Table 2. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 104 年,,,單位：元,2 0 1 5 Unit:NT$,,,,,民 國 104 年,,單位：元,2 0 1 5 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and associate pro-fessionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
所得收入者人數,14452129,468514,1193128,1915195,1220865,2169154,No. of income recipients,,所得收入者人數,640218,1431175,1414313,778448,3221119,No. of income recipients
一、所得收入總計,630905,1595296,989016,834777,552784,570194,A.Total receipts,,一、所得收入總計,442051,614728,557864,415779,436044,A.Total receipts
1.受僱人員報酬,384105,1062021,795341,645927,467614,259692,1.Compensation of employees,,1.受僱人員報酬,46270,371658,407387,308050,110469,1.Compensation of employees
(1)本業薪資,286169,788428,609367,486593,369547,215313,(1)Full time payroll,,(1)本業薪資,24400,324731,329854,267053,10678,(1)Full time payroll
(2)兼業薪資,24860,7590,7825,10079,1327,2706,(2)Part time payroll,,(2)兼業薪資,19556,1382,872,2923,93628,(2)Part time payroll
(3)其他收入,73077,266003,178148,149255,96740,41673,(3)Other receipts or subsidies,,(3)其他收入,2314,45544,76661,38074,6164,(3)Other receipts or subsidies
2.產業主所得,85628,256910,62930,75310,11657,200549,2.Entrepreneurial income,,2.產業主所得,236990,134161,64738,16455,146,2.Entrepreneurial income
(1)農業淨收入,10882,1204,57,645,3,647,(1)Net agricultural income,,(1)農業淨收入,235166,903,732,1225,47,(1)Net agricultural income
(2)營業淨收入,74747,255706,62873,74666,11654,199903,(2)Net operation surplus,,(2)營業淨收入,1824,133258,64006,15230,99,(2)Net operation surplus
3.財產所得收入,29126,115131,27170,19497,10285,9887,3. Property income,,3.財產所得收入,16570,7408,5081,3816,71980,3. Property income
4.自用住宅設算租金收入,39616,92213,48841,45079,20792,31299,4.Imputed rent income,,4.自用住宅設算租金收入,34601,39463,33576,23411,45671,4.Imputed rent income
5.經常移轉收入,92384,68971,54722,48956,42416,68714,5.Current transfer receipts,,5.經常移轉收入,107531,61999,47052,63961,207703,5.Current transfer receipts
(1)從私人,31379,18461,12568,12464,11406,16645,(1)From individuals,,(1)從私人,27172,11196,10255,17720,91344,(1)From individuals
(2)從政府,18438,14181,11153,9800,8431,14280,(2)From government,,(2)從政府,42394,15092,10555,15896,34287,(2)From government
(3)社會保險受益,40957,34027,29774,25862,21713,37084,(3)Benefit of social insurance,,(3)社會保險受益,37406,35219,25462,29714,77759,(3)Benefit of social insurance
(4)從企業,914,1054,621,356,552,412,(4)From enterprises,,(4)從企業,559,367,596,464,2370,(4)From enterprises
(5)從國外,696,1248,606,475,313,293,(5)From abroad,,(5)從國外,0,125,183,167,1943,(5)From abroad
6.雜項收入,45,51,12,7,20,51,6.Miscellaneous receipts,,6.雜項收入,89,39,31,87,74,6.Miscellaneous receipts
二、非消費支出,105620,349161,202834,162089,99351,85222,B.Nonconsumption expenditures,,二、非消費支出,52478,99908,97520,63030,43674,B.Nonconsumption expenditures
1.利息支出,5763,22406,10569,9273,3432,5451,1.Interest,,1.利息支出,1208,5859,4981,2656,2526,1.Interest
2.經常移轉支出,99857,326755,192265,152815,95919,79771,2.Current transfer expenditures,,2.經常移轉支出,51270,94049,92539,60374,41148,2.Current transfer expenditures
(1)對私人,24219,82186,43687,33945,15745,19403,(1)To private,,(1)對私人,20264,22152,17882,11698,16760,(1)To private
(2)對政府,18162,101767,42212,28124,10173,10468,(2)To government,,(2)對政府,9839,14239,11659,6055,8560,(2)To government
(3)社會保險,56390,131503,104245,88656,69215,49562,(3)Social insurance,,(3)社會保險,21127,57174,62919,42445,15455,(3)Social insurance
(4)對國外,1086,11300,2120,2091,785,339,(4)To abroad,,(4)對國外,40,483,78,176,374,(4)To abroad
三、可支配所得,525285,1246135,786182,672689,453433,484972,C.Disposable income,,三、可支配所得,389573,514820,460344,352749,392370,C.Disposable income
