appleL04103年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2014",,103年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2014"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
(5)從國外,1374,305,3376,1774,2250,1672,(5)From abroad,,(5)從國外,0,689,567,634,1388,(5)From abroad
6.雜項收入,130,27,41,54,147,144,6.Miscellaneous receipts,,6.雜項收入,212,152,137,251,170,6.Miscellaneous receipts
二、非消費支出,201077,515168,361206,277124,216267,174671,B.Nonconsumption expenditures,,二、非消費支出,105237,188664,185729,122848,69148,B.Nonconsumption expenditures
1.利息支出,11839,30730,24304,16469,11020,11464,1.Interest,,1.利息支出,2130,11513,11930,5442,2797,1.Interest
2.經常移轉支出,189238,484439,336903,260655,205247,163208,2.Current transfer expenditures,,2.經常移轉支出,103107,177151,173798,117407,66351,2.Current transfer expenditures
(1)對私人,45272,116047,82257,62420,43807,41042,(1)To private,,(1)對私人,31782,37455,32957,22993,22137,(1)To private
(2)對政府,32093,122224,70193,42989,37844,21351,(2)To government,,(2)對政府,16346,22222,20665,12350,11422,(2)To government
(3)社會保險,109480,226272,181743,152850,122036,100228,(3)Social insurance,,(3)社會保險,54608,116609,119037,81678,30909,(3)Social insurance
(4)對國外,2393,19896,2709,2396,1559,587,(4)To abroad,,(4)對國外,371,865,1138,386,1882,(4)To abroad
,,,,,,,,,,,,,,,
103年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2014",,103年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2014"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 103 年,,,單位：元,2 0 1 4 Unit:NT$,,,,,民 國 103 年,,單位：元,2 0 1 4 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
三、消費支出,755169,1274467,1039819,923527,790607,734851,C.Consumption expenditures,,三、消費支出,546191,764759,726043,583211,485105,C.Consumption expenditures
1.食品及非酒精飲料,110468,141791,127534,122472,112584,112336,1.Food and non-alcoholic beverages,,1.食品及非酒精飲料,102246,123394,117239,98897,77950,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9377,12723,5783,8456,6681,9952,"2.Tobacco,alcoholic beverages and betel nuts",,2.菸酒及檳榔,11292,15756,13933,11902,3708,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22832,50217,36082,30998,24347,21956,3.Clothing and footwear,,3.衣著鞋襪及服飾用品,13174,22092,21342,15124,9877,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,184701,293667,243760,218109,192755,180423,"4.Housing,water,electricity,gas and other fuels",,4.住宅服務、水電瓦斯及其他燃料,109498,169257,162034,144002,157643,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,163062,265981,219997,194126,170761,158109,(1)Rent and water charges,,(1)房地租及水費,89633,145518,139084,124166,141827,(1)Rent and water charges
(2)電費及燃料,21639,27685,23763,23984,21994,22314,(2)Power and fuel,,(2)電費及燃料,19865,23740,22950,19835,15816,(2)Power and fuel
5.家具設備及家務維護,18464,37759,30043,23991,19151,16231,"5.Furnishings,household equipmentand routine household maintenance",,5.家具設備及家務維護,12393,16401,15951,11006,11827,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,112270,150286,132504,122831,113985,106976,6.Health,,6.醫療保健,106596,110679,108743,97151,97470,6.Health
7.交通,72146,142047,116293,98807,79581,66919,7.Transport,,7.交通,57981,76160,68301,44614,27496,7.Transport
(1)個人交通工具之購置,11720,29012,23924,15648,14392,11394,(1)Purchase of vehicles,,(1)個人交通工具之購置,9310,10488,8716,3887,3509,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46013,84636,69894,63791,47626,42254,(2)Operation of transport equipment,,(2)個人交通設備使用管理及保養費,39638,52022,47777,30444,16096,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9770,18521,15127,13132,12711,8988,(3)Transport services,,(3)乘交通設備及其他交通服務,4943,8658,7480,7465,6167,(3)Transport services
(4)汽、機車保險費,4643,9879,7347,6236,4852,4284,(4)Insurance of vehicles,,(4)汽、機車保險費,4090,4992,4328,2818,1724,(4)Insurance of vehicles
8.通訊,26933,44613,36515,35231,30996,27867,8.Communication,,8.通訊,17136,30886,29143,21323,10709,8.Communication
9.休閒與文化,40232,107082,76753,58053,41404,33111,9.Recreation and culture,,9.休閒與文化,19471,29074,28505,19662,22253,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),18019,60747,40258,28951,17632,12326,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),6700,8374,8737,4996,10431,(1)Package holidays
(2)娛樂消遣及文化服務,10744,23210,17416,13310,10597,10003,(2)Recreational and cultural services,,(2)娛樂消遣及文化服務,5826,9620,9676,7193,6677,(2)Recreational and cultural services
(3)書報雜誌文具,5022,9909,7756,6836,5597,5010,"(3)Newspapers,books and stationery",,(3)書報雜誌文具,2919,5573,4752,3647,1785,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6448,13216,11323,8956,7578,5772,(4)Recreational facilities,,(4)教育消遣康樂器材及其附屬品,4027,5507,5340,3826,3360,(4)Recreational facilities
10.教育,32147,74091,50077,46176,35222,32216,10.Education,,10.教育,15675,37224,32731,20276,6205,10.Education
11.餐廳及旅館,83661,136633,115498,106690,90613,87448,11.Restaurants and hotels,,11.餐廳及旅館,49199,96585,92709,71655,33732,11.Restaurants and hotels
12.什項消費,41938,83559,68976,51713,43288,39416,12.Miscellaneous goods and services,,12.什項消費,31529,37251,35413,27599,26235,12.Miscellaneous goods and services
可支配所得,956849,1876390,1420676,1192616,996812,928075,Disposable income,,可支配所得,688015,948364,901927,706351,520495,Disposable income
消費支出,755169,1274467,1039819,923527,790607,734851,Consumption expenditures,,消費支出,546191,764759,726043,583211,485105,Consumption expenditures
儲蓄,201680,601924,380857,269089,206205,193224,Saving,,儲蓄,141824,183605,175883,123140,35389,Saving
所得總額,1213703,2488927,1860211,1537447,1269503,1153721,Current receipts,,所得總額,825236,1185320,1133139,866219,640103,Current receipts
