appleL0685年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1996"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 85 年,,,單位：元,1 9 9 6 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,5908262,1181652,1181652,1181652,1181652,1181654,No. of households
平均每戶人數,3.92,2.3199999999999998,3.65,4.2300000000000004,4.5,4.91,No. of persons per household
平均每戶成年人數,2.61,1.78,2.2799999999999998,2.61,2.92,3.49,No. of adults per household
平均每戶就業人數,1.71,0.84,1.39,1.72,2.06,2.5499999999999998,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.1100000000000001,1.36,1.63,1.98,2.48,No. of income recipients per household
一、所得收入總計,1008367,381104,674429,890676,1175740,1919884,A.Total receipts
1.受僱人員報酬,579472,143091,360434,490900,711889,1191045,1.Compensation of employees
(1)本業薪資,460259,110566,292286,399601,572316,926527,(1)Full time payroll
(2)兼業薪資,23887,18128,19939,19412,18629,43329,(2)Part time payroll
(3)其他收入,95325,14397,48210,71887,120943,221189,(3)Other receipts or subsidies
2.產業主所得,186931,59651,129822,190204,212540,342438,2.Entrepreneurial income
3.財產所得收入,59293,20554,28812,41371,60683,145045,3. Property income
4.自用住宅設算租金收入,61507,33500,49465,59152,70433,94986,4.Imputed rent income
5.經常移轉收入,120898,124075,105676,108807,119896,146036,5.Current transfer receipts
(1)從私人,35890,50509,31686,27802,29920,39532,(1)From individuals
(2)從政府,30097,38128,28454,28003,28793,27106,(2)From government
(3)社會保險受益,53479,34504,44939,52359,59782,75812,(3)Benefit of social insurance
(4)從企業,765,228,201,198,451,2745,(4)From enterprises
(5)從國外,668,706,397,446,950,841,(5)From abroad
6.雜項收入,266,234,220,241,299,334,6.Miscellaneous receipts
二、非消費支出,181989,82662,137188,167610,209637,312850,B.Nonconsumption expenditures
1.利息支出,41923,25593,38504,40608,47510,57402,1.Interest
2.經常移轉支出,140066,57068,98684,127002,162128,255448,2.Current transfer expenditures
(1)對私人,44764,21301,31735,39815,50889,80078,(1)To private
(2)對政府,27697,6479,13763,20477,30375,67388,(2)To government
(3)社會保險,65211,27683,51654,65033,78923,102762,(3)Social insurance
(4)對國外,2395,1605,1531,1676,1942,5220,(4)To abroad
,,,,,,,
85年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1996"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 85 年,,,單位：元,1 9 9 6 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,614435,285227,464278,589982,721896,1010792,C.Consumption expenditures
1.食品費,148667,75280,123993,151241,174060,218761,1.Food
2.飲料費,6401,3116,5137,6179,7363,10209,2.Beverage
3.菸草,5186,3543,4951,5539,5739,6158,3.Tobacco
4.衣著、鞋、襪類,27584,9992,19031,25347,32987,50565,4.Clothing and footwear
5.房地租及水費,137832,77079,110989,131903,158526,210665,5.Rent and water charges
6.燃料及燈光,17626,10502,15336,17644,20292,24354,6.Fuel and light
7.家具及家庭設備,15059,4640,9547,13143,18088,29875,7.Furniture and family facilities
8.家事管理,13071,3566,6618,10219,16290,28661,8.Household operations
9.保健及醫療,60473,41817,52368,59987,66912,81282,9.Health care and medical
10.運輸交通及通訊,62457,20120,39734,58919,75674,117836,10.Transport and communications
(1)交通及通訊工具之購置,14146,2909,4543,11607,18213,33459,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,28211,8506,20715,28099,34102,49635,(2)Operation of transport equipment
(3)乘交通設備之費用,9184,4363,6813,8966,10450,15330,(3)Purchased transportation
(4)其他通訊費,6953,3664,5539,6716,7898,10950,(4)Other communications
(5)汽機車保險費支出,3961,678,2124,3532,5010,8462,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,79683,21340,50367,74634,99189,152886,"11.Recreation ,education and culture"
(1)旅遊費用,22922,5712,10222,15231,25590,57854,(1)Traveling
(2)娛樂消遣服務,7873,3276,6216,7692,9245,12937,(2)Recreation service
(3)書報雜誌文具,5772,2024,4214,5659,6992,9968,(3)Books and stationery
(4)娛樂器材及附屬品,7958,2279,4619,6860,9988,16045,(4)Recreation facilities
(5)教育與研究費,35159,8050,25096,39192,47374,56081,(5)Education and research
12.什項消費,40396,14232,26207,35227,46776,79539,12.Miscellaneous
可支配所得,826378,298443,537241,723067,966103,1607034,Disposable income
消費支出,614435,285227,464278,589982,721896,1010792,Consumption expenditures
儲蓄,211943,13216,72963,133085,244207,596242,Saving
所得總額,1050994,405509,708294,929751,1225092,1986322,Current receipts
