第26表年中戶數與平均每戶人數、就業人數按農家、非農家分,,,,,,,,,,,,
"Table 26. Number of Households, Average Number of Persons and PersonsEmployed per Household by Farm or Non-farm",,,,,,,,,,,,
單位：人,,,,,,,,,,,,
Unit：Person,,,,,,,,,,,,
,,平均每戶人數,平均每戶就業人數,,,,,,,,,
年別,年中戶數,Average number of personsper household,Average number of personsemployed per household,,,,,,,,,
,(戶),全體家庭Allhouseholds,按農家、非農家分,全體家庭Allhouseholds,按農家、非農家分,,,,,,,
Number of,By farm and non-farm,By farm and non-farm,,,,,,,,,,
Year,Households,農家Farm households,非農家Non-farm households,農家Farm households,非農家Non-farm households,,,,,,,
(household),(不含全年休廢耕者)(A),(含全年休廢耕者)(B),(含全年休廢耕者)(C),(不含全年休廢耕者)(D),(不含全年休廢耕者)(E),(含全年休廢耕者)(F),(含全年休廢耕者)(G),(不含全年休廢耕者)(H),,,,
60年,1971,2660587,5.67,6.6,…,5.39,…,…,…,…,…,…
101年,2012,8077323,3.23,3.55,3.47,3.2,3.2,1.46,2.11,1.82,1.41,1.42
102年,2013,8191640,3.21,3.47,3.43,3.19,3.18,1.46,2.06,1.84,1.41,1.42
103年,2014,8290000,3.15,3.47,3.44,3.12,3.12,1.45,2.0699999999999998,1.88,1.4,1.4
104年,2015,8386495,3.1,3.42,3.34,3.07,3.08,1.43,2.11,1.9,1.37,1.38
105年,2016,8458223,3.07,3.41,3.4,3.04,3.04,1.42,2.1,1.96,1.37,1.37
106年,2017,8559187,3.07,3.26,3.22,3.05,3.05,1.43,1.99,1.86,1.39,1.39
107年,2018,8643140,3.05,3.26,3.21,3.03,3.03,1.42,2.04,1.89,1.37,1.37
108年,2019,8734576,3.02,3.24,3.2,3,3,1.4,2.0099999999999998,1.85,1.36,1.37
109年,2020,8829466,2.92,3.11,3.08,2.91,2.91,1.37,1.98,1.85,1.33,1.33
110年,2021,8919896,2.89,3.2,3.17,2.86,2.86,1.35,2.04,1.87,1.31,1.31
111年,2022,8968428,2.83,3.14,3.11,2.81,2.81,1.34,2.02,1.87,1.29,1.3
112年,2023,9119999,2.79,3.1,3.06,2.77,2.77,1.34,2,1.86,1.3,1.3
113年,2024,9262020,2.78,3.15,3.11,2.76,2.76,1.33,2.1,1.98,1.29,1.29
114年,2025,9760528,2.69,2.92,2.89,2.68,2.68,1.29,1.92,1.83,1.26,1.26
附註：一、本調查98年(含)以前，全年休(廢)耕者不視為農家。,,,,,,,,,,,,
二、自99年起，農家之定義配合農林漁牧業普查，將全年休(廢)耕者亦視為農家。為利資料比較，本表同時,,,,,,,,,,,,
列示舊定義資料(A、C、E、G欄)。,,,,,,,,,,,,
"Note：1.Before 2010, ""farm household"" means the household that plant crops on land.For 2010 figures of this old definition refer to(A),(C),(E),(G).",,,,,,,,,,,,
"2.From 2010, in accordance with the definition of Agricultural、Forestry、Fishery and Husbandry Census, ""farm household""",,,,,,,,,,,,
"include the households that hold arable land and leave the land fallow and uncultivated.For 2010 figures of this new definition refer to (B),(D),(F),(H).",,,,,,,,,,,,
