appleL03106年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 106 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8559187,753879,7805308,No. of households
平均每戶人數,3.07,3.22,3.05,No. of persons per household
平均每戶成年人數,2.54,2.75,2.52,No. of adults per household
平均每戶就業人數,1.43,1.86,1.39,No. of persons employed per household
平均每戶所得收入者人數,1.75,1.84,1.74,No. of income recipients per household
一、所得收入總計,1231112,1010645,1252406,A.Total receipts
1.受僱人員報酬,695838,381984,726152,1.Compensation of employees
(1)本業薪資,517444,282623,540125,(1)Full time payroll
(2)兼業薪資,43307,36844,43932,(2)Part time payroll
(3)其他收入,135086,62516,142096,(3)Other receipts or subsidies
2.產業主所得,156791,273460,145523,2.Entrepreneurial income
3.財產所得收入,55466,34367,57504,3. Property income
4.自用住宅設算租金收入,73780,56345,75464,4.Imputed rent income
5.經常移轉收入,249137,264316,247670,5.Current transfer receipts
(1)從私人,70221,57393,71460,(1)From individuals
(2)從政府,48115,79001,45132,(2)From government
(3)社會保險受益,127233,124359,127510,(3)Benefit of social insurance
(4)從企業,2147,2669,2097,(4)From enterprises
(5)從國外,1420,894,1471,(5)From abroad
6.雜項收入,100,173,93,6.Miscellaneous receipts
二、非消費支出,212171,140580,219086,B.Nonconsumption expenditures
1.利息支出,10838,2058,11686,1.Interest
2.經常移轉支出,201333,138522,207400,2.Current transfer expenditures
(1)對私人,49002,34345,50417,(1)To private
(2)對政府,33811,22979,34857,(2)To government
(3)社會保險,115799,80235,119234,(3)Social insurance
(4)對國外,2721,963,2891,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 7,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,811670,690878,823336,C.Consumption expenditures
1.食品及非酒精飲料,116905,123475,116270,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9701,12115,9468,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,23274,17834,23800,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,194006,137108,199501,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,174733,117221,180288,(1)Rent and water charges
(2)電費及燃料,19273,19886,19213,(2)Power and fuel
5.家具設備及家務維護,20677,15699,21157,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,123765,132382,122932,6.Health
7.交通,76765,73864,77046,7.Transport
(1)個人交通工具之購置,15734,15611,15746,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,44797,46348,44647,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10661,5689,11141,(3)Transport services
(4)汽、機車保險費,5574,6216,5512,(4)Insurance of vehicles
8.通訊,27672,22479,28173,8.Communication
9.休閒與文化,47350,27299,49286,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),24744,12625,25915,(1)Package holidays
(2)娛樂消遣及文化服務,11468,7308,11870,(2)Recreational and cultural services
(3)書報雜誌文具,4405,3317,4510,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6733,4049,6992,(4)Recreational facilities
10.教育,30153,19958,31138,10.Education
11.餐廳及旅館,97388,71469,99891,11.Restaurants and hotels
12.什項消費,44015,37195,44674,12.Miscellaneous goods and services
可支配所得,1018941,870065,1033320,Disposable income
消費支出,811670,690878,823336,Consumption expenditures
儲蓄,207271,179187,209984,Saving
所得總額,1292578,1050817,1315929,Current receipts
