appleL05111年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 111 年,,,,單位：元,2 0 2 2 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8968428,1358993,1855349,928564,2940645,89111,937427,858340,No. of households
平均每戶人數,2.83,1,2,2.37,3.62,2.85,5.0599999999999996,2.82,No. of persons per household
平均每戶成年人數,2.42,1,2,2.14,2.93,2.21,3.83,2.65,No. of adults per household
平均每戶就業人數,1.34,0.48,0.71,1.28,1.89,0.8,2.14,1.36,No. of persons employed per household
平均每戶所得收入者人數,1.78,1,1.47,1.64,2.13,1.49,2.5099999999999998,1.84,No. of income recipients per household
一、所得收入總計,1340848,626626,1003104,1080977,1823566,868497,1854531,1317092,A.Total receipts
1.受僱人員報酬,747733,282550,408493,633459,1169709,319402,981964,684134,1.Compensation of employees
(1)本業薪資,546627,203350,249389,489359,867406,241387,746883,508577,(1)Full time payroll
(2)兼業薪資,47948,22733,85539,26973,45310,26444,40635,48567,(2)Part time payroll
(3)其他收入,153158,56467,73565,117126,256992,51571,194446,126989,(3)Other receipts or subsidies
2.產業主所得,157772,55802,119724,93016,211569,48509,281760,163137,2.Entrepreneurial income
3.財產所得收入,62195,39004,62165,39608,79249,29599,75892,53409,3. Property income
4.自用住宅設算租金收入,77445,50394,77641,63451,91209,63294,91712,73723,4.Imputed rent income
5.經常移轉收入,295661,198836,335037,251385,271797,407611,423142,342656,5.Current transfer receipts
(1)從私人,71640,83007,100288,64179,45542,155460,67177,85379,(1)From individuals
(2)從政府,68224,46153,58237,71881,65048,82919,113692,80494,(2)From government
(3)社會保險受益,152534,67153,174564,113347,156766,166652,237837,173364,(3)Benefit of social insurance
(4)從企業,2871,789,1937,1978,4424,2581,4213,2394,(4)From enterprises
(5)從國外,392,1734,11,0,18,0,223,1024,(5)From abroad
6.雜項收入,42,41,43,59,32,82,61,34,6.Miscellaneous receipts
二、非消費支出,232278,99913,155357,169106,350040,100477,299787,212967,B.Nonconsumption expenditures
1.利息支出,11324,7318,7553,7754,18642,2323,9017,8061,1.Interest
2.經常移轉支出,220954,92594,147805,161353,331397,98154,290770,204906,2.Current transfer expenditures
(1)對私人,48380,30264,44752,24955,68234,18769,46384,47479,(1)To private
(2)對政府,35398,16634,30793,19534,54452,13740,37430,26978,(2)To government
(3)社會保險,134816,45180,68671,116661,204814,65644,205450,129579,(3)Social insurance
(4)對國外,2360,517,3588,203,3898,0,1507,870,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
111年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 111 年,,,,單位：元,2 0 2 2 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,834537,410593,670728,677863,1069692,712328,1219228,816251,C.Consumption expenditures
1.食品及非酒精飲料,118305,46277,98822,95439,146164,118139,199711,114865,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8766,4801,6066,8677,10371,7288,12939,11069,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22687,9933,15091,18049,31900,17089,34089,20881,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,205629,155571,194162,184036,240262,159348,227356,195457,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,188652,146604,179721,169074,220136,141934,201482,178681,(1)Rent and water charges
(2)電費及燃料,16978,8967,14441,14962,20127,17414,25873,16776,(2)Power and fuel
5.家具設備及家務維護,24479,12916,22786,18387,31485,15873,30384,23484,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,148598,65318,143662,115703,166855,152399,238668,165394,6.Health
7.交通,72787,27287,52169,51471,106341,46770,101057,69326,7.Transport
(1)個人交通工具之購置,10934,3266,4774,5253,20028,7805,10928,11715,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46400,16887,35538,33340,64903,28913,70041,43340,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,7796,4401,5818,7861,10631,5636,8515,7104,(3)Transport services
(4)汽、機車保險費,7657,2733,6039,5017,10780,4416,11572,7168,(4)Insurance of vehicles
8.通訊,24068,10542,16421,21037,32691,20939,36426,22575,8.Communication
9.休閒與文化,27091,14187,19684,21676,38503,22114,34708,22488,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),4007,1719,3778,2322,5883,1779,4424,3292,(1)Package holidays
(2)娛樂消遣及文化服務,11898,7357,9194,10318,15634,10880,14684,10906,(2)Recreational and cultural services
(3)書報雜誌文具,3403,703,1010,2496,5822,3545,6771,1855,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7783,4408,5702,6541,11164,5911,8829,6435,(4)Recreational facilities
10.教育,25813,559,238,14445,51665,23534,58265,9604,10.Education
11.餐廳及旅館,114915,43375,70592,98813,161313,90037,181955,111816,11.Restaurants and hotels
12.什項消費,41399,19828,31035,30130,52142,38800,63669,49291,12.Miscellaneous goods and services
可支配所得,1108569,526713,847747,911871,1473526,768020,1554744,1104125,Disposable income
消費支出,834537,410593,670728,677863,1069692,712328,1219228,816251,Consumption expenditures
儲蓄,274032,116120,177019,234008,403834,55692,335516,287875,Saving
所得總額,1406998,672844,1071756,1134504,1900669,916352,1927948,1379491,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
