appleL06111年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 111 年,,,單位：元,2 0 2 2 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8968428,1793686,1793686,1793686,1793686,1793684,No. of households
平均每戶人數,2.83,1.61,2.2599999999999998,2.9,3.45,3.91,No. of persons per household
平均每戶成年人數,2.42,1.55,2.02,2.46,2.85,3.24,No. of adults per household
平均每戶就業人數,1.34,0.37,0.91,1.35,1.83,2.23,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.1299999999999999,1.38,1.73,2.13,2.5299999999999998,No. of income recipients per household
一、所得收入總計,1340848,426457,806147,1153124,1584845,2733666,A.Total receipts
1.受僱人員報酬,747733,87070,356580,613472,956205,1725337,1.Compensation of employees
(1)本業薪資,546627,69166,263350,456479,704482,1239657,(1)Full time payroll
(2)兼業薪資,47948,5951,34411,46089,61328,91963,(2)Part time payroll
(3)其他收入,153158,11953,58819,110905,190395,393717,(3)Other receipts or subsidies
2.產業主所得,157772,26877,81402,127709,177114,375757,2.Entrepreneurial income
3.財產所得收入,62195,15063,30546,38881,52634,173850,3. Property income
4.自用住宅設算租金收入,77445,40415,64060,70968,91366,120418,4.Imputed rent income
5.經常移轉收入,295661,256962,273491,302072,307496,338284,5.Current transfer receipts
(1)從私人,71640,90018,87656,70521,56518,53489,(1)From individuals
(2)從政府,68224,68023,60830,74338,72702,65225,(2)From government
(3)社會保險受益,152534,98433,123643,154744,175337,210513,(3)Benefit of social insurance
(4)從企業,2871,412,1006,2100,2805,8031,(4)From enterprises
(5)從國外,392,75,356,369,135,1025,(5)From abroad
6.雜項收入,42,69,69,22,31,20,6.Miscellaneous receipts
二、非消費支出,232278,61582,133242,198741,278562,489265,B.Nonconsumption expenditures
1.利息支出,11324,2077,6242,10585,14458,23257,1.Interest
2.經常移轉支出,220954,59505,127000,188156,264104,466007,2.Current transfer expenditures
(1)對私人,48380,16208,28956,37866,52872,105997,(1)To private
(2)對政府,35398,7538,14221,21731,30928,102572,(2)To government
(3)社會保險,134816,35143,82480,127247,179657,249551,(3)Social insurance
(4)對國外,2360,615,1343,1312,646,7886,(4)To abroad
,,,,,,,
111年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 111 年,,,單位：元,2 0 2 2 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,834537,382209,605971,800767,1008897,1374842,C.Consumption expenditures
1.食品及非酒精飲料,118305,70398,94920,122269,138882,165058,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8766,4608,7178,9271,11182,11590,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22687,7513,14246,20602,28422,42652,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,205629,120041,173478,194558,233433,306635,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,188652,108873,159126,177248,213870,284141,(1)Rent and water charges
(2)電費及燃料,16978,11168,14353,17310,19563,22495,(2)Power and fuel
5.家具設備及家務維護,24479,9120,15909,20520,29524,47324,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,148598,69538,104113,143203,179591,246544,6.Health
7.交通,72787,23678,46355,68788,89973,135143,7.Transport
(1)個人交通工具之購置,10934,1768,4878,9160,12668,26197,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46400,16431,31288,45088,58854,80339,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,7796,2899,5454,7349,9045,14234,(3)Transport services
(4)汽、機車保險費,7657,2579,4734,7192,9406,14373,(4)Insurance of vehicles
8.通訊,24068,10331,17881,24016,30058,38053,8.Communication
9.休閒與文化,27091,10037,17261,23545,32384,52226,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),4007,1100,2219,3066,4379,9269,(1)Package holidays
(2)娛樂消遣及文化服務,11898,5845,8390,10559,13821,20875,(2)Recreational and cultural services
(3)書報雜誌文具,3403,648,1998,3419,4663,6287,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7783,2444,4654,6500,9520,15795,(4)Recreational facilities
10.教育,25813,2167,9602,22398,37197,57701,10.Education
11.餐廳及旅館,114915,39175,80571,114979,147868,191983,11.Restaurants and hotels
12.什項消費,41399,15603,24458,36618,50384,79933,12.Miscellaneous goods and services
可支配所得,1108569,364876,672906,954383,1306283,2244401,Disposable income
消費支出,834537,382209,605971,800767,1008897,1374842,Consumption expenditures
儲蓄,274032,-17334,66935,153616,297386,869559,Saving
所得總額,1406998,463975,860049,1214890,1660375,2835705,Current receipts
