L09100年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2011",,100年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2011",,100年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2011"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 100 年,,,,,2 0 1 1,,,,,民 國 100 年,,,,,2 0 1 1,,,,,民 國 100 年,,,,,2 0 1 1,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,7959828,1418021,991169,860512,644201,1029122,155006,No. of households,,家庭戶數,679262,163231,173859,365452,171507,230475,177203,No. of households,,家庭戶數,277715,80663,121455,34377,147494,143482,95622,No. of households
平均每戶人數,3.29,3.32,3.28,3.45,3.19,3.16,3.17,No. of persons per household,,平均每戶人數,3.52,3.6,3.57,3.54,3.4,2.99,2.91,No. of persons per household,,平均每戶人數,3.01,2.72,2.8,2.86,3.18,3.45,3.13,No. of persons per household
平均每戶成年人數,2.59,2.63,2.68,2.67,2.56,2.54,2.5099999999999998,No. of adults per household,,平均每戶成年人數,2.62,2.71,2.78,2.71,2.61,2.35,2.31,No. of adults per household,,平均每戶成年人數,2.4,2.1,2.21,2.25,2.63,2.59,2.38,No. of adults per household
平均每戶就業人數,1.49,1.54,1.41,1.57,1.57,1.41,1.22,No. of persons employed per household,,平均每戶就業人數,1.55,1.64,1.57,1.68,1.49,1.37,1.36,No. of persons employed per household,,平均每戶就業人數,1.44,1.19,1.23,1.05,1.43,1.52,1.28,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.74,1.7,1.68,1.7,1.62,1.61,No. of income recipients per household,,平均每戶所得收入者人數,1.76,1.84,1.77,1.71,1.63,1.49,1.62,No. of income recipients per household,,平均每戶所得收入者人數,1.53,1.36,1.51,1.46,1.68,1.81,1.5,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
(1)自有(戶內經常居住成員所擁有),84.58,83.84,81.94,81.3,82.67,83.54,83.27,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),86.37,89.57,93.23,89.44,90.11,87.92,87.67,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),89.49,88.81,82.6,78.930000000000007,85.77,87.74,80,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,3.87,4.0999999999999996,3.12,3.86,3.41,5.91,5.72,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,3.08,2.93,0,2.4500000000000002,1.55,5.54,5.21,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,1.26,3.25,4.8899999999999997,10.07,6.11,4.0199999999999996,4.4800000000000004,"(2)Owned by spouse, parentsor children not living together"
(3)租押,8.7100000000000009,10.57,11.2,11.16,10.5,7.09,5.54,(3)Rented,,(3)租押,9.5500000000000007,5.89,4.2699999999999996,6.45,6.01,3.71,3.81,(3)Rented,,(3)租押,6.08,5.4,8.9,5.04,4.22,5.32,9.06,(3)Rented
(4)其他(含配住及借用),2.84,1.5,3.74,3.68,3.42,3.47,5.47,(4)Allotted and others,,(4)其他(含配住及借用),1,1.61,2.5,1.66,2.33,2.83,3.32,(4)Allotted and others,,(4)其他(含配住及借用),3.18,2.5499999999999998,3.61,5.96,3.89,2.92,6.45,(4)Allotted and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling
(1)專用,95.71,95.85,95.9,95.24,94.69,97.21,96.19,(1)Independent,,(1)專用,96.72,97.18,92.22,95.85,88.94,95.09,94.81,(1)Independent,,(1)專用,96.42,92.47,93.9,95.57,98.42,97,94.23,(1)Independent
(2)併用,4.29,4.1500000000000004,4.0999999999999996,4.76,5.31,2.79,3.81,(2)Connected,,(2)併用,3.28,2.82,7.78,4.1500000000000004,11.06,4.91,5.19,(2)Connected,,(2)併用,3.58,7.53,6.1,4.43,1.58,3,5.77,(2)Connected
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building
(1)平房,10.41,4,2.54,7.96,16.88,5.68,14.39,(1)One story,,(1)平房,6.05,11.16,20.02,19.45,20.329999999999998,30.35,36.130000000000003,(1)One story,,(1)平房,20.25,36.53,24.91,23.71,9.68,4.7,10.07,(1)One story
(2)二～三層樓,41.23,14.55,8.9,49.02,56.36,47.14,71.28,(2)Two or three stories,,(2)二～三層樓,43.74,51.17,71.209999999999994,69.42,66.92,64.14,58.1,(2)Two or three stories,,(2)二～三層樓,70.89,59.56,63.36,62.75,21.9,35.06,59.36,(2)Two or three stories
