L09100年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2011",,100年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2011",,100年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2011"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 100 年,,,,,2 0 1 1,,,,,民 國 100 年,,,,,2 0 1 1,,,,,民 國 100 年,,,,,2 0 1 1,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
(17)洗衣機,100.02,100.2,100.15,101.09,100.84,99.59,99.23,(17)Washing machine,,(17)洗衣機,99.69,101.11,99.16,99.76,99.87,99.51,96.35,(17)Washing machine,,(17)洗衣機,98.36,97.59,99.52,94.02,99.38,104.33,101.93,(17)Washing machine
(18)烘衣機,16.34,16.91,24.67,14.86,4.24,3.61,27.53,(18)Drier,,(18)烘衣機,33.49,36.799999999999997,35.380000000000003,10.71,15.15,5.71,5.81,(18)Drier,,(18)烘衣機,1.75,6.46,14.22,6.71,32.409999999999997,41.96,6.11,(18)Drier
(19)空氣清淨機,11.17,13.19,23.84,10.67,5.68,8.83,4.37,(19)Air-clean machine,,(19)空氣清淨機,10.44,23.12,9.61,4.96,5.48,3.35,2.09,(19)Air-clean machine,,(19)空氣清淨機,2.72,3.23,5.76,5.95,9.66,23.97,8.36,(19)Air-clean machine
(20)濾水器,33.42,36.630000000000003,39.06,43.57,28.69,32.18,17.28,(20)Water filter machine,,(20)濾水器,40.049999999999997,54.64,28.8,15.29,20.63,18.579999999999998,29.35,(20)Water filter machine,,(20)濾水器,15.87,14.58,17.02,5.08,25.14,63.33,33.659999999999997,(20)Water filter machine
(21)吸塵器,42.09,41.88,60.93,46.53,33.380000000000003,35.26,36.56,(21)Vacuum cleaner,,(21)吸塵器,46.12,64.150000000000006,48.54,28.55,34.46,26.91,21.49,(21)Vacuum cleaner,,(21)吸塵器,30.7,25.57,33.93,19.7,36.049999999999997,74.72,38.729999999999997,(21)Vacuum cleaner
(22)熱水器,104.81,102.17,102.14,108.67,100.44,98.95,112.61,(22)Geyser,,(22)熱水器,109.94,111.59,134.5,102.91,103.43,107.65,103.46,(22)Geyser,,(22)熱水器,100.7,93.99,105.06,99.04,104.23,132.53,102.25,(22)Geyser
(23)開飲機,50.91,54.23,42.52,53.78,33.43,43.68,54.51,(23)Hot-warm water fountain,,(23)開飲機,57.66,63.19,75.959999999999994,62.9,47.93,57.55,40.159999999999997,(23)Hot-warm water fountain,,(23)開飲機,64.03,55.5,58.68,86.37,44.3,56.46,38.770000000000003,(23)Hot-warm water fountain
(24)微波爐,43.76,50.72,61.54,46.31,35.130000000000003,35.21,28.79,(24)Microwave oven,,(24)微波爐,45.13,54.68,44.15,35.49,37.590000000000003,35.75,21.64,(24)Microwave oven,,(24)微波爐,34.82,21.51,27.98,28.6,39.33,60.02,34.18,(24)Microwave oven
(25)報紙,20.010000000000002,14.83,27.94,24.27,20.76,19.399999999999999,18.079999999999998,(25)Newspaper,,(25)報紙,15.78,24.49,19.77,15.13,24.08,21.26,20.23,(25)Newspaper,,(25)報紙,20.92,11.74,20.23,14.19,13.04,26.32,18.66,(25)Newspaper
(26)期刊雜誌,8.99,8.19,15.35,7.86,8.86,7.72,4.82,(26)Magazine,,(26)期刊雜誌,11.04,14.28,3.1,4.03,6.7,8.64,1.5,(26)Magazine,,(26)期刊雜誌,5.82,3.59,7.51,2.4900000000000002,2.2599999999999998,29.04,9.64,(26)Magazine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
