appleL0586年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 86 年,,,,單位：元,1 9 9 7 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,6104309,540630,657957,426232,3140096,60889,1004227,274278,No. of households
平均每戶人數,3.84,1,2,2.91,4.22,3.33,6,3.24,No. of persons per household
平均每戶成年人數,2.6,0.99,2,2.1,2.6,1.98,4.03,2.93,No. of adults per household
平均每戶就業人數,1.69,0.53,0.97,1.51,1.87,0.81,2.36,1.78,No. of persons employed per household
平均每戶所得收入者人數,1.71,1,1.23,1.6,1.79,1.23,2.19,1.8,No. of income recipients per household
一、所得收入總計,1054049,430285,724215,805253,1191728,640545,1322186,995239,A.Total receipts
1.受僱人員報酬,609840,210671,316298,486641,723997,174740,747325,578527,1.Compensation of employees
(1)本業薪資,475677,150675,213777,395438,567599,126800,594654,458690,(1)Full time payroll
(2)兼業薪資,25953,28588,49911,14600,22900,25252,22918,27155,(2)Part time payroll
(3)其他收入,108210,31408,52610,76603,133498,22688,129753,92683,(3)Other receipts or subsidies
2.產業主所得,189659,37367,114290,99762,230261,91537,251451,141059,2.Entrepreneurial income
3.財產所得收入,64651,36144,72421,41414,67876,64918,76990,56158,3. Property income
4.自用住宅設算租金收入,64449,35903,57218,51730,70922,51240,72352,57709,4.Imputed rent income
5.經常移轉收入,125034,110073,162947,125504,98318,257967,173686,161064,5.Current transfer receipts
(1)從私人,39824,52037,75119,46211,23807,131130,43971,69075,(1)From individuals
(2)從政府,28132,31555,37625,26702,20942,51269,40553,32539,(2)From government
(3)社會保險受益,55962,25574,49329,45471,53174,70348,88399,58029,(3)Benefit of social insurance
(4)從企業,629,38,509,4990,321,41,302,159,(4)From enterprises
(5)從國外,487,870,365,2130,73,5178,460,1262,(5)From abroad
6.雜項收入,416,128,1041,202,354,145,383,720,6.Miscellaneous receipts
二、非消費支出,190622,74199,125910,131202,224922,85277,225939,169069,B.Nonconsumption expenditures
1.利息支出,43332,18321,28426,31295,54314,15385,41181,35455,1.Interest
2.經常移轉支出,147289,55877,97484,99907,170608,69891,184759,133614,2.Current transfer expenditures
(1)對私人,48991,26245,38658,31944,56077,29746,53815,50593,(1)To private
(2)對政府,30439,10254,20710,17990,37119,9046,34770,25337,(2)To government
(3)社會保險,65621,16582,31233,49560,75708,31094,94493,56212,(3)Social insurance
(4)對國外,2238,2797,6882,413,1704,6,1681,1471,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
86年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 86 年,,,,單位：元,1 9 9 7 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,634477,257748,427537,501178,716967,445282,799464,574145,C.Consumption expenditures
1.食品費,151355,50420,87259,120834,170536,111734,206837,137550,1.Food
2.飲料費,6849,3153,4266,5038,7674,4688,8987,6357,2.Beverage
3.菸草,5103,2524,3570,4112,5190,3163,7629,5592,3.Tobacco
4.衣著、鞋、襪類,28540,9682,16074,21655,32963,15009,37593,25525,4.Clothing and footwear
5.房地租及水費,141474,85064,118012,123305,157557,99862,150264,130093,5.Rent and water charges
6.燃料及燈光,17767,7986,12618,14182,19478,14994,23204,16090,6.Fuel and light
7.家具及家庭設備,14433,5530,10478,9479,16942,7445,16378,14877,7.Furniture and family facilities
8.家事管理,13357,4733,7995,7383,16670,5570,15228,9437,8.Household operations
9.保健及醫療,63348,27783,57917,49146,59363,86380,102265,66561,9.Health care and medical
10.運輸交通及通訊,66111,20199,42603,50180,76828,25031,83239,61459,10.Transport and communications
(1)交通及通訊工具之購置,13897,2738,11344,12907,15583,788,17517,13914,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,30935,7871,16354,19212,36868,9757,41406,28039,(2)Operation of transport equipment
(3)乘交通設備之費用,9520,4539,6543,8942,11017,8376,10087,8421,(3)Purchased transportation
(4)其他通訊費,7636,3882,6015,6739,8426,5628,8767,7569,(4)Other communications
(5)汽機車保險費支出,4122,1168,2347,2380,4934,482,5460,3516,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,83192,23430,38142,59768,106338,47808,92347,54813,"11.Recreation ,education and culture"
(1)旅遊費用,22768,11690,23296,14561,25197,10482,24639,24155,(1)Traveling
(2)娛樂消遣服務,8806,4728,5996,8193,10025,5436,9657,8219,(2)Recreation service
(3)書報雜誌文具,6078,2090,3394,4281,7497,3727,6890,4476,(3)Books and stationery
(4)娛樂器材及附屬品,8472,4168,4999,5408,10328,3501,9187,7277,(4)Recreation facilities
(5)教育與研究費,37069,754,457,27325,53291,24661,41974,10686,(5)Education and research
12.什項消費,42949,17244,28604,36096,47426,23599,55493,45793,12.Miscellaneous
可支配所得,863427,356086,598306,674050,966806,555268,1096247,826170,Disposable income
消費支出,634477,257748,427537,501178,716967,445282,799464,574145,Consumption expenditures
儲蓄,228951,98338,170769,172873,249839,109986,296783,252025,Saving
所得總額,1097363,454021,762159,841331,1239044,672554,1371877,1034615,Current receipts
