appleL0599年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2010"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 99 年,,,,單位：元,2 0 1 0 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,7840923,879124,1252243,769765,3272054,88965,1066578,512194,No. of households
平均每戶人數,3.25,1,2,2.5299999999999998,3.85,3.07,5.37,3.03,No. of persons per household
平均每戶成年人數,2.5299999999999998,1,2,2,2.82,2.0299999999999998,3.84,2.69,No. of adults per household
平均每戶就業人數,1.44,0.48,0.73,1.25,1.81,0.77,2.11,1.44,No. of persons employed per household
平均每戶所得收入者人數,1.62,1,1.23,1.43,1.81,1.27,2.14,1.65,No. of income recipients per household
一、所得收入總計,1071938,460894,774607,779620,1325356,708615,1392959,1062687,A.Total receipts
1.受僱人員報酬,619014,181796,323325,465985,839624,235558,802529,597490,1.Compensation of employees
(1)本業薪資,463898,133864,188710,372978,638084,148842,621408,453783,(1)Full time payroll
(2)兼業薪資,38575,17385,78127,17428,34242,50093,37024,38936,(2)Part time payroll
(3)其他收入,116541,30547,56489,75579,167297,36622,144097,104771,(3)Other receipts or subsidies
2.產業主所得,145430,56742,94507,74301,194233,82021,202818,108796,2.Entrepreneurial income
3.財產所得收入,48387,26255,68331,24935,51601,41243,52109,45823,3. Property income
4.自用住宅設算租金收入,65885,40861,65479,50515,75067,50529,71411,65439,4.Imputed rent income
5.經常移轉收入,193047,155055,222800,163679,164661,298843,263924,245017,5.Current transfer receipts
(1)從私人,59536,77834,93731,57731,37662,152824,51113,88314,(1)From individuals
(2)從政府,47575,36479,56237,43532,38067,64532,73599,55120,(2)From government
(3)社會保險受益,83174,38499,71012,60953,87328,81340,135230,88372,(3)Benefit of social insurance
(4)從企業,1396,1121,824,1365,1585,147,1936,1202,(4)From enterprises
(5)從國外,1365,1121,996,98,19,0,2046,12010,(5)From abroad
6.雜項收入,174,185,164,203,171,421,169,123,6.Miscellaneous receipts
二、非消費支出,182585,73665,120754,117728,241258,92375,225278,170124,B.Nonconsumption expenditures
1.利息支出,12825,6017,7281,10078,18381,5024,11155,11528,1.Interest
2.經常移轉支出,169760,67648,113473,107650,222877,87351,214124,158596,2.Current transfer expenditures
(1)對私人,43435,25524,40703,21589,55357,26079,42109,43297,(1)To private
(2)對政府,29467,11110,22333,16103,39524,16320,33892,27319,(2)To government
(3)社會保險,93834,25679,47016,69764,124721,44857,135911,85017,(3)Social insurance
(4)對國外,3025,5334,3421,194,3274,95,2211,2962,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
99年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2010"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 99 年,,,,單位：元,2 0 1 0 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,702292,311755,504322,535206,855697,539427,931903,677884,C.Consumption expenditures
1.食品及非酒精飲料,107662,35514,79842,80450,126429,95710,166232,100634,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9201,5467,5877,7788,10327,7526,14103,8756,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22664,8484,14047,16018,29328,13982,30005,21713,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,172576,116758,155634,148203,196843,137368,183110,175586,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,152036,106239,139331,130890,173593,117989,155144,155209,(1)Rent and water charges
(2)電費及燃料,20540,10520,16304,17313,23250,19378,27967,20377,(2)Power and fuel
5.家具設備及家務維護,17429,8745,15050,11495,21095,13449,20375,18209,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,101089,45529,89087,71349,107569,101651,161093,104044,6.Health
7.交通,64650,20553,37607,41056,85163,35947,89899,63279,7.Transport
(1)個人交通工具之購置,7574,1726,2336,3642,10502,3239,11528,10138,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43536,13095,26462,27021,57284,24404,61467,40501,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9496,4546,6154,7996,12169,6015,10919,8978,(3)Transport services
(4)汽、機車保險費,4045,1186,2655,2397,5208,2288,5985,3663,(4)Insurance of vehicles
8.通訊,23283,8951,12879,20185,30137,15024,29686,22292,8.Communication
9.休閒與文化,37247,15713,30717,26094,48245,20606,40654,32466,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),13888,5921,16284,7794,17148,4522,13168,13159,(1)Package holidays
(2)娛樂消遣及文化服務,9795,5717,7490,8163,11912,7564,11157,8897,(2)Recreational and cultural services
(3)書報雜誌文具,6089,1074,1966,4604,9042,5005,8102,4147,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7475,3001,4976,5533,10143,3516,8228,6262,(4)Recreational facilities
10.教育,40054,1079,482,28708,65347,26874,59768,20411,10.Education
11.餐廳及旅館,68195,27764,35313,58285,89502,42243,85020,66227,11.Restaurants and hotels
12.什項消費,38241,17196,27787,25573,45712,29047,51958,44267,12.Miscellaneous goods and services
可支配所得,889353,387229,653853,661892,1084099,616241,1167681,892564,Disposable income
消費支出,702292,311755,504322,535206,855697,539427,931903,677884,Consumption expenditures
儲蓄,187061,75475,149532,126687,228402,76814,235779,214680,Saving
所得總額,1123761,491918,825561,819195,1384034,749276,1450328,1117340,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
